Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation to Level 2,Design and Technologies,"By the end of Level 2, students identify and describe the purpose of familiar products, services and environments.",Technologies and Society,"describe,environments,familiar,identify,level,products,purpose,services,students",VC2TDE2S01,High
Foundation to Level 2,Design and Technologies,"For each of the 4 Technologies Contexts sub-strands, they identify the features and uses of technologies, and create designed solutions.",Creating Designed Solutions,"contexts,create,designed,features,identify,solutions,sub-strands,technologies,uses","VC2TDE2C01,VC2TDE2C02,VC2TDE2C03,VC2TDE2C04",High
Foundation to Level 2,Design and Technologies,"Students explore and select design ideas based on their personal preferences, and communicate these using simple models and drawings.",Creating Designed Solutions,"based,communicate,design,drawings,explore,ideas,models,personal,preferences,select,simple,students,using","VC2TDE2D02,VC2TDE2D04",High
Foundation to Level 2,Design and Technologies,Students follow sequenced steps to use tools and materials to safely produce designed solutions.,Creating Designed Solutions,"designed,follow,materials,produce,safely,sequenced,solutions,steps,students,tools","VC2TDE2D03,VC2TDE2D04,VC2TDE2D05",High
Levels 3 and 4,Design and Technologies,"By the end of Level 4, students explain how people design products, services and environments to address needs or opportunities that consider sustainability.",Technologies and Society,"address,consider,design,environments,explain,level,needs,opportunities,people,products,services,students,sustainability",VC2TDE4S01,High
Levels 3 and 4,Design and Technologies,"For each of the 4 Technologies Contexts sub-strands, they describe the features and uses of technologies, and create designed solutions.",Creating Designed Solutions,"contexts,create,describe,designed,features,solutions,sub-strands,technologies,uses","VC2TDE4C01,VC2TDE4C02,VC2TDE4C03,VC2TDE4C04",High
Levels 3 and 4,Design and Technologies,"Students describe needs or opportunities for designing, and they produce, document and select design ideas against design criteria.",Creating Designed Solutions,"against,criteria,describe,design,designing,document,ideas,needs,opportunities,produce,select,students","VC2TDE4D02,VC2TDE4D04",High
Levels 3 and 4,Design and Technologies,"They communicate design ideas, using models and drawings as well as annotations and symbols, and they test materials and processes needed to create designed solutions.",Creating Designed Solutions,"annotations,communicate,create,design,designed,drawings,ideas,materials,models,needed,processes,solutions,symbols,test,using,well","VC2TDE4D03,VC2TDE4D04",High
Levels 3 and 4,Design and Technologies,"Students plan and sequence steps, and use technologies and techniques to safely produce designed solutions.",Creating Designed Solutions,"designed,plan,produce,safely,sequence,solutions,steps,students,techniques,technologies","VC2TDE4D03,VC2TDE4D05",High
Levels 5 and 6,Design and Technologies,"By the end of Level 6, students explain how people address ethical considerations when designing products, services and environments to meet the needs or opportunities of communities.",Technologies and Society,"address,communities,considerations,designing,environments,ethical,explain,level,meet,needs,opportunities,people,products,services,students,when",VC2TDE6S01,High
Levels 5 and 6,Design and Technologies,"For each of the 4 Technologies Contexts sub-strands, they explain how the features of technologies impact on design decisions, and work collaboratively and in teams to create designed solutions to address identified needs or opportunities.",Creating Designed Solutions,"address,collaboratively,contexts,create,decisions,design,designed,explain,features,identified,impact,needs,opportunities,solutions,sub-strands,teams,technologies,work",VC2TDE6D01,High
Levels 5 and 6,Design and Technologies,Students work collaboratively to negotiate and develop design criteria that include worldviews or sustainability considerations.,Creating Designed Solutions,"collaboratively,considerations,criteria,design,develop,include,negotiate,students,sustainability,work,worldviews",VC2TDE6D04,High
Levels 5 and 6,Design and Technologies,"They select and explain design ideas, and communicate these design ideas to an audience using technical terms and graphical representation techniques.",Creating Designed Solutions,"audience,communicate,design,explain,graphical,ideas,representation,select,technical,techniques,terms,using",VC2TDE6D02,High
Levels 5 and 6,Design and Technologies,"Students develop project plans, including production processes, and follow the project plans to select technologies and techniques to safely produce designed solutions.",Creating Designed Solutions,"designed,develop,follow,including,plans,processes,produce,production,project,safely,select,solutions,students,techniques,technologies","VC2TDE6D03,VC2TDE6D05",High
Levels 7 and 8,Design and Technologies,"By the end of Level 8, students explain how people design, innovate and produce products, services and environments that address ethical considerations.",Technologies and Society,"address,considerations,design,environments,ethical,explain,innovate,level,people,produce,products,services,students",VC2TDE8S01,High
Levels 7 and 8,Design and Technologies,"For each of the 4 Technologies Contexts sub-strands, they discuss how the features of technologies impact on design decisions, and create designed solutions based on analysis of needs or opportunities.",Creating Designed Solutions,"analysis,based,contexts,create,decisions,design,designed,discuss,features,impact,needs,opportunities,solutions,sub-strands,technologies",VC2TDE8D01,High
Levels 7 and 8,Design and Technologies,"Students generate and adapt design ideas, processes and solutions, and justify their decisions against their own and others’ predetermined design criteria for ethical considerations, including sustainability and worldviews.",Creating Designed Solutions,"adapt,against,considerations,criteria,decisions,design,ethical,generate,ideas,including,justify,others’,predetermined,processes,solutions,students,sustainability,worldviews","VC2TDE8D04,VC2TDE8D02",High
Levels 7 and 8,Design and Technologies,"They communicate design ideas and solutions to audiences using technical terms, graphical representation techniques and appropriate attributions.",Creating Designed Solutions,"appropriate,attributions,audiences,communicate,design,graphical,ideas,representation,solutions,technical,techniques,terms,using",VC2TDE8D02,High
Levels 7 and 8,Design and Technologies,"They document production processes independently and collaboratively, and develop and co-develop the production and implementation of these processes to safely produce designed solutions.",Creating Designed Solutions,"co-develop,collaboratively,designed,develop,document,implementation,independently,processes,produce,production,safely,solutions","VC2TDE8D05,VC2TDE8D03,VC2TDE8D04",High
