SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Examining ethical factors influencing the design and production of solutions developed by Aboriginal and/or Torres Strait Islander Peoples, for example the traditional and sustainable use of natural fibres in various ways – to weave baskets to gather and carry food, to make fish and eel traps, and to make thermoplastic resin (a sticky black substance used to create tools such as spears, woomeras and axes, and strong enough to bind rock to wood)"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Analysing design and technologies professions and their contributions to society, for example the work of engineers in disaster recovery, Australia’s role in the global edible insect industry, and the co-design and co-development of designed solutions to improve access to clean, safe energy and to empower local communities"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Using speculative thinking to examine the impact of past designed solutions when creating designed solutions that address ethical considerations, for example considering the design of public transport systems that use renewable energy and are accessible or the design of rural community environments to reduce fire risk"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Considering factors that influence design and manufacture, and the work of designers, engineers and technologists, including time, access to skills, knowledge, finance and expertise, for example the work of Australian designers and engineers with rapid prototyping manufacturers in a country in Asia or the significance of the collaboration between Australia and Vietnam on the development of the Cao Lãnh Bridge"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Explaining how life cycle thinking can influence decision-making related to design and technologies, for example rethinking products to provide for re-use, selecting a material for a product that has a lower carbon footprint or redesigning to use less material"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Explaining the impacts of decisions for ethical products, services and environments, for example the accessibility of a managed public environment such as a community garden, the design of roads to include aerial bridges for wildlife and signage powered with solar technologies"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S01,"How people in design and technologies occupations consider ethical factors to innovate and improve products, services and environments",,"Examining mass-production systems in industries such as those for food, clothing, furniture and shoes, and considering their impact on sustainability and other ethical factors, for example environmental impact, social impact, labour practices, resource management, and product recycling and disposal"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S02,"The impacts of innovation, enterprise and emerging technologies on designed solutions for ethical considerations including sustainable living",,"Investigating how the knowledges of Aboriginal and/or Torres Strait Islander Peoples have led to the discovery of potential innovative solutions, for example biodegradable polymers using spinifex grass to reduce landfill and strengthen latex, plastics and concrete"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S02,"The impacts of innovation, enterprise and emerging technologies on designed solutions for ethical considerations including sustainable living",,"Exploring the ways commercial enterprises respond to the challenges and opportunities of technological change, for example e-commerce and fashion retailers, and considering the carbon footprint of these"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S02,"The impacts of innovation, enterprise and emerging technologies on designed solutions for ethical considerations including sustainable living",,"Investigating scenarios and using speculative thinking to consider future opportunities and impacts for society and particular groups, for example analysing autonomous vehicles and the potential widespread adoption of electric and alternative fuel-powered vehicles, and considering how this shift might impact transportation accessibility for elderly people and people with disability, urban planning, reduction of air pollution, and changes in job opportunities for the transportation industry, or examining increasing use of artificial intelligence and automation in the manufacturing industry and the potential effects on job markets, retraining needs for displaced workers, ethical considerations about artificial intelligence decision-making, and how society might adapt to a more automated workforce"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S02,"The impacts of innovation, enterprise and emerging technologies on designed solutions for ethical considerations including sustainable living",,"Examining real-world problems and responding to challenges in countries in Asia, and collaborating in design solutions that understand people’s basic needs, for example students addressing landfill waste in China, and artists from a country in South-East Asia creating posters for the world to take action in a pandemic"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S02,"The impacts of innovation, enterprise and emerging technologies on designed solutions for ethical considerations including sustainable living",,"Examining impacts of innovation, enterprise and emerging technologies influenced by biomimicry, for example in construction of lightweight and robust structures for buildings and bridges (drawing inspiration from the strength and efficiency of natural structures such as honeycombs, spiderwebs and bones), in sustainable architecture and material construction (e.g. bio-bricks and bio-cement), in wastewater treatment systems that replicate natural wetlands to efficiently purify water and minimise environmental effects, in revolutionising industries like surveillance and environmental monitoring using drones modelled after bird flight, in design of wind turbine blades (inspired by the fins of humpback whales, enhancing energy capture and efficiency), in modelling of packaging solutions (based on the way leaves and petals are arranged on plants to optimise surface area for sunlight exposure and water collection to reduce waste and promote eco-friendly practices), and in efficient ventilation systems inspired by ant hills"
Technologies,Design and Technologies,Years 9 and 10,Technologies and Society,,VC2TDE10S02,"The impacts of innovation, enterprise and emerging technologies on designed solutions for ethical considerations including sustainable living",,Examining how engineers and designers use computational thinking to design smart home systems that aim to save energy and promote sustainable living
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Engineering principles and systems,VC2TDE10C01,"Analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems that are ethical",,"Investigating the engineering innovations of Aboriginal and/or Torres Strait Islander Peoples, such as spearthrowers, and how the characteristics and properties of materials (e.g. rigidity, flexibility and hardness) are used"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Engineering principles and systems,VC2TDE10C01,"Analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems that are ethical",,"Explaining the way common machines or engineered systems interact and combine properties of materials, force, motion and energy efficiently, for example examining the structure and function of cranes on building sites or in a system, or examining the structure and function of car safety features such as seatbelts, airbags and crumple zones"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Engineering principles and systems,VC2TDE10C01,"Analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems that are ethical",,"Analysing the relationship between properties of materials, calculating forces, reactions and loads in structures and the safety in engineered systems such as bridges"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Engineering principles and systems,VC2TDE10C01,"Analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems that are ethical",,"Discussing and then critiquing the effectiveness of the combinations of materials, kinetic forces, energy and motion in an engineered system such as a 3D printer"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Engineering principles and systems,VC2TDE10C01,"Analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems that are ethical",,"Investigating how the placement of wind turbines in a wind farm affects turbine performance, for example designing a layout to maximise the productivity of a wind farm within a given space"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Engineering principles and systems,VC2TDE10C01,"Analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems that are ethical",,"Investigating the main types of chargers for electric vehicles and their capabilities, for example making a recommendation for the best charger for an electric vehicle owner who uses their vehicle to commute to work"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Analysing and comparing root vegetable sources used by Aboriginal and/or Torres Strait Islander Peoples, such as murnong (yam daisy) for nutrient content, including energy, fat and protein, and suitability as a sustainable food source in drought on Millewa–Mallee Country (near Mildura in north-western Victoria), with cereal crops such as wheat and rice"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Discussing the ways in which the development of the Victorian Traditional Owner Native Food and Botanicals Strategy has the potential for cultural, economic and environmental gains"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Investigating engineering innovations of Aboriginal and/or Torres Strait Islander Peoples, such as spearthrowers, bows and arrows, basket strength, thermal properties of possum skin cloaks and how the characteristics and properties of materials such as rigidity, flexibility and hardness are used"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Examining the productivity, profitability and sustainability of emerging production technologies and methods in the food and fibre industries, for example taking account of animal welfare considerations in food and fibre production enterprises, protected cropping, hydroponics and aquaculture"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Investigating how digital tools could be used to enhance food production systems, for example global positioning systems for managing animals, crop sensors, automated animal-feeding or milking systems, and drones for locating and managing weeds"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Investigating the interdependence of plants and animals, and comparing the environmental impacts of intensive and extensive production systems and the contributions of these systems to food and fibre production, for example investigating the impact of pesticide use on bee populations or comparing caged and free-range chicken production"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Considering the meaning of food and water security and how these may influence design decisions for creating sustainable futures, for example using water-efficient irrigation and protected cropping (growing crops under cover to increase production over a longer period) and choosing drought-resistant varieties of plants and animals"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food and fibre production,VC2TDE10C02,Analyse and make judgements on the ethical and secure production and marketing of food and fibre enterprises,,"Examining the market chain of a range of agricultural products, and outlining the effect of product processing and advertising on demand and price, including the impact of cash crops on communities"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food specialisations,VC2TDE10C03,Analyse and make judgements on how the sensory and functional properties of food influence the design and preparation of ethical including sustainable food solutions for healthy eating,,"Analysing how Aboriginal and/or Torres Strait Islander Peoples have long-understood techniques to turn plant products into food sources with high nutritional value; for example, throughout Victoria, murnong (yam daisy) tubers were baked in earth ovens"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food specialisations,VC2TDE10C03,Analyse and make judgements on how the sensory and functional properties of food influence the design and preparation of ethical including sustainable food solutions for healthy eating,,"Experimenting with food preservation methods such as freezing and dehydrating to determine changes to food structure and how these affect designing food solutions where vegetables are the ‘hero’ ingredients, for example dehydrating vegetables like zucchini, tomato or capsicum or herbs like parsley and thyme and discussing ways to use them in a soup"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food specialisations,VC2TDE10C03,Analyse and make judgements on how the sensory and functional properties of food influence the design and preparation of ethical including sustainable food solutions for healthy eating,,"Conducting sensory and nutritional assessment testing of a range of foods to determine how these characteristics might be used to enhance food solutions, for example taste-testing a variety of animal milks, and seed- and nut-milk alternatives"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food specialisations,VC2TDE10C03,Analyse and make judgements on how the sensory and functional properties of food influence the design and preparation of ethical including sustainable food solutions for healthy eating,,"Examining current food trends and reflecting on the potential impact on food choices for ethical, including sustainable, considerations, for example discussing selection of organic ingredients or plant-based foods to address food security and environmental sustainability, cultural barriers to the consumption of protein sources from insects, or environmental and economic sustainability issues related to cultured or lab-grown meats and the use of seed and nut milks"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food specialisations,VC2TDE10C03,Analyse and make judgements on how the sensory and functional properties of food influence the design and preparation of ethical including sustainable food solutions for healthy eating,,"Conducting taste comparisons of different apple varieties to analyse and make judgements about taste, texture, flavour, aroma and crispness, and make recommendations about apples, for example as a snack, to use in a salad or to add during cooking"
Technologies,Design and Technologies,Years 9 and 10,Technologies Contexts,Food specialisations,VC2TDE10C03,Analyse and make judgements on how the sensory and functional properties of food influence the design and preparation of ethical including sustainable food solutions for healthy eating,,"Investigating ways innovations may influence human health and sustainability, for example 3D printing of foods, Internet of Things (IoT) network in the food supply chain or use of augmented reality in food labelling"
