Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Investigating the reasons why many Aboriginal and/or Torres Strait Islander Peoples have been and continue to be recognised for their specialist skills in designing and producing products made from local materials and providing related services, and using sustainable practices to ensure future access to meet community needs, for example traditional woven baskets, jewellery made from shells and eel trap design"
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Discussing Aboriginal scar trees across Victoria, such as Yingabeal in Heidelberg (Melbourne), the bark of which was removed by the Wurundjeri and Woiwurrung Peoples to make shields and coolamons (carrying vessels)"
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Exploring how design and technologies occupations in the local area (urban, suburban, regional or rural) meet community needs, for example those of bakers, builders, engineers, farmers, seafood industry workers, mechanics, radiographers, textile designers and vegetable growers"
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Examining the suitability of a service or system and proposing improvements, for example a water-saving system for a bathroom at home or school, traffic management systems to reduce traffic jams around the school, and remote and regional services including medical services"
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Exploring how Australian designers consider sustainability when designing products, services or environments, for example designing products from 100% recycled materials, designing services that use minimal energy, and designing landscapes that require minimal water"
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Examining products and environments to discover the factors that may have influenced the design and choice of technologies used, for example discussing energy-efficient cooking with a wok, or sustainable wood products for home use including furniture made from plantation timbers, bamboo toothbrushes and coconut-shell bowls"
Levels 3 and 4,Technologies and Society,,VC2TDE4S01,The role of people in design and technologies occupations and factors including sustainability that impact on the design of solutions to meet community needs,,"Conducting a survey to identify a community need that involves accessibility and social sustainability, for example design features that improve access to the school, a community playground, local park or nature reserve, or use of public transport"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Researching how Aboriginal and/or Torres Strait Islander Peoples consider buoyant forces as they select materials for traditional watercraft, for example making bark or dugout canoes"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,Investigating bark canoes built by the Wadawurrung People and the role of these canoes in moving across waterways and during floods
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Looking at models to identify how forces and materials are used and movement is started, for example in the design of a toy with wheels or moving parts"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Exploring through play how movement can be started by combining materials and using forces, for example releasing a wound rubber band to propel a model boat, how different materials may impact marble roll speed, or how various surfaces such as carpet, grass and concrete might affect a robot’s movement"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Deconstructing a product or system to identify how motion and forces affect performance, for example in a puppet such as a Japanese bunraku puppet or a model windmill with moving sails"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Identifying engineered systems and experimenting with available local materials and tools to solve problems, for example designing a container or parachute that will keep an egg intact when dropped from a height, or designing a pop-up card, tower or vehicle"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Conducting investigations to understand the characteristics and properties of materials, and forces that may affect the behaviour and performance of a product or system, for example woomera design"
Levels 3 and 4,Technologies Contexts,Engineering principles and systems,VC2TDE4C01,Describe how forces affect function in a product or system,,"Identifying and exploring properties and construction relationships of an engineered product or system, for example a structure that floats or a bridge that carries a load"
Levels 3 and 4,Technologies Contexts,Food and fibre production,VC2TDE4C02,Describe the ways of producing food and fibre,,"Researching food and fibre production techniques and technologies developed by Aboriginal and/or Torres Strait Islander Peoples, such as burning, tilling, planting, transplanting, watering, irrigating, weeding, thinning, cropping, storing and trading"
Levels 3 and 4,Technologies Contexts,Food and fibre production,VC2TDE4C02,Describe the ways of producing food and fibre,,"Discussing the values and principles of traditional practices to ensure the sustainability of food and fibre sources, such as the creation of Aboriginal possum skin cloaks and using the remaining parts of the animal material for other purposes"
Levels 3 and 4,Technologies Contexts,Food and fibre production,VC2TDE4C02,Describe the ways of producing food and fibre,,"Describing tools and procedures to improve plant and animal production, for example when growing vegetables in the school garden and producing environments such as a glasshouse (protected cropping) or animal housing, including safe chicken shelters"
Levels 3 and 4,Technologies Contexts,Food and fibre production,VC2TDE4C02,Describe the ways of producing food and fibre,,"Comparing farming methods for food in Australia and a country in Asia, for example the use of different types of plants and animals and how diverse technologies are used to produce them"
Levels 3 and 4,Technologies Contexts,Food and fibre production,VC2TDE4C02,Describe the ways of producing food and fibre,,"Researching how animal fibres (e.g. sheep wool and alpaca fleece) and plant fibres (e.g. timber, cotton, hemp and bamboo) are produced in Australia, for example how production of plantation timbers may be different from bamboo production"
Levels 3 and 4,Technologies Contexts,Food specialisations,VC2TDE4C03,Describe the ways food can be selected and prepared for healthy eating,,Investigating how Aboriginal and/or Torres Strait Islander Peoples consider the nutrient content of seasonal foods as a means of maintaining a balanced diet
Levels 3 and 4,Technologies Contexts,Food specialisations,VC2TDE4C03,Describe the ways food can be selected and prepared for healthy eating,,"Describing foods using the senses, for example describing the colour, aroma, sound, texture and taste of the ingredients in a salad or stir-fry and how our senses influence what we select to eat"
Levels 3 and 4,Technologies Contexts,Food specialisations,VC2TDE4C03,Describe the ways food can be selected and prepared for healthy eating,,"Recognising the benefits of technologies to food safety and health and to helping ensure that a wide variety of food is available and can be prepared for healthy eating, for example refrigeration of meats and dairy products to enable them to last longer and reduce waste, pasteurisation of milk for food safety, and freezing, pickling or fermentation of vegetables to retain nutrients and reduce food wastage"
Levels 3 and 4,Technologies Contexts,Food specialisations,VC2TDE4C03,Describe the ways food can be selected and prepared for healthy eating,,Exploring the differences between fresh and minimally processed foods and ultra-processed foods by researching nutrient content using a nutrition calculator app and/or examining nutrition information panels
Levels 3 and 4,Technologies Contexts,Food specialisations,VC2TDE4C03,Describe the ways food can be selected and prepared for healthy eating,,"Considering creative ways foods can be prepared for maximum taste and appeal, for example locating and discussing images online that show colourful or fun ways to present food that might encourage healthy eating"
Levels 3 and 4,Technologies Contexts,Food specialisations,VC2TDE4C03,Describe the ways food can be selected and prepared for healthy eating,,Investigating the different colours of vegetables and selecting vegetables to make a colourful salad or stir-fry
Levels 3 and 4,Technologies Contexts,Materials and technologies specialisations,VC2TDE4C04,Describe how the properties of materials affect function in a product or system,,"Exploring the properties of materials to determine suitability, for example the absorbency of different fabrics or the strength of different resistant materials"
Levels 3 and 4,Technologies Contexts,Materials and technologies specialisations,VC2TDE4C04,Describe how the properties of materials affect function in a product or system,,"Conducting experiments and tests to understand some physical properties of materials, for example strength, durability, insulating ability and elasticity"
