Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S01,Explore and describe a range of digital systems and their peripherals for a variety of purposes,,"Experimenting with a range of peripherals to perform input, output and storage, for example a keyboard, touch screen, mouse, camera and microphone; a monitor, projector, printer or 3D printer; a speaker; or a USB drive"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S01,Explore and describe a range of digital systems and their peripherals for a variety of purposes,,"Adding peripherals to a digital system to expand its functionality, for example connecting a headset to a digital system to participate in online class activities more effectively"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S01,Explore and describe a range of digital systems and their peripherals for a variety of purposes,,"Exploring how they can use digital systems differently depending on the task; for example, a student can use a tablet to take photos, record audio and find information to create a presentation"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S02,Explore transmitting different types of data between digital systems,,"Exploring how data for a video call can be transmitted from a rural or remote community to a city location, for example looking at how many Aboriginal and/or Torres Strait Islander communities in areas classified as rural or remote have network coverage that may be unreliable, limiting the use of video calls"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S02,Explore transmitting different types of data between digital systems,,"Using different digital devices to display information to others, for example using a tablet device or laptop, interactive whiteboard or a smart TV to present information"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S02,Explore transmitting different types of data between digital systems,,"Exploring examples of different types of data that can be transferred between digital systems, for example making a video call to a relative using a digital device or connecting a digital device to a Bluetooth speaker to amplify the volume of a presentation"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S02,Explore transmitting different types of data between digital systems,,"Explaining the differences in data transmission over a mobile network when comparing sending a text-based message and streaming an online video, for example file size and download speed"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S03,"Access their school account using a memorised password and explain why it should be easy to remember, but hard for others to guess",,Recalling their school username and password from memory to log in to a school laptop or desktop
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S03,"Access their school account using a memorised password and explain why it should be easy to remember, but hard for others to guess",,"Explaining how keeping a password secret prevents others from accessing their data, for example how their work is saved in their account and can only be accessed using their secret password"
Levels 3 and 4,Digital Systems and Security,,VC2TDI4S03,"Access their school account using a memorised password and explain why it should be easy to remember, but hard for others to guess",,"Exploring techniques to create a password that is easy to remember and hard to guess, for example creating a password using 3 unrelated but easy-to-remember words"
Levels 3 and 4,"Data, Information and Privacy",,VC2TDI4D01,Recognise different types of data and explore how the same data can be represented differently depending on the purpose,,"Identifying rock paintings and other cultural expressions to understand that images are used to encode and represent ethnobotanical knowledge, for example the representation of plant use in Aboriginal and/or Torres Strait Islander Peoples’ cave paintings and ancient engravings including important data on classification of medicinal and food plants, and their usable parts"
Levels 3 and 4,"Data, Information and Privacy",,VC2TDI4D01,Recognise different types of data and explore how the same data can be represented differently depending on the purpose,,"Describing different types of data and how they can be used, for example numbers, letters, symbols and pictures"
Levels 3 and 4,"Data, Information and Privacy",,VC2TDI4D01,Recognise different types of data and explore how the same data can be represented differently depending on the purpose,,"Explaining how the same data can be represented in different ways and why some representations are better than others in certain contexts, for example the variations of four, 4, IV, |||| and quatre, and that numbers are better for calculation than words"
Levels 3 and 4,"Data, Information and Privacy",,VC2TDI4D02,"Collect, organise and present different types of data using software tools to create information and solve problems",,"Exploring different online sources to access data, for example using a keyword search to select and retrieve data from an online database such as a library catalogue or weather records"
