SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Explaining how an operating system hides the complexity of different hardware from applications; for example, applications can treat input from a mouse and touch screen in the same way"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Exploring how public key cryptography works, for example Transport Layer Security (TLS) and hashing"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Configuring a simple network using real or simulated hardware and observing packets moving around the network, for example monitoring packets on simulated switches and networked devices"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Explaining how domain names and Internet Protocol (IP) addresses allow data to be transmitted to specific networked devices, for example domain name system (DNS) and routing tables"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Investigating the Internet of Things (IoT) as part of a networked digital system, for example using sensors and digital systems to collect and share data over the internet"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S02,"Develop cyber security threat models, and explore a software, user or software supply chain vulnerability",,"Using a diagram to understand how private information moves through a system and when it would be the most likely target of a cyber attack, for example mapping how data moves between a user and server when using a web application and identifying that sending the data in plain text would make it susceptible to a man-in-the-middle attack"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S02,"Develop cyber security threat models, and explore a software, user or software supply chain vulnerability",,"Exploring the impact of a cyber security threat by systematically following the steps involved in bypassing a known vulnerability in their own software, for example manually changing the value stored in a login cookie to that of another user to observe the impact of unauthorised access on the system"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S02,"Develop cyber security threat models, and explore a software, user or software supply chain vulnerability",,"Investigating a range of real-world cyber supply chain vulnerabilities, for example ransomware, cloud security and re-use of passwords"
Technologies,Digital Technology,Years 9 and 10,Digital Systems and Security,,VC2TDI10S02,"Develop cyber security threat models, and explore a software, user or software supply chain vulnerability",,"Describing the techniques for developing cyber security threat models, for example using AI tools to develop predictive models for identifying and responding to new cyber security threats"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D01,Investigate simple data compression techniques,,"Using an algorithm to identify patterns in data and represent them in a compressed way, for example repeated pixels in an image with run-length encoding"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D01,Investigate simple data compression techniques,,"Exploring the difference between lossy and lossless compression and the consequences of each, for example exploring audiovisual compression and the impact of different formats such as MP3, MP4, JPEG, WAV and RAW on file size and quality"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D01,Investigate simple data compression techniques,,"Examining an image and discussing whether the image quality would be compromised if all the blue pixels of the sky in one row were to be replaced by one token, and the number of pixels it represents"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D02,"Represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important",,"Representing documents by separating the content (the text in the document), the structure (the document structure, such as headings and paragraphs) and presentation (how the document is laid out and styled)"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D02,"Represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important",,"Creating webpages using HyperText Markup Language (HTML) for the content and structure, and Cascading Style Sheets (CSS) for styling the page, and explaining how HTML tags separate content from structure"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D02,"Represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important",,"Explaining how representing content, structure and presentation separately allows each of these to be designed, edited, manipulated and stored independently of the others, and why this is important"
Technologies,Digital Technology,Years 9 and 10,"Data, Information and Privacy",,VC2TDI10D03,"Develop techniques to acquire, store, manipulate and validate data from a range of sources using software tools, including spreadsheets and relational databases",,"Identifying strengths and weaknesses of collecting data using different methods, for example online surveys, face-to-face interviews, phone interviews, observations, comments in response to a social media post, phone logs, browser history and online webcam systems"
