Subject,Term,Definition
Digital Technologies,Abstraction,"The process of reducing complexity to define a main idea, problem or solution. This is achieved by hiding details to focus on a manageable number of aspects."
Digital Technologies,Advanced feature,"A function or peripheral that uses the specialised capabilities of digital tools (hardware and software), for example using a style sheet to automate formatting or a drone to capture field data."
Digital Technologies,AI (artificial intelligence),A field in computer science that enables computers to perform tasks in which they are able to be trained and learn in order to solve problems. It also involves machine learning and deep learning to enable tasks to be performed in less time and for the automation of repetitive tasks.
Digital Technologies,AI model,An algorithm that has been trained on a collection of data or data sets to recognise patterns in the data to make predictions or decisions. This is all completed without human intervention.
Digital Technologies,AI tool,A software tool that uses artificial intelligence to automate specific tasks by analysing data and making decisions.
Digital Technologies,AI-generated content,"New content created (e.g. text, images and video) by an application involving algorithms that use machine learning techniques to analyse and recognise patterns in data."
Digital Technologies,Algorithm,"A description of the steps and decisions required to solve a problem. An algorithm often has iterative (repetitive) processes. An algorithm can be represented as a flowchart or pseudocode. For example, to find the largest number in a list of positive numbers: 1. Note the first number as the largest. 2. Look through the remaining numbers, in turn, and if a number is larger than the number found in step 1, note it as the largest. 3. Repeat this process until complete. The last noted number is the largest in the list."
Digital Technologies,Alt tag,A description in text that includes the specific information included in an image. The description is displayed when mousing over the image.
Digital Technologies,American Standard Code for Information Interchange (ASCII),"An early encoding system (that was later extended) used to represent characters, including 0--9 and a--z, in computer systems. For example, capital letter P is represented by the number 80 in ASCII, which in turn is represented as 01010000 in binary. *See also:* data representation"
Digital Technologies,App,*See:* application
Digital Technologies,Application (app),Software originally designed to run on mobile devices and to be quite targeted in its purpose; an app can now be considerably broader in its purpose.
Digital Technologies,AR,*See:* augmented reality
Digital Technologies,Artificial intelligence,*See:* AI
Digital Technologies,ASCII,*See:* American Standard Code for Information Interchange
Digital Technologies,Attribute,"A characteristic or property that identifies and describes an entity within a database. For example, an attribute of the entity 'person' could be 'name' or 'date of birth'."
Digital Technologies,Augmented reality (AR),A display over an existing real-world environment with computer-generated enhancements and limited interaction.
Digital Technologies,Australian Privacy Principles,"A component of the *Privacy Act 1988* that applies to organisations or agencies that the Privacy Act covers. The 13 Australian Privacy Principles govern the standards, rights and obligations involving: - collection, use and disclosure of personal information - integrity and correction of personal information - rights of an individual to access their personal information."
Digital Technologies,Autocomplete,A feature in a software tool to enhance user efficiency by making predictions and suggestions based on the word or phrase that the user types.
Digital Technologies,Automation,"The application of technology, such as a digital solution, which replaces a manual process that is typically repetitive (e.g. chatbot automation or a garage opener app)."
Digital Technologies,Binary,"Referring to a base 2 number system that uses 2 states or permissible values to represent data, such as the on and off positions of a light switch or the transistors in a computer silicon chip, which can be in either the electrical state of ON or OFF. Binary data is typically represented as a series of single digits referred to as binary digits (or bits), each having a value of either 0 or 1."
Digital Technologies,Bitmap,"A representation in which each item corresponds to one or more bits or pixels of information, especially the information used to control the display of a computer screen."
Digital Technologies,Boundary condition,"A range of values that are accepted between a minimum value and a maximum value. For example, a range check in an algorithm would look at ranges of test scores entered to determine the grade of an entered score. A test score between 90 and 100 could be A+, and between 80 and 89 could be A, etc."
Digital Technologies,Boundary test,"A testing technique that recognises that a computer program often behaves unexpectedly at the edges of an input range. For example, if the requirements for a computer program were to only accept a numeric input for a valid age field of 18 to 65 years, then boundary testing would involve using age inputs that are below the lower boundary (\<18), at the lower boundary (18), between 18 and 65, at the upper boundary (65) and above the boundary (\>65), to ensure the program produces the correct results."
Digital Technologies,Branching (decision),"A control structure that involves making a 'yes' (true) or 'no' (false) decision based on defined conditions and the data provided, and determining the next step (e.g. 'IF it is raining take a raincoat, ELSE take a hat')."
Digital Technologies,Cascading Style Sheets (CSS),"A style sheet language that renders the presentation of a document developed using HTML or XML. It includes the colour, font, size of text, positioning of elements in a document, images and background colours."
Digital Technologies,Central processing unit (CPU),"The main processor in a computer, which executes instructions that run the device's operating system and software applications."
Digital Technologies,Cloud storage,A system that enables data and files to be stored and accessed on the internet with a third-party provider. The third-party provider manages and secures the data stored.
Digital Technologies,Comparison operators (branching),"Operators (such as \<, \<=, \> or \>=) used in an algorithmic expression to compare values, returning 'true' or 'false' to make decisions (e.g. 'IF a \< b THEN do action 1 ELSE do action 2')."
Digital Technologies,Components,"The hardware and software parts of a digital system that perform specific functions and are needed for a system to operate. The components of a digital system may be a central processing unit (CPU); memory chips and a hard disk (for storing data and instructions); keyboard, mouse, camera and microphone (to input instructions and data for the CPU); screen, printer and speakers (to output data); USB port; and ethernet cards (to communicate with other systems or components)."
Digital Technologies,Compression,"The process of encoding information using fewer bits (i.e. 0 or 1) than the original representation to reduce file size -- typically using mathematical formulas to remove repeated data, combine related data or simplify data (e.g. a line segment can be represented by the positions of the endpoints instead of every dot on it). Common examples include: - ZIP files, which can contain one or more files or folders that have been compressed - JPEG files in digital photography, produced by processing the complete (lossless) data from the camera's sensor by compressing (looking for redundant/unnecessary data) into a smaller file size - MP3 files for audio, which compress the original audio source to reduce the file size significantly but still sound like an exact copy of the original."
Digital Technologies,Computational thinking,"A way of thinking comprising the components of decomposition, pattern recognition, abstraction, modelling and algorithms, which may be used to create digital solutions."
Digital Technologies,Concept map,A visual diagram that represents relationships between concepts and ideas. It can assist in the design of user interfaces and experiences.
Digital Technologies,Constraints,"Conditions or limitations (e.g. economic, technical, social and legal) that must be considered when designing a digital solution."
Digital Technologies,Control structures,"The decision-making building blocks of an algorithm that determine or control the sequence or order in which statements are executed. The 3 control structures are sequence, branching (selection) and iteration (repetition)."
Digital Technologies,Convention,"A rule or preferred standard about how content is to be created, located and communicated (e.g. using agreed formatting styles for headings and charts, and a common file-naming system)."
Digital Technologies,Country,"The physical environment that a particular Aboriginal and Torres Strait Islander Peoples' group has a relationship with. Referring to this territory as 'Country', rather than land, indicates a reciprocal and deep relationship and one where Country both owns and is owned by the People. The concept of Country includes lands, waters and sky."
Digital Technologies,CPU,*See:* central processing unit
