Subject,Band,ASFullText_V2,ASFullText_V1,ChangeComment
English,Foundation A,"By the end of Foundation Level A, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students use their preferred communication modality to express immediate needs. They briefly engage in shared attention and use their preferred communication modality to attract attention or continue an action.

They use their preferred communication modality to demonstrate preferences through the acceptance or rejection of familiar objects or activities.

Reading and Viewing
When listening to and/or viewing print and digital texts, students engage with a range of different types of texts and respond by attending to and exploring images, sounds and/or sensory experiences related to texts.

They demonstrate interest in texts and engage for brief periods when having a book or other text read to them.

They respond to letters and their sounds, and to vocabulary used in reference to objects and activities that are familiar or of personal interest.

Writing
When creating texts, students demonstrate short periods of shared attention and participate in the joint construction of text.

They manipulate a range of tools to make marks.",N/A - New in Version 2.0,New achievement standard introduced in Version 2.0 for Foundation Levels A-D
English,Foundation B,"By the end of Foundation Level B, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students communicate using their preferred communication modality. They can reliably accept or reject objects, actions or events.

Students attend and respond to interactions consistently. They use single objects, gestures, symbols or words to express ideas related to their immediate environment.

Reading and Viewing
When listening to and/or viewing print and digital texts, students engage with a range of different types of texts and identify an event in a story.

They recognise familiar images, letters and words in their environment.

When demonstrating understanding of texts, students use their preferred communication modality to communicate single ideas or concepts without elaboration or detail.

Students identify how text is organised for navigation by using features of a text, such as the appropriate orientation and turning pages.

Writing
When co-creating and sharing short texts, students recount ideas by identifying an image, character or event in a preferred or known text.

Students express ideas using their preferred communication modality.

They participate in writing by intentionally making marks and repeating movements using writing tools and materials.",N/A - New in Version 2.0,New achievement standard introduced in Version 2.0 for Foundation Levels A-D
English,Foundation C,"By the end of Foundation Level C, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students initiate and respond to communication using learnt vocabulary to express ideas and describe activities or experiences. Using their preferred communication modality, students use interaction skills, such as attending and responding, using short phrases to express ideas.

They use short phrases to request, accept or reject objects, actions or events, using their preferred communication modality.

Reading and Viewing
When listening to and/or viewing print and digital texts, students engage with a range of different types of texts, and identify and comment on events and characters in a story.

They recognise and name familiar images, some letters and their sounds, and words in a variety of situations and contexts at school.

When demonstrating understanding of texts, students respond to simple questions by using their preferred communication modality to express ideas or comment without elaboration or detail.

Students identify how text is organised for navigation by turning one page at a time and differentiating between words and images in print.

Writing
When co-creating and sharing short texts, students retell ideas by sequencing images.

Students express ideas using their preferred communication modality.

They participate in writing by using writing tools and materials to create letter-like symbols.",N/A - New in Version 2.0,New achievement standard introduced in Version 2.0 for Foundation Levels A-D
English,Foundation D,"By the end of Foundation Level D, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students initiate and sustain interactions, responding using learnt vocabulary and phrasing, using their preferred communication modality.

They use phrases to communicate interests, preferences and ideas.

When communicating to an audience in familiar or structured situations, students present an idea or retell a story or event, using phrases to express ideas.

Reading and Viewing
When listening to and/or viewing a range of print and digital text types, students recognise, comment on and share feelings about settings, characters and events.

They replicate rhythms and sounds patterns, blend and segment one-syllable words, read some consonant-vowel-consonant (CVC) words and decode a small number of familiar words. They demonstrate knowledge of some phoneme–grapheme correspondences.

When demonstrating understanding of texts, students use comprehension strategies, such as connecting, predicting and questioning. They identify that images, letters, sounds and words contribute to meaning.

Students identify how types of text, in print, digital and multimodal format, are organised for purpose and navigation. They demonstrate knowledge of key elements of the sequence and structure of a text.

Writing
When creating and sharing short texts, students retell stories and report information using familiar symbols, letters and words.

They participate in shared editing processes, applying knowledge of capital letters and spacing between words.

They identify and select symbols, signs and letters to create a text. They independently form some letters, and group clusters of marks or letters that are separated by spaces to make words that convey meaning.

They use some phoneme–grapheme correspondences and form some familiar words.

They create images that represent ideas and show features that are understood by others.",N/A - New in Version 2.0,New achievement standard introduced in Version 2.0 for Foundation Levels A-D
English,Foundation,"By the end of Foundation, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students explore vocabulary used in familiar contexts and how language changes in different contexts.

They share thoughts and preferences.

When speaking to an audience, students deliver short spoken texts, including retelling stories and reporting events, using features of voice.

Reading and Viewing
When listening, reading and viewing, students engage with a range of different types of texts, including decodable and authentic texts, using developing phonic knowledge.

They blend, segment and manipulate phonemes in one-syllable words, and use knowledge of letters and sounds to read consonant-vowel-consonant (CVC) words. They read some high-frequency words and identify boundary punctuation.

When demonstrating understanding of texts, students identify and make connections between characters, settings and events and their own feelings and thoughts.

They identify how types of texts, both print and digital, are organised for purpose and navigation. They compare how textual elements other than language, such as images and sounds, can contribute to meaning.

Writing
When creating and sharing short texts, students retell stories and report information, using familiar words and images where appropriate. They share in simple editing processes.

They use words, phrases and punctuation, including capital letters and full stops, from familiar contexts and texts, and from their learning.

They form letters and spell most consonant-vowel-consonant (CVC) words.","Reading and Viewing 
By the end of the Foundation level, students use questioning and monitoring strategies to make meaning from texts. They recall one or two events from texts with familiar topics. They understand that there are different types of texts and that these can have similar characteristics. They identify connections between texts and their personal experience. They read short predictable texts with familiar vocabulary and supportive images, drawing on their developing knowledge of concepts about print, and sound and letters. They identify all the letters of the English alphabet in both upper- and lower-case, and know and can use the sounds represented by most letters.
Writing
When writing, students use familiar words and phrases and images to convey ideas. Their writing shows evidence of letter and sound knowledge, beginning writing behaviours and experimentation with capital letters and full stops. They correctly form all upper- and lower-case letters.
Speaking and Listening
Students listen to and use appropriate interaction skills to respond to others in a familiar environment. They can identify rhyme, letter patterns and sounds in words. Students understand that their texts can reflect their own experiences. They identify and describe likes and dislikes about familiar texts, objects, characters and events. 
In informal group and whole-class settings, students communicate clearly. They retell events and experiences with peers and known adults. They identify and use rhyme, letter patterns and sounds in words.","Used the same structure (language modes), changed the sequence, created clear throughlines of the skills sets identified under each language mode"
English,Level 1,"By the end of Level 1, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students understand the vocabulary of curriculum area topics and use language, facial expressions and gestures when requesting, exclaiming and commanding. They use turn-taking skills.

They explore language to express preferences and opinions.

When speaking to an audience, students deliver short spoken texts, engaging with personal or learnt topics, using features of voice.

Reading and Viewing
When listening, reading and viewing, students engage with a range of different types of texts, including decodable and authentic texts, using developing phonic knowledge.

They blend, segment and manipulate words with one and 2 syllables. They read an increasing number of high-frequency words and understand boundary punctuation.

When demonstrating understanding of texts, students discuss characters, settings, events and images, and make connections between texts and their personal experiences. They begin to build their understanding of literal and inferred meanings. They identify how types of texts, both print and digital, are organised for purpose and navigation. They compare how textual elements other than language, such as images and sounds, can contribute to meaning in texts.

Writing
When creating short written and spoken texts, students use narrative and informative text structures; incorporate some detail from previously encountered texts, learnt topics or topics of interest; and include appropriate multimodal elements. They re-read their texts and complete simple edits.

They select learning area or topic-specific vocabulary.

They write words using unjoined lower-case and upper-case letters. They spell most one- and 2-syllable words with common letter patterns and common grammatical morphemes, and an increasing number of high-frequency words. They apply boundary punctuation.","Reading and Viewing
By the end of Level 1, students understand the different purposes of texts. They make connections to personal experience when explaining characters and main events in short texts. They identify that texts serve different purposes and that this affects how they are organised. They are able to read aloud, with developing fluency, short texts with some unfamiliar vocabulary, simple and compound sentences and supportive images. When reading, they use knowledge of the relationships between sounds and letters, high-frequency words, sentence-boundary punctuation and directionality to make meaning. They recall key ideas and recognise literal and implied meaning in texts.
Writing
When writing, students provide details about ideas or events, and details about the participants in those events. They accurately spell words with regular spelling patterns and use their knowledge of blending and segmenting, and many simple and high-frequency words to write predictable words. They use capital letters and full stops appropriately.
Speaking and Listening
Students listen to others when taking part in conversations using appropriate interaction skills. They listen for and reproduce letter patterns and letter clusters. Students understand how characters in texts are developed and give reasons for personal preferences. They can describe characters, settings and events in different types of literature. They create texts that show understanding of the connection between writing, speech and images. 
They create short texts for a small range of purposes. They interact in pair, group and class discussions, taking turns when responding. They make short presentations on familiar topics.","Used the same structure (language modes), changed the sequence, created clear throughlines of the skills sets identified under each language mode"
English,Level 2,"By the end of Level 2, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students apply learnt vocabulary and vary language choices depending on context, actively listen to others, and extend their own ideas.

They explore the language of appreciation and provide reasons for preferences.

When speaking to an audience, students deliver short spoken texts, engaging with topics for a familiar audience and appropriate for purpose, using features of voice.

Reading and Viewing
When reading and viewing, students engage with a range of different types of texts for meaning.

They read using phonic, morphemic and vocabulary knowledge; grammatical knowledge such as compound sentences, noun and verb groups; and knowledge of punctuation.

They read some unfamiliar words and most high-frequency words.

When demonstrating understanding of texts, students discuss and compare connections between characters, settings and events, and draw on their knowledge of context to build literal and inferred meanings. They express personal preferences for particular texts.

They describe how different types of texts across the curriculum, both print and digital, are organised for purpose and navigation. They understand that elements other than language – such as images and sounds – can multiply meanings in texts.

Writing
When creating short written and spoken texts, including stories to inform, express an opinion, explore an idea or narrate for audiences, students use ideas and details from previously encountered texts, learnt topics or topics of interest, and include appropriate multimodal elements. They re-read their texts and edit for improvement.

They use narrative and informative text structures to organise their own texts, and they use grammar and punctuation to create links.

They begin to make deliberate choices when applying learnt vocabulary.

They write words using consistently legible unjoined lower-case and upper-case letters. They spell words with regular spelling patterns and use phonic and morphemic knowledge to attempt to spell words with less common patterns.","Reading and Viewing
By the end of Level 2, students understand how similar texts share characteristics by identifying text structures and language features used to describe characters, settings and events or communicate factual information. They recognise all Standard Australian English phonemes, and most letter–sound matches. They read texts that contain varied sentence structures, some unfamiliar vocabulary, a significant number of high-frequency sight words and images that provide additional information. They monitor meaning and self-correct using context, prior knowledge, punctuation, language and phonic knowledge. They identify literal and implied meaning, main ideas and supporting detail. Students make connections between texts by comparing content.
Writing
Students create texts that show how images support the meaning of the text. They accurately spell words with regular spelling patterns and can write words with less common long vowels, trigraphs and silent letters. They use some punctuation accurately, and can write words and sentences legibly using unjoined upper- and lower-case letters.
Speaking and Listening
Students listen for particular purposes. They listen for and manipulate sound combinations and rhythmic sound patterns. When discussing their ideas and experiences, students use everyday language features and topic-specific vocabulary. They explain their preferences for aspects of texts using other texts as comparisons. They create texts that show how images support the meaning of the text. Students create texts, drawing on their own experiences, their imagination and information they have learned. Students use a variety of strategies to engage in group and class discussions and make presentations.","Used the same structure (language modes), changed the sequence, created clear throughlines of the skills sets identified under each language mode"
English,Level 3,"By the end of Level 3, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students extend topic-specific and appropriate vocabulary and use cooperation strategies and interaction skills to contribute to discussions.

They explore the language of evaluation and emotion.

When speaking to an audience, students deliver short spoken texts, exploring topics and text types, including multimodal or digital elements, and using features of voice.

Reading and Viewing
When reading and viewing, students engage with a range of different types of texts for meaning.

They read using phonic, morphemic and vocabulary knowledge; grammatical knowledge such as subject–verb agreement and tense; and knowledge of apostrophe use.

They read multisyllabic words with more complex letter patterns.

When demonstrating understanding of texts, they discuss connections between the experiences of characters in texts and their own personal experiences to build literal and inferred meanings. They share personal preferences for texts.

They explore how different types of texts across the curriculum, both print and digital, use different structures for purpose and navigation. They identify literary devices, such as rhythm and onomatopoeia, and describe how images and sound can extend meaning.

Writing
When creating written and spoken texts to inform, narrate, explain or argue, students use ideas and details from previously encountered texts, learnt topics or topics of interest, and they include appropriate multimodal elements. They re-read their texts and edit for meaning, structure and grammatical choices.

They use text structures to begin to develop paragraphs for different purposes. They use grammar and punctuation to appropriately represent processes and connections, including using modal verbs.

They extend their use of topic-specific vocabulary, such as technical words, and adopt and adapt language features from texts.

They write texts using letters that are joined, accurately formed and consistent in size. They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words.","Reading and Viewing
By the end of Level 3, students understand how content can be organised using different text structures depending on the purpose of the text. They understand how language features, images and vocabulary choices are used for different effects. They read texts that contain varied sentence structures, a range of punctuation conventions, and images that provide additional information. They apply appropriate text processing strategies when decoding and monitoring meaning in texts, and use knowledge of letter-sound relationships, and blending and segmenting to read more complex words. They can identify literal and implied meaning connecting ideas in different parts of a text. They select information, ideas and events in texts that relate to their own lives and to other texts.
Writing
Students' texts include writing and images to express and develop in some detail experiences, events, information, ideas and characters. They demonstrate understanding of grammar and choose vocabulary and punctuation appropriate to the purpose and context of their writing. They use knowledge letter–sound relationships and high-frequency words to spell words accurately, and can write words with complex consonant and vowel clusters. They reread and edit their writing, checking their work for appropriate vocabulary, structure and meaning. They write using joined letters that are accurately formed and consistent in size.
Speaking and Listening
Students listen to others’ views and respond appropriately using interaction skills. They understand how language features are used to link and sequence ideas. They understand how language can be used to express feelings and opinions on topics. They create a range of texts for familiar and unfamiliar audiences. They contribute actively to class and group discussions, asking questions, providing useful feedback and making presentations.","Used the same structure (language modes), changed the sequence, created clear throughlines of the skills sets identified under each language mode"
English,Level 4,"By the end of Level 4, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students use an expanded vocabulary and language to develop relationships in different contexts.

They share and extend ideas and information. They differentiate between the language of opinion, facts and feelings.

When speaking to an audience, students deliver structured spoken texts, exploring topics and text types, including multimodal or digital elements. They use language suitable to context, and appropriate features of voice.

Reading and Viewing
When reading and viewing, students engage with a range of different types of texts for meaning.

They read by integrating phonic, morphemic and vocabulary knowledge; grammatical knowledge such as the use of clauses and phrases to provide details and indicate relationships; and knowledge of punctuation for dialogue.

When demonstrating understanding of texts, students consider storylines, ideas and relationships between characters to build literal and inferred meanings. They describe the effects of text structures and language features. They share opinions about texts.

They explore how different types of texts across the curriculum, both print and digital, are organised into characteristic stages for purpose and navigation. They describe how literary devices, such as wordplay, shape meaning. They explore the framing and composition of still images and moving images and the use of sound.

Writing
When creating written and spoken texts for a small range of purposes and audiences, students adapt ideas and details from texts, learnt topics or topics of interest, and include appropriate multimodal elements. They edit their texts to improve content and structure.

They use text structures to sequence and connect ideas and to develop paragraphs. They use grammar and punctuation to create relationships, including through the use of tense.

They expand their vocabulary, such as through using synonyms and antonyms, and they use adverbial phrases to build meaning. They explore language features, including wordplay.

They write texts using clearly formed joined letters with developing fluency. They spell words, including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.","Reading and Viewing
By the end of Level 4, students understand that texts have different structures depending on the purpose and context. They explain how language features, images and vocabulary are used to engage the interest of audiences and can describe literal and implied meaning connecting ideas in different texts. They express preferences for particular types of texts, and respond to others’ viewpoints.
Writing
Students use language features to create coherence and add detail to their texts. They make use of their increasing knowledge of phonics, and they understand how to express an opinion based on information in a text. They create texts that show understanding of how images and detail can be used to extend key ideas. Students create well-structured texts to explain ideas for different audiences. They demonstrate understanding of grammar, select vocabulary from a range of resources and use accurate spelling and punctuation, rereading and editing their work to improve meaning.
Speaking and Listening
Students can collaborate, listen for key points in discussions and use the information to carry out tasks. They use language features to create coherence and add detail to their texts. They understand how to express an opinion based on information in a text. They create texts that show understanding of how images and detail can be used to extend key ideas. Students create structured texts to explain ideas for different audiences. They make presentations and contribute actively to class and group discussions, varying language according to context.","Used the same structure (language modes), changed the sequence, created clear throughlines of the skills sets identified under each language mode"
English,Level 5,"By the end of Level 5, students demonstrate the following skills in English.

Speaking and Listening
When interacting with others, students use vocabulary precisely and select language for social purposes and roles, to clarify meaning and make connections.

They extend their discussion beyond bare assertions and account for differing opinions and authoritative sources.

When speaking to an audience, students deliver structured spoken texts, exploring topics and text types, including multimodal or digital elements. They select language for a specific purpose and use appropriate features of voice.

Reading and Viewing
When reading and viewing, students engage with a range of different types of texts for meaning.

They read by integrating phonic, morphemic and vocabulary knowledge, and grammatical knowledge such as complex sentences and the use of clauses for effect.

When demonstrating understanding of texts, students identify textual aspects that represent details about historical, cultural and social contexts. They describe how texts convey feelings, mood, actions and ideas to build literal and inferred meanings. They evaluate information and ideas in texts. They explain how different types of texts, both print and digital, are organised into characteristic stages for purpose. They discuss the effects of imagery and sound devices in texts. They explain how the sequence of still images, and moving images and sound, create or affect meaning.

Writing
When creating written and spoken texts for specific purposes and audiences, students develop ideas and adapt textual details drawn from texts and include appropriate multimodal elements. They edit their texts using an agreed set of criteria.

They use text structures, including paragraphs, to create prominence and build sequence and cohesion. They use grammar and punctuation, including complex sentences to provide additional information and description.

They use precise vocabulary, such as specialist and technical terms. They experiment with language features, including figurative language.

They write legibly and fluently. They spell new and unfamiliar words using phonic, morphemic and grammatical knowledge.","Reading and Viewing
By the end of Level 5, students explain how text structures assist in understanding the text. They understand how language features, images and vocabulary influence interpretations of characters, settings and events. They analyse and explain literal and implied information from a variety of texts. They describe how events, characters and settings in texts are depicted and explain their own responses to them. When reading, they confidently encounter and can decode less familiar words.
Writing
Students use language features to show how ideas can be extended. They develop and explain a point of view about a text. They create imaginative, informative and persuasive texts for different purposes and audiences. When writing, they demonstrate understanding of grammar and sentence types, and they select specific vocabulary and use accurate spelling and punctuation. They edit their work for cohesive structure and meaning.
Speaking and Listening
Students listen and ask questions to clarify content. They use language features to show how ideas can be extended. They develop and explain a point of view about a text selecting information, ideas and images from a range of resources. They create a variety of sequenced texts for different purposes and audiences. They make presentations for defined purposed using multimodal elements, and contribute actively to class and group discussions, taking into account other perspectives.","Used the same structure (language modes), changed the sequence, created clear throughlines of the skill sets identified under each language mode"
