SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English,Year 5,Language,Language for interacting with others,VC2E5LA01,Understand how language is selected for social contexts and that it helps to signal social roles and relationships,,Using language that signals the roles of chairperson and the different speaker positions in a debate
English,English,Year 5,Language,Language for interacting with others,VC2E5LA01,Understand how language is selected for social contexts and that it helps to signal social roles and relationships,,"Identifying ways in which cultures differ in making and responding to common requests, for example periods of silence or degrees of formality"
English,English,Year 5,Language,Language for interacting with others,VC2E5LA01,Understand how language is selected for social contexts and that it helps to signal social roles and relationships,,Identifying some cultural protocols and communication processes of Aboriginal and Torres Strait Islander Peoples
English,English,Year 5,Language,Language for interacting with others,VC2E5LA02,Understand how to move beyond making bare assertions by taking account of differing ideas or opinions and authoritative sources,,"Recognising that a bare assertion (for example, ‘It's the best film this year.’) often needs to be tempered by using the ‘impersonal it’ to distance oneself (for example, ‘It could be said that it is the best film this year.’); recruiting anonymous support (for example, ‘It is generally agreed that it is the best film this year.’); indicating a general source of the opinion (for example, ‘Most critics agree that it is the best film this year.’); specifying the source of the opinion (for example, ‘Reviewers for The Reel Film stated that it is the best film this year.’) and reflecting on the effect of these different choices"
English,English,Year 5,Language,Text structure and organisation,VC2E5LA03,"Describe how different types of texts use language features and are typically organised into characteristic stages and phases, depending on purposes",,"Becoming familiar with the typical stages and language features of types of texts such as narrative, procedure, argument, explanation, discussion and informative texts, and how they can be composed in written, digital and multimedia forms to achieve their purpose"
English,English,Year 5,Language,Text structure and organisation,VC2E5LA03,"Describe how different types of texts use language features and are typically organised into characteristic stages and phases, depending on purposes",,"Recognising that paragraphs vary in their function and how they are organised in a text and between different types of texts, for example the differences between paragraphs in a narrative, an argument and a procedure"
English,English,Year 5,Language,Text structure and organisation,VC2E5LA03,"Describe how different types of texts use language features and are typically organised into characteristic stages and phases, depending on purposes",,"Describing the stages and phases, and purposes, of narratives, historical recounts, procedural recounts, causal explanations, discussions of alternative positions on an issue, information reports, reviews and types of poems"
English,English,Year 5,Language,Text structure and organisation,VC2E5LA04,Understand how texts are sequenced and can be made cohesive by using the starting point of a sentence or paragraph to give prominence to the message and to guide the reader through the text,,"Observing how writers use the beginning of a sentence to signal to the reader how the text is developing, for example ‘Snakes are reptiles. They have scales and no legs. Many snakes are poisonous. However, in Australia they are protected.’"
English,English,Year 5,Language,Text structure and organisation,VC2E5LA04,Understand how texts are sequenced and can be made cohesive by using the starting point of a sentence or paragraph to give prominence to the message and to guide the reader through the text,,"Recognising that a sequence of clauses may use different tenses but remain connected through a topic, for example ‘Snakes were a problem in Australia. However, urban sprawl is ruining their habitats and they are now protected.’"
English,English,Year 5,Language,Text structure and organisation,VC2E5LA04,Understand how texts are sequenced and can be made cohesive by using the starting point of a sentence or paragraph to give prominence to the message and to guide the reader through the text,,"Recognising that sentence openers signal what the sentence will be about, and the rest of the sentence typically elaborates on the sentence opener by providing new information"
