Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,Level 7,Language,Language for interacting with others,VC2E7LA01,Understand how language expresses and creates personal and social identities,,Understanding local idioms and discussing their connection with personal and social identities
English,Level 7,Language,Language for interacting with others,VC2E7LA01,Understand how language expresses and creates personal and social identities,,"Developing dialogue that reveals character in comics, cartoons and animations"
English,Level 7,Language,Language for interacting with others,VC2E7LA02,Understand the language of evaluation and substantiation,,"Building knowledge about words of evaluation, including words to express emotional responses to texts, opinions of characters and their actions, and appreciation of the aesthetic qualities of text"
English,Level 7,Language,Language for interacting with others,VC2E7LA02,Understand the language of evaluation and substantiation,,"Analysing how evaluative language can be used to assess the qualities of a narrative or persuasive text, for example its impact on the reader or the author’s skill in the use of language"
English,Level 7,Language,Language for interacting with others,VC2E7LA02,Understand the language of evaluation and substantiation,,Recognising how evaluative language is used to critically assess the validity of evidence and the reliability of sources
English,Level 7,Language,Language for interacting with others,VC2E7LA02,Understand the language of evaluation and substantiation,,"Recognising and discussing the language used to substantiate a position or an argument, including language used in illustrations and graphic representations"
English,Level 7,Language,Text structure and organisation,VC2E7LA03,"Identify and describe how texts are structured differently depending on their purpose, and how language features vary in texts",,Examining the structures of book or film reviews and how they might move from description of context to summary of the text and then to a position on the text
English,Level 7,Language,Text structure and organisation,VC2E7LA03,"Identify and describe how texts are structured differently depending on their purpose, and how language features vary in texts",,"Recognising the social purpose of a persuasive text and how the purpose is reflected in the text structure and by the language features; for example, analysing the structure and language features of advertising posters"
English,Level 7,Language,Text structure and organisation,VC2E7LA03,"Identify and describe how texts are structured differently depending on their purpose, and how language features vary in texts",,"Describing the structure and language features of literary texts, arguments, discussions, creative and analytical responses to literary texts, films or popular media, and discussing how the structure and language serves the purpose of the text"
English,Level 7,Language,Text structure and organisation,VC2E7LA04,"Understand that the cohesion of texts relies on devices that signal, structure and sequence, such as overviews, examples, and beginnings and endings",,"Comparing and analysing the structure of media texts such as digital news sites or print media, and identifying strategies used to create cohesion"
English,Level 7,Language,Text structure and organisation,VC2E7LA04,"Understand that the cohesion of texts relies on devices that signal, structure and sequence, such as overviews, examples, and beginnings and endings",,"Identifying the ways that authors foreshadow how a text will unfold; for example, identifying the topic sentence, the key idea, sentence openers and text connectives"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA05,"Understand how complex and compound-complex sentences can be used to elaborate, extend and explain ideas",,Identifying and experimenting with a range of clause structures and discussing the effect of these in the expression and development of ideas
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA05,"Understand how complex and compound-complex sentences can be used to elaborate, extend and explain ideas",,"Consolidating knowledge of simple, compound and complex sentences, recognising that a simple sentence can express sophisticated ideas and a complex sentence need not express complex ideas"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA05,"Understand how complex and compound-complex sentences can be used to elaborate, extend and explain ideas",,"Examining the addition of ideas using a compound-complex sentence, for example ‘When the protagonist finally took action, the relationships between all other characters changed significantly.’"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA06,Understand how consistency of tense through verbs and verb groups achieves clarity,,"Identifying and discussing how verb tense is maintained in compound, complex and compound-complex sentences"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA06,Understand how consistency of tense through verbs and verb groups achieves clarity,,"Identifying and discussing different forms of verb tenses and their use to maintain consistency of tense in different sentences, for example ‘I organise the cake stall every week, and I am running the meeting this weekend as well.’"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA07,"Explore how still images, moving images and sound can be used to create a perspective",,Comparing how perspectives are created in animations and advertisements
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA07,"Explore how still images, moving images and sound can be used to create a perspective",,"Comparing how different advertisements advertise the same product, using techniques to create different perspectives for effect"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA07,"Explore how still images, moving images and sound can be used to create a perspective",,"Analysing how the illustrations in picture books, graphic novels and advertisements use size, colour, angle, proximity, vector and salience to influence the reader or audience"
English,Level 7,Language,Language for expressing and developing ideas,VC2E7LA07,"Explore how still images, moving images and sound can be used to create a perspective",,Exploring how the use of camera angles constructs perspective and affects representation
