Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,Foundation A,Language,Language for interacting with others,VC2EFALA01,"Use their preferred communication modality to accept or reject an object, action or activity",,"Vocalising, taking a hand or tapping an object or person to request more"
English,Foundation A,Language,Language for interacting with others,VC2EFALA01,"Use their preferred communication modality to accept or reject an object, action or activity",,"Rejecting an object or activity by moving their body, turning away from the object or activity, or pushing the object or activity away"
English,Foundation A,Language,Language for interacting with others,VC2EFALA01,"Use their preferred communication modality to accept or reject an object, action or activity",,"Drawing another person’s attention to preferred objects or activities using body language or movement; for example, turning away from an object or activity, pushing away an object or moving towards an object or activity when it is shown or offered"
English,Foundation A,Language,Language for interacting with others,VC2EFALA01,"Use their preferred communication modality to accept or reject an object, action or activity",,"Reaching towards a person or object when an action is stopped; for example, when an adult is clapping to music and stops, reaching towards the adult’s hands to indicate they want more"
English,Foundation A,Language,Language for interacting with others,VC2EFALA01,"Use their preferred communication modality to accept or reject an object, action or activity",,"Requesting the continuation of an activity or action; for example, pressing a switch to communicate ‘more’ or using eye gaze to attend to a visual symbol indicating the continuation of an action such as clapping"
English,Foundation A,Language,Text structure and organisation,VC2EFALA02,Attend to images in print and digital texts,,"Following an adult’s focus, gesture or visual attention to attend to an object and/or sound in relation to a text"
English,Foundation A,Language,Text structure and organisation,VC2EFALA02,Attend to images in print and digital texts,,"Demonstrating fleeting eye contact, gaze or movement towards a familiar text or object related to the text"
English,Foundation A,Language,Text structure and organisation,VC2EFALA02,Attend to images in print and digital texts,,"Responding to tactile elements, sounds, symbols or images when attending to a text"
English,Foundation A,Language,Language for expressing and developing ideas,VC2EFALA03,"Respond to familiar objects, actions or activities being named",,"Looking towards or reaching for an object, for example a cup when offered a drink"
English,Foundation A,Language,Language for expressing and developing ideas,VC2EFALA03,"Respond to familiar objects, actions or activities being named",,"Responding to a familiar instruction; for example, stopping an activity or action in response to the instruction ‘finish’"
English,Foundation A,Language,Language for expressing and developing ideas,VC2EFALA03,"Respond to familiar objects, actions or activities being named",,"Looking for familiar people, for example when an adult asks, ‘Where’s [name]?’"
