Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,Level 1,Language,Language for interacting with others,VC2E1LA01,"Explore how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands",,"Recognising the effects of words, signing, gestures and body language on the way that communications are received by others"
English,Level 1,Language,Language for interacting with others,VC2E1LA01,"Explore how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands",,"Understanding that symbols, gestures and body language are key components of communication in Aboriginal and Torres Strait Islander communities"
English,Level 1,Language,Language for interacting with others,VC2E1LA01,"Explore how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands",,Viewing short films and discussing how characters use words and body language to convey emotions
English,Level 1,Language,Language for interacting with others,VC2E1LA01,"Explore how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands",,"Learning the difference between closed questions (for example, ‘Are you ready?’) and open questions (for example, ‘What made this text so exciting?’)"
English,Level 1,Language,Language for interacting with others,VC2E1LA02,"Explore language to provide reasons for likes, dislikes and preferences",,"Using words such as ‘because’ to introduce reasons for likes, dislikes and preferences"
English,Level 1,Language,Language for interacting with others,VC2E1LA02,"Explore language to provide reasons for likes, dislikes and preferences",,"Exploring comparative words (adjectives) to express the degree of preference, for example ‘better’ and ‘faster’"
English,Level 1,Language,Text structure and organisation,VC2E1LA03,"Explore how types of texts are organised according to their purpose, such as to recount, narrate, express opinion, inform, report and explain",,Discussing and comparing the purposes and organisation of familiar texts
English,Level 1,Language,Text structure and organisation,VC2E1LA03,"Explore how types of texts are organised according to their purpose, such as to recount, narrate, express opinion, inform, report and explain",,"Becoming familiar with the typical stages of types of texts, for example recount and procedure"
English,Level 1,Language,Text structure and organisation,VC2E1LA03,"Explore how types of texts are organised according to their purpose, such as to recount, narrate, express opinion, inform, report and explain",,"Recognising that the structure of a text may include words and pictures; for example, an informative text may include words, illustrations and diagrams"
English,Level 1,Language,Text structure and organisation,VC2E1LA04,"Explore how repetition, rhyme and rhythm create cohesion in simple poems, chants and songs",,"Identifying patterns of repetition in texts, for example repetition of sentence patterns such as ‘Have you seen …’"
