SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S01,Identify and explore digital systems including hardware and software components for a purpose,,"Taking photos using a tablet device, with permission, to share with other students, for example close-up photos of Aboriginal and/or Torres Strait Islander Peoples’ cultural artefacts, such as woven mats or baskets, that reveal intricate detail"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S01,Identify and explore digital systems including hardware and software components for a purpose,,"Recognising digital systems that they interact with at home and school, for example a smartphone, laptop or programmable toy"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S01,Identify and explore digital systems including hardware and software components for a purpose,,"Making a model of a digital system, using it in a role-play scenario and describing its features, for example a cardboard box with a keyboard and screen with app icons"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S01,Identify and explore digital systems including hardware and software components for a purpose,,"Naming and using digital systems that they interact with at home and school, for example using a touchpad to move the cursor on a laptop, or a keyboard to type a simple message on a tablet"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S01,Identify and explore digital systems including hardware and software components for a purpose,,"Using different digital systems to explore what these do and how to use them; for example, selecting the camera icon allows students to take photos of different types of objects in a classroom"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S02,Identify some data that is personal and access their school account with a recorded username and password,,"Listing things that contain personal and public data, for example photos of themselves with their family (private) and photos of local community areas (public)"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S02,Identify some data that is personal and access their school account with a recorded username and password,,"Identifying apps and websites they use where their personal data could be made visible, for example photos of themselves on parents’ or carers’ social media, or their username being shown to others in online games"
Technologies,Digital Technologies,Foundation to Year 2,Digital Systems and Security,,VC2TDI2S02,Identify some data that is personal and access their school account with a recorded username and password,,"Using a username and password recorded in a private place to access a digital system, for example logging into a school computer using details given on a card by a teacher"
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D01,"Explore patterns in data and represent data as objects, pictures, symbols, numbers and words",,"Using a symbol to represent an idea, but knowing that the symbol is not the data itself, for example the symbols and colours on both the Australian Aboriginal flag and the Torres Strait Islander flag"
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D01,"Explore patterns in data and represent data as objects, pictures, symbols, numbers and words",,"Drawing a picture representing each of their family members and their interests, for example drawing one family member with a surfboard and another reading a book"
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D01,"Explore patterns in data and represent data as objects, pictures, symbols, numbers and words",,"Using coloured blocks to represent an attribute of people, for example representing students and their sports houses, birthdays, pets or favourite ice-cream flavours"
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D01,"Explore patterns in data and represent data as objects, pictures, symbols, numbers and words",,"Recognising the equivalence of different representations of numbers, including words, digits and tally marks"
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D02,"Explore and use the basic features of common digital tools to create, locate and communicate content for a diverse audience",,Finding digital images of (local) Australian flora and fauna or places for use in a story and including Aboriginal and/or Torres Strait Islander Peoples’ language names for the items
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D02,"Explore and use the basic features of common digital tools to create, locate and communicate content for a diverse audience",,"Using familiar digital systems to create content to present to the class, for example using presentation software to retell a story"
Technologies,Digital Technologies,Foundation to Year 2,"Data, Information and Privacy",,VC2TDI2D02,"Explore and use the basic features of common digital tools to create, locate and communicate content for a diverse audience",,"Taking, storing safely and presenting photos of class work, for example locating photos they took of their work to show to parents or carers or for a teacher to upload to the class shared folder"
