Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Levels 3 and 4,VC2HC4K01,VCCCG001,Identify features of government and law and describe key democratic values,Refined,Refined to connect to key concepts and aims
Levels 3 and 4,VC2HC4K02,VCCCG002,Identify how and why decisions are made democratically in communities,Refined,Refined to connect to key concepts and aims
Levels 3 and 4,VC2HC4K03,VCCCG003,Explain the roles of local government and some familiar services provided at the local level,Refined,Refined
Levels 3 and 4,VC2HC4K04,VCCCL005,Distinguish between rules and laws and discuss why rules and laws are important,Refined,Refined
Levels 3 and 4,VC2HC4K05,VCCCL004,Explain how and why people make rules,Refined,Refined to connect to key concepts
Levels 3 and 4,VC2HC4K06,VCCCC007,"Describe the different cultural, religious and/or social groups to which they and others in the community may belong",Refined,Refined. Added ‘and their importance to identity’
Levels 3 and 4,VC2HC4K07,VCCCC006,Investigate why and how people participate within communities and cultural and social groups,Refined,Refined
Levels 3 and 4,VC2HC4S01,,,New,New content description. No Skills strand in VC1
Levels 3 and 4,VC2HC4S02,,,New,New content description. No Skills strand in VC1
Levels 3 and 4,VC2HC4S03,,,New,New content description. No Skills strand in VC1
Levels 3 and 4,VC2HC4S04,,,New,New content description. No Skills strand in VC1
Levels 3 and 4,VC2HC4S05,,,New,New. No Skills strand in VC1
Levels 5 and 6,VC2HC6K01,VCCCG010,Identify and discuss the key features of the Australian electoral process,Updated,Adapted to refine and synthesise content
Levels 5 and 6,VC2HC6K01,VCCCG011,Identify the roles and responsibilities of electors and representatives in Australia's democracy,Updated,Adapted to refine and synthesise content
Levels 5 and 6,VC2HC6K02,VCCCG008,"Discuss the values, principles and institutions that underpin Australia’s democratic forms of government and explain how this system is influenced by the Westminster system",Updated,"Adapted to refine, synthesise and make more accessible"
Levels 5 and 6,VC2HC6K03,VCCCG009,"Describe the roles and responsibilities of the three levels of government, including shared roles and responsibilities within Australia's federal system",Refined,Refined for conciseness
Levels 5 and 6,VC2HC6K04,VCCCL013,"Explain how and why laws are enforced and describe the roles and responsibilities of key personnel in law enforcement, and in the legal system",Refined,Refined
Levels 5 and 6,VC2HC6K05,,,New,"New content description. Building on rights and responsibilities in Levels 3 and 4 to show progression. Clearly links to key concepts, aims and skills"
Levels 5 and 6,VC2HC6K06,VCCCL012,Explain how state/territory and federal laws are initiated and passed through parliament,Refined,Refined
