SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K01,"Economic resources, including natural, human and capital, and the concept of economic scarcity",,"Classifying lists of economic resources (factors of production) as one of either natural, human or capital, identifying the economic resources used in the production of specific products and developing a visual representation showing this"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K01,"Economic resources, including natural, human and capital, and the concept of economic scarcity",,"Distinguishing between needs and wants and exploring how different people have differing needs and wants that change over time, and then recording this in a visual representation"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K01,"Economic resources, including natural, human and capital, and the concept of economic scarcity",,"Collecting data showing fluctuations in the price of a common item, such as bananas or meat, graphing this and then considering and listing reasons for why price fluctuates over time"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K02,What taxation is and why people need to pay it,,Researching the goods and services tax (GST) and its impact on personal spending and the prices of purchases
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K02,What taxation is and why people need to pay it,,Calculating the amount of GST paid for specific purchases
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K02,What taxation is and why people need to pay it,,"Researching the history of taxation, identifying types of taxes paid in ancient Rome, the Middle Ages and in other countries currently, and constructing a timeline depicting this"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Economic literacy,VC2HE6K02,What taxation is and why people need to pay it,,Researching and summarising the services offered by the Australian Taxation Office (ATO)
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Business and entrepreneurship,VC2HE6K03,"Entrepreneurship and the common attributes, skills and personal qualities of successful entrepreneurs",,"Working in small groups to research an entrepreneur and their businesses, and preparing a presentation about the entrepreneur, including details about their history, types of business and the qualities they possess that make them a successful entrepreneur"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Business and entrepreneurship,VC2HE6K03,"Entrepreneurship and the common attributes, skills and personal qualities of successful entrepreneurs",,"Identifying examples of entrepreneurs and the entrepreneurial knowledge, skills and capabilities they bring to their business, such as the ability to recognise opportunities and establish a shared vision, a willingness to take risks and sound economic decision-making"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Work,VC2HE6K04,Work and the benefits it brings to both the individual and the community,,"Researching a job/occupation, including the type of work done, hours worked, skills and qualifications required, and the advantages and disadvantages of working in this job"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Work,VC2HE6K04,Work and the benefits it brings to both the individual and the community,,"Surveying the families of class members about the types of jobs done and classifying the jobs into categories, including the tasks done within each job and the advantages and disadvantages of working in each occupation"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Work,VC2HE6K04,Work and the benefits it brings to both the individual and the community,,"Preparing a family tree going back to their great-grandparents, noting the life span and job/s of each person, the jobs that appear most frequently in the family and any industry or job patterns"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Work,VC2HE6K04,Work and the benefits it brings to both the individual and the community,,Selecting one job that has appeared in their family/family history and researching how this job has changed over the generations
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K05,Factors that influence personal consumer and financial decision-making,,"Analysing the features and prices of 2 different brands of a product, such as a car or toy, and then comparing the 2 products and deciding which represents the best value for money"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K05,Factors that influence personal consumer and financial decision-making,,"Collecting, observing and analysing different forms and examples of advertising, explaining how each example seeks to influence consumer purchasing decisions and identifying different ways advertisers attempt to influence consumer purchasing decisions and how these differ according to the demographic of the target market, for example the differences in advertisements aimed at young children compared to teenagers or males compared to females"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K05,Factors that influence personal consumer and financial decision-making,,"Modelling a typical purchase, considering the factors that influence the final purchase made, for example a mobile phone plan or a holiday"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K06,Strategies for informed personal consumer and financial decision-making,,Exploring ‘smart shopping’ and how a consumer can become a ‘smart shopper’
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K06,Strategies for informed personal consumer and financial decision-making,,"Investigating and comparing the prices and features of multiple brands of a type of product, such as mobile phone plans, a type of footwear or a bicycle, deciding which brand is the best value, best quality and best for them personally, based on price, quality and personal taste, and then researching to find the retailer that offers the best deal for the specific product chosen"
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K07,Managing personal finances and keeping money safe,,Designing a poster showing the steps taken and questions that should be asked when opening a personal bank account and constructing a chart showing the different types of products and services offered by a bank or another type of financial institution
HASS,Economics and Business,Years 5 and 6,Knowledge and Understanding,Consumer and financial literacy,VC2HE6K07,Managing personal finances and keeping money safe,,Using a budgeting app or online budgeting tool to construct a personal budget
HASS,Economics and Business,Years 5 and 6,Skills,Investigating,VC2HE6S01,"Develop questions to investigate economic, business, work or financial issues and systems",,"Developing different types of research questions for different purposes, such as probing questions to seek details, open-ended questions to elicit more ideas, practical questions to guide the application of entrepreneurial skills and qualities, and ethical questions regarding economic decision-making"
