Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation to Level 2,Geography,"By the end of Level 2, students define places and describe natural and constructed features of places, including weather and seasons; the importance of people’s attachments to places; and how places can change and be cared for.",Knowledge and Understanding,"attachments,cared,change,constructed,define,describe,features,importance,including,level,natural,people’s,places,seasons,students,weather","VC2HG2K01,VC2HG2K02,VC2HG2K04,VC2HG2K05,,VC2HG2K06",High
Foundation to Level 2,Geography,"Students identify and describe people’s interconnections with places in Australia and the world, both at local and broader scales.",Knowledge and Understanding,"australia,broader,describe,identify,interconnections,local,people’s,places,scales,students,world","VC2HG2K03,VC2HG2K07",High
Foundation to Level 2,Geography,"Students ask geographical questions, and they collect, sort and record related information and data from observations and provided sources.",Skills,"collect,data,geographical,information,observations,provided,questions,record,related,sort,sources,students","VC2HG2S01,VC2HG2S01",High
Foundation to Level 2,Geography,They represent and describe the information collected to draw conclusions and make proposals.,Skills,"collected,conclusions,describe,draw,information,make,proposals,represent","VC2HG2S03,VC2HG2S04",High
Foundation to Level 2,Geography,"Students use sources and geographical knowledge and concepts, and share observations about places.",Skills,"about,concepts,geographical,knowledge,observations,places,share,sources,students",VC2HG2S05,High
Levels 3 and 4,Geography,"By the end of Level 4, students identify and describe characteristics of diverse places and environments.",Knowledge and Understanding,"characteristics,describe,diverse,environments,identify,level,places,students","VC2HG4K01,VC2HG4K02,VC2HG4K05,VC2HG4K08",High
Levels 3 and 4,Geography,"They describe the functions and the characteristics of world climates and vegetation, interconnections between Australia and other parts of the world, and the sustainability of natural resources.",Knowledge and Understanding,"australia,between,characteristics,climates,describe,functions,interconnections,natural,other,parts,resources,sustainability,vegetation,world","VC2HG4K03,VC2HG4K04,VC2HG4K06,VC2HG4K07,VC2HG4K093",High
Levels 3 and 4,Geography,"Students develop questions and locate, collect and record information and data from a range of sources in a range of formats.",Skills,"collect,data,develop,formats,information,locate,questions,range,record,sources,students","VC2HG4S01,VC2HG4S02",High
Levels 3 and 4,Geography,They represent and analyse the information collected and draw conclusions.,Skills,"analyse,collected,conclusions,draw,information,represent","VC2HG4S03,VC2HG4S04",High
Levels 3 and 4,Geography,Students propose considered actions or responses and their impact.,Skills,"actions,considered,impact,propose,responses,students",VC2HG4S05,High
Levels 3 and 4,Geography,"They use ideas from sources, geographical knowledge and concepts (space, interconnection and environment) to describe the diversity of places and environments.",Skills,"(space,concepts,describe,diversity,environment),environments,geographical,ideas,interconnection,knowledge,places,sources",VC2HG4S06,High
Levels 5 and 6,Geography,"By the end of Level 6, students explain the influence of people on the characteristics of places, how they change and their sustainable management.",Knowledge and Understanding,"change,characteristics,explain,influence,level,management,people,places,students,sustainable","VC2HG6K01,VC2HG6K03,VC2HG6K04",High
Levels 5 and 6,Geography,They identify the major geographical divisions of the world and explain the geographical diversity of places and the impacts of interconnections between Australia and other countries.,Knowledge and Understanding,"australia,between,countries,diversity,divisions,explain,geographical,identify,impacts,interconnections,major,other,places,world","VC2HG6K02,VC2HG6K06,VC2HG6K07",High
Levels 5 and 6,Geography,Students explain bushfires and other climate hazards and consider how their impacts can be reduced.,Knowledge and Understanding,"bushfires,climate,consider,explain,hazards,impacts,other,reduced,students",VC2HG6K05,High
Levels 5 and 6,Geography,"They analyse some of the major economic, demographic and social differences between countries around the world.",Knowledge and Understanding,"analyse,around,between,countries,demographic,differences,economic,major,social,some,world",VC2HG6K08,High
Levels 5 and 6,Geography,"Students develop questions, and locate, collect and organise information and data from a range of primary and secondary sources.",Skills,"collect,data,develop,information,locate,organise,primary,questions,range,secondary,sources,students","VC2HG6S03,VC2HG6S04",High
Levels 5 and 6,Geography,"They represent and interpret information in different formats to describe patterns, trends and relationships.",Skills,"describe,different,formats,information,interpret,patterns,relationships,represent,trends","VC2HG6S04,VC2HG6S03,VC2HG6S02",High
Levels 5 and 6,Geography,They analyse information and develop evidence-based conclusions.,Skills,"analyse,conclusions,develop,evidence-based,information",VC2HG6S05,High
Levels 5 and 6,Geography,Students propose actions or responses to an issue or challenge and use criteria to assess the possible impacts.,Skills,"actions,assess,challenge,criteria,impacts,issue,possible,propose,responses,students",VC2HG6S06,High
Levels 5 and 6,Geography,"They select and organise ideas and findings from sources, using geographical knowledge and concepts (place, interconnection, environment and sustainability) to present descriptions and explanations.",Skills,"(place,concepts,descriptions,environment,explanations,findings,geographical,ideas,interconnection,knowledge,organise,present,select,sources,sustainability),using",VC2HG6S07,High
Levels 7 and 8,Geography,"By the end of Level 8, students explain the interconnections between people and places and environments, and environmental processes.",Knowledge and Understanding,"between,environmental,environments,explain,interconnections,level,people,places,processes,students","VC2HG8K02,VC2HG8K09,VC2HG8K10,VC2HG8S13,VC2HG8K17,VC2HG8K21",High
Levels 7 and 8,Geography,They explain how these interconnections change places or environments.,Knowledge and Understanding,"change,environments,explain,interconnections,places","VC2HG8K17,VC2HG8K22",High
Levels 7 and 8,Geography,"Students explain responses or strategies to address a geographical phenomenon, issue or challenge, referring to environmental, economic or social factors.",Knowledge and Understanding,"address,challenge,economic,environmental,explain,factors,geographical,issue,phenomenon,referring,responses,social,strategies,students","VC2HG8K04,VC2HG8K05,VC2HG8K11,VC2HG8K16,VC2HG8K21",High
Levels 7 and 8,Geography,They explain the sustainable management of water as a valuable renewable resource.,Knowledge and Understanding,"explain,management,renewable,resource,sustainable,valuable,water","VC2HG8K01,VC2HG8K02,VC2HG8K03,VC2HG8K04,VC2HG8K05",High
Levels 7 and 8,Geography,Students explain liveability and consider the ways in which it is measured and changed by people.,Knowledge and Understanding,"changed,consider,explain,liveability,measured,people,students,ways","VC2HG8K06,VC2HG8K07,VC2HG8K08,VC2HG8K09,VC2HG8K10,VC2HG8K11",High
Levels 7 and 8,Geography,They analyse ways that human activities change landforms and landscapes and ways of managing and protecting them.,Knowledge and Understanding,"activities,analyse,change,human,landforms,landscapes,managing,protecting,them,ways",",VC2HG8K12,VC2HG8K13,VC2HG8K14,VC2HG8K15,VC2HG8K16,VC2HG8K17",High
Levels 7 and 8,Geography,"Students explain the processes and patterns of urbanisation, issues for the sustainability of Australia’s cities and impacts of climate change.",Knowledge and Understanding,"australia’s,change,cities,climate,explain,impacts,issues,patterns,processes,students,sustainability,urbanisation","VC2HG8K18,VC2HG8K19,VC2HG8K20,VC2HG8K21,VC2HG8K22",High
Levels 7 and 8,Geography,"Students develop relevant questions about a geographical phenomenon, issue or challenge.",Skills,"about,challenge,develop,geographical,issue,phenomenon,questions,relevant,students",VC2HG8S01,High
Levels 7 and 8,Geography,"They collect, organise, process and represent information and data from primary and secondary sources using geospatial technologies.",Skills,"collect,data,geospatial,information,organise,primary,process,represent,secondary,sources,technologies,using","VC2HG8S02,VC2HG8S03",High
Levels 7 and 8,Geography,Students interpret and analyse data and information to explain patterns and trends and infer relationships.,Skills,"analyse,data,explain,infer,information,interpret,patterns,relationships,students,trends","VC2HG8S04,VC2HG8S02,VC2HG8S03",High
Levels 7 and 8,Geography,"They draw reasoned conclusions, consider ethical values about the impact of the geographical phenomenon, issue or challenge.",Skills,"about,challenge,conclusions,consider,draw,ethical,geographical,impact,issue,phenomenon,reasoned,values",VC2HG8S05,High
Levels 7 and 8,Geography,Students decide on appropriate strategies for action and explain potential impacts.,Skills,"action,appropriate,decide,explain,impacts,potential,strategies,students",VC2HG8S06,High
