Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation to Level 2,History,"By the end of Level 2, students identify continuity and change in personal, family and community life.",Historical Knowledge and Understanding,"change,continuity,identify","VC2HH2S05,VC2HH2K02,VC2HH2K01,VC2HH2K03,VC2HH2K04,VC2HH2S06",High
Foundation to Level 2,History,"They describe significant aspects of personal and family life, and of an individual, a site or an event in their community.",Historical Knowledge and Understanding,"describe,significance","VC2HH2K04,VC2HH2S07,VC2HH2K01,VC2HH2K02,VC2HH2K05",High
Foundation to Level 2,History,They identify how changing technology has influenced the daily life of their families and close connections and in the wider community.,Historical Knowledge and Understanding,identify,"VC2HH2K06,VC2HH2K01",High
Foundation to Level 2,History,Students ask historical questions to investigate the past and sequence significant events in the past and in their lives in chronological order.,Historical Concepts and Skills,"ask,chronology,investigate,order,question,sequence,significance","VC2HH2S01,VC2HH2S02,VC2HH2K04,VC2HH2S08,VC2HH2K05,VC2HH2K06",High
Foundation to Level 2,History,Students identify the features and content of sources and the perspectives of people in the past and present.,Historical Concepts and Skills,"identify,perspectives,present,sources","VC2HH2S04,VC2HH2S03,VC2HH2S01,VC2HH2S05,VC2HH2S08",High
Foundation to Level 2,History,They identify continuities and changes in daily life by comparing the past and the present and identify the causes and consequences of those changes.,Historical Concepts and Skills,"causes,change,consequences,identify,present,sequence,use","VC2HH2S06,VC2HH2S05,VC2HH2K06,VC2HH2S04,VC2HH2K03,VC2HH2S02",High
Foundation to Level 2,History,"They identify significant individuals, events and places in their families and community.",Historical Concepts and Skills,"identify,significance","VC2HH2S07,VC2HH2K04,VC2HH2S01,VC2HH2K05",High
Foundation to Level 2,History,"Students communicate an account of their lives, their family and close connections and community using historical terms and information from sources.",Historical Concepts and Skills,"communicate,sources","VC2HH2S08,VC2HH2K01,VC2HH2K04,VC2HH2K02,VC2HH2S03,VC2HH2S04",High
Levels 3 and 4,History,"By the end of Level 4, students describe continuity and change in their community and the significance of events, symbols and emblems in the celebration of Australia’s identity and diversity.",Historical Concepts and Skills,"change,continuity,describe,significance","VC2HH4K03,VC2HH4S02,VC2HH4S08,VC2HH4S06,VC2HH4K05,VC2HH4K02",High
Levels 3 and 4,History,They describe the significant events and the experiences and perspectives of people in Australia between 1750 and 1800.,Historical Knowledge and Understanding,"describe,perspectives,significance","VC2HH4S04,VC2HH4K05,VC2HH4K03,VC2HH4K08,VC2HH4K09,VC2HH4S02",High
Levels 3 and 4,History,"They describe causes and consequences of early colonisation for Aboriginal and Torres Strait Islander Peoples, new arrivals and the environment.",Historical Knowledge and Understanding,"causes,consequences,describe,sequence,use","VC2HH4S07,VC2HH4K01,VC2HH4K03,VC2HH4K04,VC2HH4K06,VC2HH4K09",High
Levels 3 and 4,History,Students ask a range of historical questions to identify evidence of the experiences of people in the past.,Historical Concepts and Skills,"ask,evidence,identify,question","VC2HH4S01,VC2HH4S04,VC2HH4S09,VC2HH4S03",High
Levels 3 and 4,History,They sequence events and life stories in chronological order to identify continuity and change in their community and in early colonial Australia.,Historical Concepts and Skills,"change,chronology,continuity,identify,order,sequence","VC2HH4S02,VC2HH4S06,VC2HH4K02,VC2HH4K10,VC2HH4S07,VC2HH4K03",High
Levels 3 and 4,History,They identify the features and contexts of different primary and secondary historical sources.,Historical Concepts and Skills,"identify,sources","VC2HH4S03,VC2HH4S09,VC2HH4S04,VC2HH4S01,VC2HH4S05",High
Levels 3 and 4,History,Students describe the perspectives of people in the past and why historical interpretations differ.,Historical Concepts and Skills,"describe,interpret,interpretations,perspectives","VC2HH4S04,VC2HH4S05,VC2HH4S09,VC2HH4S01,VC2HH4K08,VC2HH4K09",High
Levels 3 and 4,History,Students identify and describe continuity and change in the community and in the early colonisation of Australia.,Historical Concepts and Skills,"change,continuity,describe,identify","VC2HH4S06,VC2HH4K10,VC2HH4S02,VC2HH4K02,VC2HH4S07,VC2HH4K03",High
Levels 3 and 4,History,They describe the causes and consequences of changes in local communities and the early colonisation of Australia.,Historical Concepts and Skills,"causes,change,consequences,describe,sequence,use","VC2HH4K02,VC2HH4S07,VC2HH4K10,VC2HH4S02,VC2HH4K07,VC2HH4S06",High
