SubjectArea,Subject,Band,Strand,SubStrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K01,"Causes and consequences of the Industrial Revolution, the movement of people and European imperialism",,"Describing the significant technical developments of the Industrial Revolution and their impacts on manufacturing, social organisation and trade"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K01,"Causes and consequences of the Industrial Revolution, the movement of people and European imperialism",,"Identifying and describing the causes of the movement of peoples in the modern world, including the push factors (e.g. the Agricultural Revolution, the Industrial Revolution, the Irish Potato Famine, discrimination and persecution, and forced migration, such as slavery and convict settlements) and pull factors (e.g. the promise of a better life, employment opportunities, space and personal freedom)"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K01,"Causes and consequences of the Industrial Revolution, the movement of people and European imperialism",,"Identifying and describing the consequences of imperialism on colonised peoples, such as dispossession, disease and destruction of existing social structures and cultures"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K01,"Causes and consequences of the Industrial Revolution, the movement of people and European imperialism",,"Examining data on the movement of peoples in the period, such as the number of slaves transported and the nations/places involved, including Portugal, Britain, France, Spain and North America, or the number of people forced to migrate from Ireland because of the potato famine, and the nations/places they emigrated to, such as the USA, Canada and Australia"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K02,Significant ideas and developments and their impacts on society and politics,,"Explaining key ideas, their origins and their social and political consequences, such as democracy, capitalism, nationalism, liberalism, imperialism, conservatism, socialism, anarchism and egalitarianism"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K02,Significant ideas and developments and their impacts on society and politics,,"Discussing the relationship between the Industrial Revolution and its impacts on work practices, social structures, politics and the development of cities"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K02,Significant ideas and developments and their impacts on society and politics,,"Explaining why an idea emerged and the basis of that idea, such as Chartism (the movement in support of the People’s Charter of 1838 in Britain), and identifying changes that arose from that idea, such as universal male suffrage and the secret ballot"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K02,Significant ideas and developments and their impacts on society and politics,,"Examining the causes and impacts of the American Revolution on politics and citizens’ rights, including in the United Kingdom and France"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K02,Significant ideas and developments and their impacts on society and politics,,"Examining the role of religious beliefs in the movement to end the slave trade, reforms to improve the negative consequences of the Industrial Revolution, the enfranchisement of women and the rise of organised labour"
HASS,History,Years 9 and 10,Historical Knowledge and Understanding,Levels 9 and 10,VC2HH10K02,Significant ideas and developments and their impacts on society and politics,,Examining the consequences of the 1848 revolutions in Europe and their impact of political institutions
