Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation,Health and Physical Education,"By the end of Foundation, students identify similarities and differences between themselves and others.","Personal, Social and Community Health","between,differences,end,foundation,identify,others,similarities,themselves",VC2HPFP01,High
Foundation,Health and Physical Education,They name parts of the body and outline how their body is growing and changing.,"Personal, Social and Community Health","body,changing,growing,how,name,outline,parts",VC2HPFP02,High
Foundation,Health and Physical Education,They demonstrate personal and social skills to interact respectfully with others.,"Personal, Social and Community Health","demonstrate,interact,others,personal,respectfully,skills,social",VC2HPFP03,High
Foundation,Health and Physical Education,Students identify different emotions people experience.,"Personal, Social and Community Health","different,emotions,experience,identify,people",VC2HPFP04,High
Foundation,Health and Physical Education,They identify protective behaviours and help-seeking strategies to help keep themselves safe.,"Personal, Social and Community Health","behaviours,help,identify,keep,protective,safe,seeking,strategies,themselves","VC2HPFP05,VC2HPFP06",High
Foundation,Health and Physical Education,Students identify different types of health information and how it can be used in their lives.,"Personal, Social and Community Health","different,health,how,identify,information,lives,types,used",VC2HPFP07,High
Foundation,Health and Physical Education,Students apply fundamental movement skills to manipulate objects and space in a range of movement situations.,Movement and Physical Activity,"apply,fundamental,manipulate,movement,objects,range,situations,skills,space","VC2HPFM01,VC2HPFM02",High
Foundation,Health and Physical Education,They recognise the benefits of being physically active.,Movement and Physical Activity,"active,being,benefits,physically,recognise",VC2HPFM03,High
Foundation,Health and Physical Education,Students use personal and social skills to engage in fair and inclusive play.,"Personal, Social and Community Health","engage,fair,inclusive,personal,play,skills,social,use","VC2HPFP03,VC2HPFM05",High
Levels 1 and 2,Health and Physical Education,"By the end of Level 2, students explain how personal qualities contribute to one aspect of identity.","Personal, Social and Community Health","aspect,contribute,end,explain,how,identity,level,one,personal,qualities",VC2HP2P01,High
Levels 1 and 2,Health and Physical Education,They describe physical and social changes that occur as they grow older.,"Personal, Social and Community Health","changes,describe,grow,occur,older,physical,social",VC2HP2P02,High
Levels 1 and 2,Health and Physical Education,They demonstrate personal and social skills and describe strategies to develop respectful relationships.,"Personal, Social and Community Health","demonstrate,describe,develop,personal,relationships,respectful,skills,social,strategies",VC2HP2P03,High
Levels 1 and 2,Health and Physical Education,Students describe how emotional responses affect their own and others’ feelings.,"Personal, Social and Community Health","affect,describe,emotional,feelings,how,others,own,responses",VC2HP2P04,High
Levels 1 and 2,Health and Physical Education,They apply protective behaviours and help-seeking strategies that can help keep themselves and others safe.,"Personal, Social and Community Health","apply,behaviours,help,keep,others,protective,safe,seeking,strategies,themselves","VC2HP2P05,VC2HP2P06",High
Levels 1 and 2,Health and Physical Education,Students explain why health information is important for making choices.,"Personal, Social and Community Health","choices,explain,health,important,information,making,why",VC2HP2P07,High
Levels 1 and 2,Health and Physical Education,Students apply fundamental movement skills in different movement situations and explain how they move their body with objects and in space effectively.,"Personal, Social and Community Health","apply,body,different,effectively,explain,fundamental,how,move,movement,objects,situations,skills,space","VC2HP2M01,VC2HP2M02",High
Levels 1 and 2,Health and Physical Education,They describe factors that make physical activity safe and beneficial.,Movement and Physical Activity,"activity,beneficial,describe,factors,make,physical,safe",VC2HP2M03,High
Levels 1 and 2,Health and Physical Education,Students develop and apply rules while cooperating with others in a range of movement contexts.,Movement and Physical Activity,"apply,contexts,cooperating,develop,movement,others,range,rules,while","VC2HP2M04,VC2HP2M05",High
Levels 3 and 4,Health and Physical Education,"By the end of Level 4, students describe influences that strengthen resilience and identity.","Personal, Social and Community Health","describe,end,identity,influences,level,resilience,strengthen",VC2HP4P01,High
Levels 3 and 4,Health and Physical Education,"They describe strategies to respond to physical, social and emotional changes and transitions they experience.","Personal, Social and Community Health","changes,describe,emotional,experience,physical,respond,social,strategies,transitions",VC2HP4P02,High
Levels 3 and 4,Health and Physical Education,They apply personal and social skills and strategies to interact respectfully with others.,"Personal, Social and Community Health","apply,interact,others,personal,respectfully,skills,social,strategies",VC2HP4P04,High
Levels 3 and 4,Health and Physical Education,Students describe the influences that inclusion and the challenging of stereotypes have on choices and actions.,"Personal, Social and Community Health","actions,challenging,choices,describe,inclusion,influences,stereotypes","VC2HP4P05,VC2HP4P03",High
Levels 3 and 4,Health and Physical Education,They explain the variation in emotional responses and describe strategies to manage emotions.,"Personal, Social and Community Health","describe,emotional,emotions,explain,manage,responses,strategies,variation",VC2HP4P06,High
Levels 3 and 4,Health and Physical Education,They describe and apply protective behaviours and help-seeking strategies that can help keep themselves and others safe in online and offline situations.,"Personal, Social and Community Health","apply,behaviours,describe,help,keep,offline,online,others,protective,safe,seeking,situations,strategies,themselves","VC2HP4P07,VC2HP4P08",High
Levels 3 and 4,Health and Physical Education,"Students interpret health information to apply strategies that can enhance their own and others’ health, safety, relationships and wellbeing.","Personal, Social and Community Health","apply,enhance,health,information,interpret,others,own,relationships,safety,strategies,wellbeing","VC2HP4P09,VC2HP4P10",High
Levels 3 and 4,Health and Physical Education,Students refine and apply fundamental movement skills and demonstrate movement concepts across a range of situations.,"Personal, Social and Community Health","across,apply,concepts,demonstrate,fundamental,movement,range,refine,situations,skills","VC2HP4M01,VC2HP4M03",High
Levels 3 and 4,Health and Physical Education,They apply movement strategies to enhance movement outcomes.,Movement and Physical Activity,"apply,enhance,movement,outcomes,strategies","VC2HP4M02,VC2HP4M08",High
Levels 3 and 4,Health and Physical Education,They perform movement sequences using fundamental movement skills.,Movement and Physical Activity,"fundamental,movement,perform,sequences,skills,using",VC2HP4M04,High
Levels 3 and 4,Health and Physical Education,"Students describe the benefits of regular physical activity on health, wellbeing and physical fitness.",Movement and Physical Activity,"activity,benefits,describe,fitness,health,physical,regular,wellbeing",VC2HP4M05,High
Levels 3 and 4,Health and Physical Education,They examine contextual factors that influence safe participation in physical activity and propose strategies to incorporate regular physical activity into their own and others’ lives.,Movement and Physical Activity,"activity,contextual,examine,factors,incorporate,influence,lives,others,own,participation,physical,propose,regular,safe,strategies","VC2HP4M06,VC2HP4M07",High
Levels 3 and 4,Health and Physical Education,Students demonstrate fair play and inclusion through a range of roles in movement contexts.,Movement and Physical Activity,"contexts,demonstrate,fair,inclusion,movement,play,range,roles","VC2HP4M09,VC2HP4M10",High
Levels 5 and 6,Health and Physical Education,"By the end of Level 6, students explain how different contextual factors influence identities.","Personal, Social and Community Health","contextual,different,end,explain,factors,how,identities,influence,level",VC2HP6P01,High
Levels 5 and 6,Health and Physical Education,They propose strategies to manage developmental changes and transitions.,"Personal, Social and Community Health","changes,developmental,manage,propose,strategies,transitions",VC2HP6P02,High
Levels 5 and 6,Health and Physical Education,They explain how stereotypes influence roles and responsibilities.,"Personal, Social and Community Health","explain,how,influence,responsibilities,roles,stereotypes",VC2HP6P03,High
Levels 5 and 6,Health and Physical Education,"Students propose and apply strategies to demonstrate respect, empathy and inclusion to positively influence relationships.","Personal, Social and Community Health","apply,demonstrate,empathy,inclusion,influence,positively,propose,relationships,respect,strategies","VC2HP6P04,VC2HP6P05",High
Levels 5 and 6,Health and Physical Education,They propose strategies to manage emotions and analyse the influence of these strategies on relationships.,"Personal, Social and Community Health","analyse,emotions,influence,manage,propose,relationships,strategies",VC2HP6P06,High
