SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P01,Analyse and reflect on the influence of values and beliefs on the development of identities,,Examining the benefits of accepting and appreciating their unique qualities and strengths in supporting their own and others’ wellbeing (MH)
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P01,Analyse and reflect on the influence of values and beliefs on the development of identities,,Understanding and acknowledging the impacts of Aboriginal and Torres Strait Islander Peoples going through Sorry Business and the protocols that support the communities (MH)
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P01,Analyse and reflect on the influence of values and beliefs on the development of identities,,"Examining how cultural values and beliefs influence the way young people view themselves, for example Aboriginal and Torres Strait Islander people and Australians of Asian and other heritage (MH)"
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P01,Analyse and reflect on the influence of values and beliefs on the development of identities,,"Examining how cultural beliefs about the physical changes experienced during puberty can influence gender, cultural and sexual identities (MH, RS)"
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P01,Analyse and reflect on the influence of values and beliefs on the development of identities,,"Investigating strategies to manage the impact of influences on their identities and emotions, and responses to change; for example, seeking social support, practising mindfulness and emotional regulation (MH, RS)"
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P02,"Analyse the impact of changes and transitions, and devise strategies to support themselves and others through these changes",,Investigating the changing nature of peer and family relationships and proposing strategies to manage these changes (RS)
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P02,"Analyse the impact of changes and transitions, and devise strategies to support themselves and others through these changes",,"Accessing and assessing health information and services that support young people to effectively manage changes and transitions as they grow older, including information about sexually transmitted infections, contraception and safe sexual practices (RS, S)"
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P02,"Analyse the impact of changes and transitions, and devise strategies to support themselves and others through these changes",,Examining how ceremonies of Aboriginal and Torres Strait Islander Peoples involve sharing of cultural knowledge leading to changes in social standing and responsibilities (RS)
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P02,"Analyse the impact of changes and transitions, and devise strategies to support themselves and others through these changes",,"Examining the notion of code switching; that is, how Aboriginal and Torres Strait Islander Peoples live across multiple cultures, and how these transitions can affect a sense of belonging to culture, family and peer groups (MH, RS)"
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P02,"Analyse the impact of changes and transitions, and devise strategies to support themselves and others through these changes",,"Evaluating and practising coping, communication and problem-solving skills to manage changes and emotions associated with puberty, getting older and transitioning to new environments (such as secondary school) (MH, RS)"
HPE,Health and Physical Education,Years 7 and 8,"Personal, Social and Community Health",Identities and change,VC2HP8P02,"Analyse the impact of changes and transitions, and devise strategies to support themselves and others through these changes",,"Examining the impact of physical, social and emotional changes that occur during periods of transition (most of which are beyond an individual’s control) and discussing the value of positive peer environments in supporting belonging and wellbeing (MH, RS)"
