Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation to Level 2,VC2HH2K01,VCHHK058,"Who the people in their family are, describe where they were born and raised and how they are related to each other and how their stories are communicated and shared",Refined,Condensed for clarity
Foundation to Level 2,VC2HH2K02,VCHHK059,"Differences in family structures of families and the role of family groups today, and what they have in common and how these have changed or remained the same over time",Refined,More concise
Foundation to Level 2,,VCHHK060,"How the present, past and future are signified by terms indicating and describing time",Removed,Removed
Foundation to Level 2,VC2HH2K03,VCHHK061,"Differences and similarities between students' daily lives and perspectives of life during their parents’ and grandparents’ childhoods, including family traditions, leisure time and communications",Refined,More expansive to ensure inclusivity for potentially diverse constitutions of students’ families
Foundation to Level 2,VC2HH2K04,VCHHK062,"How they, their family, friends and communities commemorate past events that are important to them",Refined,Broader in focus to ensure inclusivity
Foundation to Level 2,VC2HH2K05,VCHHK063,"The history of a significant person, building, site or part of the natural environment in the local community and what it reveals about the pastThe significance today of an historical site of cultural or spiritual importance (VCHHK064)",Updated,"Focus on historical sites, as people are covered in other content descriptions"
Foundation to Level 2,VC2HH2K05,VCHHK064,"The history of a significant person, building, site or part of the natural environment in the local community and what it reveals about the past (VCHHK063)
The significance today of an historical site of cultural or spiritual importance",Updated,"Focus on historical sites, as people are covered in other content descriptions"
Foundation to Level 2,VC2HH2K06,VCHHK065,The effect of changing technology on people’s lives and their perspectives on the significance of that change,Refined,Uses historical concepts terminology of ‘consequences’
Foundation to Level 2,VC2HH2S01,,,New,New content description
Foundation to Level 2,VC2HH2S02,VCHHC053,Sequence significant events about personal and family history to create a chronological narrative,Refined,More concise to also apply more broadly
Foundation to Level 2,VC2HH2S03,VCHHC054,"Identify the content features of primary sources when describing the significance of people, places or events",Refined,More concise
Foundation to Level 2,VC2HH2S04,VCHHC055,Identify perspectives about changes to daily life from people in the past or present,Refined,More concise
Foundation to Level 2,VC2HH2S05,VCHHC056,Identify examples of continuity and change in family life and in the local area by comparing past and present,Refined,More concise
Foundation to Level 2,VC2HH2S06,,,New,New content description. Included to show progression across bands
Foundation to Level 2,VC2HH2S07,VCHHC057,Identify the significance of a person and/or place in the local community,Refined,More concise
Foundation to Level 2,VC2HH2S08,,,New,New content description
Levels 3 and 4,VC2HH4K01,VCHHK072,The significance of Country and Place to Aboriginal and Torres Strait Islander peoples who belong to a local area,Refined,Refined with slight update in language
Levels 3 and 4,VC2HH4K02,,,New,New content description
Levels 3 and 4,VC2HH4K03,VCHHK076,"Significance of days and weeks celebrated or commemorated in Australia and the importance of symbols and emblems, including Australia Day, ANZAC Day, Harmony Week, National Reconciliation Week, NAIDOC week and National Sorry DaySignificance of celebrations and commemorations in other places around the world (VCHHK077)",Updated,"Segmented 2 content descriptions across 3 content descriptions, given their distinct focus"
Levels 3 and 4,VC2HH4K03,VCHHK077,"Significance of days and weeks celebrated or commemorated in Australia and the importance of symbols and emblems, including Australia Day, ANZAC Day, Harmony Week, National Reconciliation Week, NAIDOC week and National Sorry Day (VCHHK076)
Significance of celebrations and commemorations in other places around the world",Updated,"Segmented 2 content descriptions across 3 content descriptions, given their distinct focus"
Levels 3 and 4,VC2HH4K04,VCHHK076,"Significance of days and weeks celebrated or commemorated in Australia and the importance of symbols and emblems, including Australia Day, ANZAC Day, Harmony Week, National Reconciliation Week, NAIDOC week and National Sorry DaySignificance of celebrations and commemorations in other places around the world (VCHHK077)",Updated,"Segmented 2 content descriptions across 3 content descriptions, given their distinct focus"
Levels 3 and 4,VC2HH4K04,VCHHK077,"Significance of days and weeks celebrated or commemorated in Australia and the importance of symbols and emblems, including Australia Day, ANZAC Day, Harmony Week, National Reconciliation Week, NAIDOC week and National Sorry Day (VCHHK076)
Significance of celebrations and commemorations in other places around the world",Updated,"Segmented 2 content descriptions across 3 content descriptions, given their distinct focus"
Levels 3 and 4,VC2HH4K05,VCHHK076,"Significance of days and weeks celebrated or commemorated in Australia and the importance of symbols and emblems, including Australia Day, ANZAC Day, Harmony Week, National Reconciliation Week, NAIDOC week and National Sorry DaySignificance of celebrations and commemorations in other places around the world (VCHHK077)",Updated,"Segmented 2 content descriptions across 3 content descriptions, given their distinct focus"
Levels 3 and 4,VC2HH4K05,VCHHK077,"Significance of days and weeks celebrated or commemorated in Australia and the importance of symbols and emblems, including Australia Day, ANZAC Day, Harmony Week, National Reconciliation Week, NAIDOC week and National Sorry Day (VCHHK076)
Significance of celebrations and commemorations in other places around the world",Updated,"Segmented 2 content descriptions across 3 content descriptions, given their distinct focus"
Levels 3 and 4,VC2HH4K06,VCHHK078,"The diversity and longevity of Australia’s first peoples and the significant ways Aboriginal and Torres Strait Islander peoples are connected to Country and Place (land, sea, waterways and skies) and the effects on their daily lives",Refined,Refined based on advice from the Aboriginal and Torres Strait Islander Reference Group
Levels 3 and 4,VC2HH4K07,VCHHK080,"Stories of the First Fleet, including causes and reasons for the journey, who travelled to Australia, and their experiences and perspectives following arrival",Refined,Refined based on advice from the Aboriginal and Torres Strait Islander Reference Group
Levels 3 and 4,VC2HH4K08,,,New,New content description
Levels 3 and 4,VC2HH4K09,VCHHK081,"The nature of contact between Aboriginal and Torres Strait Islander peoples and others, for example, the Macassans and the Europeans, and the effects of these interactions",Refined,Refined based on advice from the Aboriginal and Torres Strait Islander Reference Group
Levels 3 and 4,,VCHHK079,"The journey(s) of a significant world navigator, explorer or trader up to the late eighteenth century, including their contacts with and effects on other societies",Removed,Removed
Levels 3 and 4,VC2HH4K10,,,New,New content description. Addition based on advice from the Aboriginal and Torres Strait Islander Reference Group
Levels 3 and 4,,VCHHK074,The role that people of diverse backgrounds have played in the development and character of the local community and/or other societies,Removed,Removed. This content is sufficiently covered in Foundation to Level 2
Levels 3 and 4,,VCHHK075,"One significant narrative, myths or celebration from the past",Removed,Removed. This content is sufficiently covered in Foundation to Level 2
Levels 3 and 4,VC2HH4S01,,,New,New content description
Levels 3 and 4,VC2HH4S02,VCHHC066,"Sequence significant events in chronological order to create a narrative about one navigator, explorer or trader and Australian settlement",Refined,Refined to be broader in scope
Levels 3 and 4,VC2HH4S03,VCHHC067,"Identify the origin and content features of primary sources when describing the significance of people, places and events",Refined,Refined to be broader in scope
Levels 3 and 4,VC2HH4S04,VCHHC068,Describe perspectives of people from the past,Refined,Refined to be specific to sources
Levels 3 and 4,VC2HH4S05,,,New,New content description. Adapted VCHHC068 to focus on interpretations rather perspectives (important distinction in History)
Levels 3 and 4,VC2HH4S06,VCHHC069,"Identify and describe continuity and change over time in the local community, region or state and as a result of the effects of European explorationA significant example of change and a significant example of continuity over time in the local community, region or state/territory (VCHHK073)",Updated,Combined and refined to be broader in scope and encompass both VCHHC069 and VCHHK073
Levels 3 and 4,VC2HH4S06,VCHHK073,"Identify and describe continuity and change over time in the local community, region or state and as a result of the effects of European exploration (VCHHC069)
A significant example of change and a significant example of continuity over time in the local community, region or state/territory",Updated,Combined and refined to be broader in scope and encompass both VCHHC069 and VCHHK073
Levels 3 and 4,VC2HH4S07,,,New,"New content description, required for skills sub-strand"
