Subject,Band,Strand,SubStrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K01","Interpretations of early human evolution and migration and the establishment of societies, including Aboriginal and Torres Strait Islander Peoples’ populating the Sahul mega-continent",,"Creating an illustrated timeline of the evolution of hominins and anatomically modern humans, which can be extended to include migrations and the establishment of early and ancient societies in Africa, Europe, Asia, Australia and the Americas"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K01","Interpretations of early human evolution and migration and the establishment of societies, including Aboriginal and Torres Strait Islander Peoples’ populating the Sahul mega-continent",,"Mapping the Out-of-Africa and multiregional hypothesis of anatomically modern humans’ migration from Africa to other parts of the world and describing the key differences"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K01","Interpretations of early human evolution and migration and the establishment of societies, including Aboriginal and Torres Strait Islander Peoples’ populating the Sahul mega-continent",,"Outlining how different approaches, such as the use of excavation and stratigraphy, climatic, geological and environmental histories, oral histories, genetics and the data derived from radiocarbon dating, inform historical interpretations of the migrations of modern humans"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K01","Interpretations of early human evolution and migration and the establishment of societies, including Aboriginal and Torres Strait Islander Peoples’ populating the Sahul mega-continent",,"Investigating the techniques used to develop a chronology of Aboriginal and Torres Strait Islander Peoples’ migrations across the Australian continent or how DNA from hair samples confirms the connections of Aboriginal and Torres Strait Islander Peoples to specific parts of the continent"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K02","Development and features of early societies, such as the development of technologies, agriculture, trade, social groups, religious beliefs and laws",,"Developing shared definitions of key historical terms, such as ‘palaeolithic’, ‘neolithic’, ‘history’, ‘pre-history’, ‘nomadism’, ‘settlement’, ‘society’, ‘culture’, ‘agriculture’, ‘law’, ‘technology’, ‘trade’, ‘social groups’ and ‘religion’"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K02","Development and features of early societies, such as the development of technologies, agriculture, trade, social groups, religious beliefs and laws",,"Describing the economic, political and cultural features of an early society, such as those established in Africa, the Americas, Asia, Australia or Europe"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K02","Development and features of early societies, such as the development of technologies, agriculture, trade, social groups, religious beliefs and laws",,"Mapping the development of herding, crop cultivation and aquaculture in different parts of the world, and adding annotations indicating methods and techniques used and timing"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K02","Development and features of early societies, such as the development of technologies, agriculture, trade, social groups, religious beliefs and laws",,"Comparing early written codes of law, such as the Code of Ur-Nammu, or extracts from the Edicts of Ashoka or the Laws of Moses, to discuss similarities and differences between the codes and their functions in a society, or considering how societies shared understandings of law before the development of writing"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K02","Development and features of early societies, such as the development of technologies, agriculture, trade, social groups, religious beliefs and laws",,"Creating an annotated timeline comparing the development of stone and metal work in different societies of Africa, the Americas, Asia, Australia or Europe and proposing explanations for why these changes in technology occurred at different rates"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K02","Development and features of early societies, such as the development of technologies, agriculture, trade, social groups, religious beliefs and laws",,"Comparing the significant social and political organisation of early societies, such as those of the Celts, Persians, Phoenicians, Nubians, the Indus Valley peoples, or the early Andean cultures"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K03","The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Using a cross-sectional drawing from an archaeological excavation to identify the evidence located at various layers (stratigraphy) and what it reveals about change over time; for example, a charcoal layer containing human remains and weapons may indicate the capture and destruction of an ancient settlement"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K03","The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Describing various methods used by archaeologists for investigating the ancient past, for example stratigraphy to date discoveries or DNA testing to identify past individuals from their remains, such as Egyptian mummies, and common diseases"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K03","The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Examining the impact of modern infrastructure works, such as the Aswan Dam or motorways near Stonehenge, on sites of historical significance"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K03","The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Examining the roles and responsibilities of governments and other bodies, such as UNESCO, in protecting archaeological sites, such as Juukan Gorge, Western Australia, in 2020, Stonehenge or the temples of Abu Simbel"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K03","The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Investigating, individually or in small groups, world heritage criteria for significant ancient sites – for example, Budj Bim (Australia), Mohenjo-daro (Pakistan), Newgrange (Ireland), the Cradle of Humankind (South Africa), Ban Chiang (Thailand), Persepolis (Iran), Lascaux caves (France) – and sharing their research with the class"
History,"Levels 7 and 8","Historical Knowledge and Understanding","Overview: Levels 7 and 8","VC2HH8K04","Patterns of continuity and change caused by significant events between 600 CE and 1750 CE, including the transformation of the Roman world and the spread of major worldviews",,"Collaborating to create a timeline of global developments between 600 CE and 1750 CE; key events and developments to consider include the emergence and fall of key empires (e.g. the Roman Empire, the Holy Roman Empire, the Islamic Caliphate, the Moguls, the Japanese shogunate, the Aztecs, the Incas, the Spanish); the emergence of feudalism in western Europe; the spread of Christianity, Islam, Hinduism and Buddhism; phases of territorial expansion (e.g. the Vikings, Mongols and European navigators); and historical periods, such as the Renaissance, the Reformation, the Enlightenment, the Scientific Revolution and the Agrarian Revolution"
