Subject,Band,SkillArea,ComponentText,Keywords
Mathematics,FA,Number and Computation,"By the end of Foundation Level A, students participate in and respond to structured learning experiences, including counting, sharing, and adding and taking away from collections, in practical situations.","foundation,level,students,participate,respond,structured,learning,experiences,including,counting,sharing,adding,taking,away,collections"
Mathematics,FA,Mathematical Reasoning,Students respond to cause-and-effect experiences.,"students,respond,cause,effect,experiences"
Mathematics,FA,Measurement,Students participate in and respond to measurement activities through structured routine and non-routine activities and events during the school day.,"students,participate,respond,measurement,activities,through,structured,routine,events,during,school"
Mathematics,FA,Space and Geometry,Students observe and experience shapes and objects and respond to the sorting and naming of them.,"students,observe,experience,shapes,objects,respond,sorting,naming,them"
Mathematics,FA,Space and Geometry,"Students respond when the position of their body changes, and when they move to a different environment.","students,respond,when,position,their,body,changes,they,move,different,environment"
Mathematics,FB,Number and Computation,"By the end of Foundation Level B, students identify ‘one’ object and ‘more’ objects, and recognise one or more number names.","foundation,level,students,identify,object,more,objects,recognise,number,names"
Mathematics,FB,Number and Computation,"Students demonstrate an awareness of quantity and use direct comparison to determine ‘more’ and ‘different’ in practical situations, including partitioning and combining collections, sharing collections, and adding to and taking away from collections.","students,demonstrate,awareness,quantity,direct,comparison,determine,more,different,practical,situations,including,partitioning,combining,collections"
Mathematics,FB,Mathematical Reasoning,Students initiate cause-and-effect experiences.,"students,initiate,cause,effect,experiences"
Mathematics,FB,Mathematical Reasoning,"Students identify familiar objects as ‘big’ or ‘little’, using direct comparison in practical situations.","students,identify,familiar,objects,little,using,direct,comparison,practical,situations"
Mathematics,FB,Statistics and Probability,They show anticipation in response to routine events when transitioning from one experience to another.,"they,show,anticipation,response,routine,events,when,transitioning,experience,another"
Mathematics,FB,Space and Geometry,Students investigate the attributes of shapes and objects. They use direct comparison to determine if shapes and objects are ‘big’ or ‘little’.,"students,investigate,attributes,shapes,objects"
Mathematics,FB,Mathematical Reasoning,Students locate objects or people in a familiar environment.,"students,locate,objects,people,familiar,environment"
Mathematics,FC,Mathematical Reasoning,"By the end of Foundation Level C, students recognise and name groups of at least 5.","foundation,level,students,recognise,name,groups,least"
Mathematics,FC,Number and Computation,They use counting strategies to quantify collections to at least 5 and subitise to quantify collections to 3.,"they,counting,strategies,quantify,collections,least,subitise"
