SubjectArea,Subject,Band,AchievementStandard_V1,AchievementStandard_V2,ChangeComment
Mathematics,Mathematics,Foundation,"Number and Algebra
Students connect number names and numerals with sets of up to 20 elements, estimate the size of these sets, and use counting strategies to solve problems that involve comparing, combining and separating these sets. They match individual objects with counting sequences up to and back from 20. Students order the first 10 elements of a set. They represent, continue and create simple patterns.

Measurement and Geometry
Students identify measurement attributes in practical situations and compare lengths, masses and capacities of familiar objects. They order events, explain their duration, and match days of the week to familiar events. Students identify simple shapes in their environment and sort shapes by their common and distinctive features. They use simple statements and gestures to describe location.

Statistics and Probability
Students sort familiar categorical data into sets and use these to answer yes/no questions and make simple true/false statements about the data.","By the end of Foundation, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 20. They use subitising and counting strategies to quantify collections. Students compare the size of collections to at least 20. They partition and combine collections up to 10 in different ways, representing these with numbers. Students represent practical situations, including simple financial situations involving money, that involve quantifying, equal sharing, adding to and taking away from collections to at least 10. 
Students represent, continue and create simple repeating patterns.
Students identify the attributes of mass, capacity, length and duration, and use direct comparison strategies to compare objects and events. They sequence and connect familiar events to the time of day. 
Students name, create and sort familiar shapes and give their reasoning. They describe the position and the location of themselves and objects in relation to other objects and people within a familiar space. 
Students collect, sort and compare data in response to questions in familiar contexts.","Removed the 3 strand headings because no longer relevant (now in 5 strands for Foundation). Achievement standards have been split, refined and realigned to the revised Victorian curriculum.

Note: Probability strand applies from Level 3 – Global Proficiency Framework and research-based change"
Mathematics,Mathematics,Year 1,"Number and Algebra
Students connect number names and numerals with sets of up to 20 elements, estimate the size of these sets, and use counting strategies to solve problems that involve comparing, combining and separating these sets. They match individual objects with counting sequences up to and back from 20. Students order the first 10 elements of a set. They represent, continue and create simple patterns.

Measurement and Geometry
Students identify measurement attributes in practical situations and compare lengths, masses and capacities of familiar objects. They order events, explain their duration, and match days of the week to familiar events. Students identify simple shapes in their environment and sort shapes by their common and distinctive features. They use simple statements and gestures to describe location.

Statistics and Probability
Students sort familiar categorical data into sets and use these to answer yes/no questions and make simple true/false statements about the data","By the end of Level 1, students connect number names, numerals and quantities, and order numbers to at least 120. They demonstrate how one- and two-digit numbers can be partitioned in different ways and that two-digit numbers can be partitioned into tens and ones. Students partition collections into equal groups and skip count in twos, fives or tens to quantify collections to at least 120. They solve problems involving addition and subtraction of numbers to 20 and use mathematical modelling to solve practical problems involving addition, subtraction, equal sharing and grouping, using calculation strategies. 
Students use numbers, symbols and objects, including Australian coins, to create skip counting and repeating patterns, identifying the repeating unit. 
Students compare and order objects and events based on the attributes of length, mass, capacity and duration, communicating their reasoning. They measure the length of shapes and objects using uniform informal units. 
Students make, compare and classify shapes and objects using identifiable features. They give and follow directions to move people and objects within a space.
Students collect and record categorical data, create one-to-one displays, and compare and discuss the data using frequencies.","Removed the 3 strand headings because no longer relevant (now in 5 strands for Level 1). Achievement standards have been split, refined and realigned to the revised Victorian curriculum.

Note: Probability strand applies from Level 3 – Global Proficiency Framework and research-based change"
Mathematics,Mathematics,Year 2,"Number and Algebra
Students count to and from, and order numbers up to 1000. They perform simple addition and subtraction calculations, using a range of strategies. They find the total value of simple collections of Australian notes and coins. Students represent multiplication and division by grouping into sets and divide collections and shapes into halves, quarters and eighths. They recognise increasing and decreasing number sequences involving 2s, 3s, 5s and 10s, identify the missing element in a number sequence, and use digital technology to produce sequences by constant addition.

Measurement and Geometry
Students order shapes and objects, using informal units for a range of measures. They tell time to the quarter hour and use a calendar to identify the date, days, weeks and months included in seasons and other events. Students draw two-dimensional shapes, specify their features and explain the effects of one-step transformations. They recognise the features of three-dimensional objects. They interpret simple maps of familiar locations.

Statistics and Probability
Students collect data from relevant questions to create lists, tables and picture graphs with and without the use of digital technology. They interpret data in context. Students use everyday language to describe outcomes of familiar events","By the end of Level 2, students order and represent numbers to at least 1000; apply knowledge of place value to partition, rearrange and rename two- and three-digit numbers in terms of their parts; and regroup partitioned numbers to assist in calculations. They use mathematical modelling to solve practical additive and multiplicative problems, including money transactions, representing the situation and choosing calculation strategies. Students identify and represent part-whole relationships of halves, quarters and eighths in measurement contexts. 
Students describe and continue patterns that increase and decrease additively by a constant amount and identify missing elements in the pattern. They recall and demonstrate proficiency with addition and subtraction facts within 20 and multiplication facts for twos.
Students use uniform informal units to measure and compare shapes and objects. They determine the number of days between events using a calendar and read time on an analog clock to the hour, half-hour and quarter hour. Students use quarter, half, three-quarter and full measures of turn in everyday situations.
Students compare and classify shapes, describing features using formal spatial terms. They locate and identify positions of features in two-dimensional representations and move position by following directions and pathways. 
Students use a range of methods to collect, record, represent and interpret categorical data in response to questions.","Removed the 3 strand headings because no longer relevant (now in 5 strands for Level 2). Achievement standards have been split, refined and realigned to the revised Victorian curriculum.

Note: Probability strand applies from Level 3 – Global Proficiency Framework and research-based change"
Mathematics,Mathematics,Year 3,"Number and Algebra
Students count and order numbers to and from 10 000. They recognise the connection between addition and subtraction, and solve problems using efficient strategies for multiplication with and without the use of digital technology. Students recall addition and multiplication facts for single-digit numbers. They represent money values in various ways and correctly count out change from financial transactions. Students model and represent unit fractions for halves, thirds, quarters, fifths and eighths, and multiples of these up to one. They classify numbers as either odd or even, continue number patterns involving addition or subtraction, and explore simple number sequences based on multiples.

Measurement and Geometry
Students use metric units for length, area, mass and capacity. They tell time to the nearest minute. Students identify symmetry in natural and constructed environments. They use angle size as a measure of turn in real situations and make models of three-dimensional objects. Students match positions on maps with given information and create simple maps.

Statistics and Probability
Students carry out simple data investigations for categorical variables. They interpret and compare data displays. Students conduct chance experiments, list possible outcomes and recognise variations in results.","By the end of Level 3, students order and represent natural numbers beyond 10 000, classify numbers as either odd or even, and use the properties of odd and even numbers. They partition, rearrange and regroup two- and three-digit numbers in different ways to assist in calculations. Students extend and use single-digit addition and related subtraction facts and apply additive strategies to model and solve problems involving two- and three-digit numbers. They use a range of strategies to apply mathematical modelling to solve practical problems involving single-digit multiplication and division, recalling multiplication facts for twos, threes, fours, fives and tens. Students represent unit fractions and their multiples in different ways. They make estimates and determine the reasonableness of financial and other calculations. 
Students find unknown values in number sentences involving addition and subtraction. They create algorithms to investigate numbers and explore simple patterns. 
Students use familiar metric units when estimating, comparing and measuring the attributes of objects and events. They identify angles as measures of turn and compare them to right angles. Students estimate and compare measures of duration using formal units of time. They represent money values in different ways. 
Students make, compare and classify objects using key features. They interpret and create two-dimensional representations of familiar environments.
Students conduct guided statistical investigations involving categorical and discrete numerical data and interpret their results in terms of the context. They record, represent and compare data they have collected. 
Students use practical activities, observation or experiment to identify and describe outcomes and the likelihood of everyday events explaining reasoning. 
Students conduct repeated chance experiments and discuss variation in results.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum.

Note: Probability strand applies from Level 3 – Global proficiency framework and research-based change"
Mathematics,Mathematics,Year 4,"Number and Algebra
Students recall multiplication facts to 10 x 10 and related division facts. They choose appropriate strategies for calculations involving multiplication and division, with and without the use of digital technology, and estimate answers accurately enough for the context. Students solve simple purchasing problems with and without the use of digital technology. They locate familiar fractions on a number line, recognise common equivalent fractions in familiar contexts and make connections between fractions and decimal notations up to two decimal places. Students identify unknown quantities in number sentences. They use the properties of odd and even numbers and describe number patterns resulting from multiplication. Students continue number sequences involving multiples of single-digit numbers and unit fractions, and locate them on a number line.

Measurement and Geometry
Students compare areas of regular and irregular shapes, using informal units. They solve problems involving time duration. Students use scaled instruments to measure length, angle, area, mass, capacity and temperature of shapes and objects. They convert between units of time. Students create symmetrical simple and composite shapes and patterns, with and without the use of digital technology. They classify angles in relation to a right angle. Students interpret information contained in maps.

Statistics and Probability
Students describe different methods for data collection and representation, and evaluate their effectiveness. They construct data displays from given or collected data, with and without the use of digital technology. Students list the probabilities of everyday events. They identify dependent and independent events","By the end of Level 4, students use their understanding of place value to represent tenths and hundredths in decimal form and to multiply natural numbers by multiples of 10. Students use mathematical modelling to solve financial and other practical problems, formulating the problem using number sentences, solving the problem choosing efficient strategies and interpreting the results in terms of the situation. They use their proficiency with addition, subtraction, multiplication facts for tens (× 10) and related division facts to perform arithmetic operations to add and subtract, and multiply and divide numbers efficiently. They choose rounding and estimation strategies to determine whether results of calculations are reasonable. They recognise common equivalent fractions in familiar contexts and make connections between fraction and decimal notations. Students count and represent familiar fractions on a number line. 
Students find unknown values in numerical equations involving addition and subtraction. They follow and create algorithms that generate sets of numbers and identify emerging patterns.
Students use appropriate scaled instruments and appropriate units to measure length, mass, capacity and temperature. They measure and approximate perimeters and areas for regular and irregular shapes. They convert between units of time when solving problems involving duration. Students compare angles relative to a right angle using angle names. 
Students represent and approximate shapes and objects from their environment. Students create and interpret grid references. They identify line and rotational symmetry in plane shapes and create symmetrical patterns.
Students create many-to-one data displays, assess the suitability of displays for representing data and informally discuss the shape of distributions and variation in data. They use surveys and digital tools to generate categorical or discrete numerical data in statistical investigations and communicate their findings in context. 
Students order events or the outcomes of chance experiments in terms of likelihood and identify whether events are independent or dependent. They conduct repeated chance experiments and describe the variation in results.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum."
Mathematics,Mathematics,Year 5,"Number and Algebra
Students solve simple problems involving the four operations using a range of strategies including digital technology. They estimate to check the reasonableness of answers and approximate answers by rounding. Students identify and describe factors and multiples. They explain plans for simple budgets. Students order decimals and unit fractions and locate them on a number line. Students add and subtract fractions with the same denominator. They find unknown quantities in number sentences and continue patterns by adding or subtracting fractions and decimals.

Measurement and Geometry
Students use appropriate units of measurement for length, area, volume, capacity and mass, and calculate perimeter and area of rectangles and volume, and capacity of rectangular prisms. They convert between 12 and 24-hour time. Students use a grid reference system to locate landmarks. They estimate angles, and use protractors and digital technology to construct and measure angles. Students connect three-dimensional objects with their two-dimensional representations. They describe transformations of two-dimensional shapes and identify line and rotational symmetry. 

Statistics and Probability
Students pose questions to gather data and construct various displays appropriate for the data, with and without the use of digital technology. They compare and interpret different data sets. Students list outcomes of chance experiments with equally likely outcomes and assign probabilities as a number from 0 to 1.","By the end of Level 5, students use place value to write and order decimals including decimals greater than one. They express natural numbers as products of factors and identify multiples and divisors. Students order and represent, add and subtract fractions with the same or related denominators. They represent common percentages and connect them to their fraction and decimal equivalents. Students use their proficiency with multiplication facts and efficient mental and written calculation strategies to multiply large numbers by one- and two-digit numbers and divide by one-digit numbers. They check the reasonableness of their calculations using estimation. Students use mathematical modelling to solve financial and other practical problems, formulating and solving problems, choosing arithmetic operations and interpreting results in terms of the situation. 
Students apply properties of numbers and operations to find unknown values in numerical equations involving multiplication and division. They design and use algorithms to identify and explain patterns in the factors and multiples of numbers.
Students choose and use appropriate metric units to measure the attributes of length, mass and capacity, and to solve problems involving perimeter and area. Students convert between 12- and 24-hour time. They estimate, construct and measure angles in degrees. Students use grid coordinates to locate and move positions. 
Students connect objects to their two-dimensional nets. They perform and describe the results of transformations and identify any symmetries.
Students plan and conduct statistical investigations that collect nominal and ordinal categorical and discrete numerical data with and without digital tools. Students identify the mode and interpret the shape of distributions of data in context. They interpret and compare data represented in line graphs. 
Students conduct repeated chance experiments, list the possible outcomes, estimate likelihoods and make comparisons between those with and without equally likely outcomes.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum."
Mathematics,Mathematics,Year 6,"Number and Algebra
Students recognise the properties of prime, composite, square and triangular numbers and determine sets of these numbers. They solve problems that involve all four operations with whole numbers and describe the use of integers in everyday contexts. Students locate fractions and integers on a number line and connect fractions, decimals and percentages as different representations of the same number. They solve problems involving the addition and subtraction of related fractions. Students calculate a simple fraction of a quantity and calculate common percentage discounts on sale items, with and without the use of digital technology. They make connections between the powers of 10 and the multiplication and division of decimals. Students add, subtract and multiply decimals and divide decimals where the result is rational. Students write number sentences using brackets and order of operations, and specify rules used to generate sequences involving whole numbers, fractions and decimals. They use ordered pairs of integers to represent coordinates of points and locate a point in any one of the four quadrants on the Cartesian plane.

Measurement and Geometry
Students relate decimals to the metric system and choose appropriate units of measurement to perform a calculation. They solve problems involving time, length and area, and make connections between capacity and volume. Students interpret a variety of everyday timetables. They solve problems using the properties of angles and investigate simple combinations of transformations in the plane, with and without the use of digital technology. Students construct simple prisms and pyramids. 

Statistics and Probability
Students interpret and compare a variety of data displays, including displays for two categorical variables. They analyse and evaluate data from secondary sources. Students compare observed and expected frequencies of events, including those where outcomes of trials are generated with the use of digital technology. They specify, list and communicate probabilities of events using simple ratios, fractions, decimals and percentages.","By the end of Level 6, students use integers to represent points on a number line and on the Cartesian plane. They solve problems using the properties of prime, composite, square and triangular numbers. Students order common fractions, giving reasons, and add and subtract fractions with related denominators. They use all 4 operations with decimals and connect decimal representations of measurements to the metric system. Students solve problems involving finding a fraction, decimal or percentage of a quantity and use estimation to find approximate solutions to problems involving rational numbers and percentages. They use mathematical modelling to solve financial and other practical problems involving percentages and rational numbers, formulating and solving the problem, and justifying choices. 
Students find unknown values in numerical equations involving combinations of arithmetic operations. They identify and explain rules used to create growing patterns. They design and use algorithms to generate sets of numbers, using a rule.
Students interpret and use timetables, and measure, calculate and compare elapsed time. They convert between common units of length, mass and capacity. They use the formula for the area of a rectangle and angle properties to solve problems. 
Students identify the parallel cross-section for right prisms. They create tessellating patterns using combinations of transformations. They locate an ordered pair in any one of the 4 quadrants on the Cartesian plane.
Students compare distributions of discrete and continuous numerical and ordinal categorical data sets as part of their statistical investigations, using digital tools. They critique arguments presented in the media based on statistics. 
Students assign probabilities using common fractions, decimals and percentages. They conduct simulations using digital tools, to generate and record the outcomes from many trials of a chance experiment. They compare observed frequencies to the expected frequencies of the outcomes of chance experiments.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum."
Mathematics,Mathematics,Year 7,"Number and Algebra
Students solve problems involving the order, addition and subtraction of integers. They make the connections between whole numbers and index notation and the relationship between perfect squares and square roots. They solve problems involving all four operations with fractions, decimals, percentages and their equivalences, and express fractions in their simplest form. Students compare the cost of items to make financial decisions, with and without the use of digital technology. They make simple estimates to judge the reasonableness of results. Students use variables to represent arbitrary numbers and connect the laws and properties of number to algebra and substitute numbers into algebraic expressions. They assign ordered pairs to given points on the Cartesian plane and interpret and analyse graphs of relations from real data. Students develop simple linear models for situations, make predictions based on these models, solve related equations and check their solutions. 

Measurement and Geometry
Students use formulas for the area and perimeter of rectangles. They classify triangles and quadrilaterals and represent transformations of these shapes on the Cartesian plane, with and without the use of digital technology. Students name the types of angles formed by transversals crossing parallel lines and solve simple numerical problems involving these lines and angles. They describe different views of three-dimensional objects, and use models, sketches and digital technology to represent these views. Students calculate volumes of rectangular prisms.

Statistics and Probability
Students identify issues involving the collection of discrete and continuous data from primary and secondary sources. They construct stem-and-leaf plots and dot-plots. Students identify or calculate mean, mode, median and range for data sets, using digital technology for larger data sets. They describe the relationship between the median and mean in data displays. Students determine the sample space for simple experiments with equally likely outcomes, and assign probabilities outcomes.","By the end of Level 7, students represent natural numbers in expanded form and as products of prime factors, using exponent notation. They solve problems involving squares of numbers and square roots of perfect square numbers. Students solve problems involving addition and subtraction of integers. They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies. Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results. They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation. 
Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values. They solve linear equations with natural number solutions and verify their solutions through substitution. Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.
Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons. They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems. They describe the relationships between the radius, diameter and circumference of a circle. 
Students classify polygons according to their features and design an algorithm to sort and classify shapes. They represent objects two-dimensionally in different ways, describing the usefulness of these representations. They use coordinates to describe transformations of points in the plane.
Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays. They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning. 
Students list sample spaces for single-step experiments, assign probabilities to outcomes of events and predict relative frequencies for related events. They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum."
Mathematics,Mathematics,Year 8,"Number and Algebra
Students use efficient mental and written strategies to make estimates and carry out the four operations with integers, and apply the index laws to whole numbers. They identify and describe rational and irrational numbers in context. Students estimate answers and solve everyday problems involving profit and loss rates, ratios and percentages, with and without the use of digital technology. They simplify a variety of algebraic expressions and connect expansion and factorisation of linear expressions. Students solve linear equations and graph linear relationships on the Cartesian plane.

Measurement and Geometry
Students convert between units of measurement for area and for volume. They find the perimeter and area of parallelograms, rhombuses and kites. Students name the features of circles, calculate circumference and area, and solve problems relating to the volume of prisms. They make sense of time duration in real applications, including the use of 24-hour time. Students identify conditions for the congruence of triangles and deduce the properties of quadrilaterals. They use tools, including digital technology, to construct congruent shapes. 


Statistics and Probability
Students explain issues related to the collection of sample data and discuss the effect of outliers on means and medians of the data. They use various approaches, including the use of the digital technology, to generate simple random samples from a population. Students model situations with Venn diagrams and two-way tables and explain the use of ‘not’, ‘and’ and ‘or’.  Students choose appropriate language to describe events and experiments. They determine complementary events and calculate the sum of probabilities.","By the end of Level 8, students recognise irrational numbers as numbers that cannot develop from the division of integer values by natural numbers and terminating or recurring decimals. They apply the exponent laws to calculations with numbers involving positive integer exponents. Students solve problems involving the 4 operations with integers and positive rational numbers. They use mathematical modelling to solve practical problems involving ratios, percentages and rates in measurement and financial contexts. 
Students apply algebraic properties to simplify, rearrange, expand and factorise linear expressions. They graph linear relations and solve linear equations with rational solutions and one-variable inequalities, graphically and algebraically. Students plot linear and non-linear relations on the Cartesian plane, with and without the use of digital tools. Students use mathematical modelling to solve problems using linear relations, interpreting and reviewing the model in context. They make and test conjectures involving linear relations by developing algorithms and using digital tools.
Students use appropriate metric units when solving measurement problems involving the perimeter and area of composite shapes, and volume of right prisms. They use Pythagoras’ theorem to solve measurement problems involving unknown lengths of right-angled triangles. Students use formulas to solve problems involving the area and circumference of circles. They solve problems of duration involving 12- and 24-hour cycles across multiple time zones. 
Students use 3 dimensions to locate and describe position. They identify conditions for congruency and similarity in triangles and other common shapes, and design and test algorithms to test for congruency and similarity. Students apply the properties of quadrilaterals to solve problems.
Students conduct statistical investigations and explain the implications of obtaining data through sampling. Students analyse and describe the distribution of data. They compare the variation in distributions of random samples of the same and different size from a given population with respect to shape, measures of central tendency and range. 
Students represent the possible combinations of 2 events with tables and diagrams, and determine related probabilities to solve practical problems. They conduct experiments or simulations using digital tools to determine related probabilities of compound events.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum."
Mathematics,Mathematics,Year 9,"Number and Algebra
Students apply the index laws using integer indices to variables and numbers, express numbers in scientific notation, solve problems involving very small and very large numbers, and check the order of magnitude of calculations. They solve problems involving simple interest. Students use the distributive law to expand algebraic expressions, including binomial expressions, and simplify a range of algebraic expressions. They find the distance between two points on the Cartesian plane and the gradient and midpoint of a line segment using a range of strategies including the use of digital technology. Students sketch and draw linear and non-linear relations, solve simple related equations and explain the relationship between the graphical and symbolic forms, with and without the use of digital technology.

Measurement and Geometry
Students solve measurement problems involving perimeter and area of composite shapes, surface area and volume of rectangular prisms and cylinders, with and without the use of digital technology. They relate three-dimensional objects to two-dimensional representations. Students explain similarity of triangles, interpret ratios and scale factors in similar figures, and apply Pythagoras’s theorem and trigonometry to solve problems involving angles and lengths in right-angled triangles.

Statistics and Probability
Students compare techniques for collecting data from primary and secondary sources, and identify questions and issues involving different data types. They construct histograms and back-to-back stem-and-leaf plots with and without the use of digital technology. Students identify mean and median in skewed, symmetric and bi-modal displays and use these to describe and interpret the distribution of the data. They calculate relative frequencies to estimate probabilities. Students list outcomes for two-step experiments and assign probabilities for those outcomes and related events.","By the end of Level 9, students recognise and use rational and irrational numbers to solve problems. 
Students extend and apply the exponent laws with positive integers and the zero exponent to variables. They expand binomial products and factorise monic quadratic expressions. They find the distance between 2 points on the Cartesian plane, sketch linear graphs and find the gradient and midpoint of a line segment. Students use mathematical modelling to solve problems involving change, including simple interest in financial contexts and change in other applied contexts, choosing to use linear and quadratic functions. They graph quadratic functions and use null factor law to solve monic quadratic equations with integer roots algebraically. Students investigate and describe the effects of variation of parameters on functions and relations, using digital tools where appropriate, and make connections between their graphical and algebraic representations.
Students apply formulas to solve problems involving the surface area and volume of right prisms, cylinders and composite shapes. They solve problems involving ratio, similarity and scale in two-dimensional situations. They determine percentage errors in measurements. Students apply Pythagoras’ theorem and use trigonometric ratios to solve problems involving right-angled triangles. They use mathematical modelling to solve practical problems involving direct and indirect proportion, ratio and scale, evaluating the model and communicating their methods and findings. Students express small and large numbers in scientific notation. 
Students apply the enlargement transformation to images of shapes and objects, and interpret results. They design, use and test algorithms based on geometric constructions or theorems.
Students compare and analyse the distributions of multiple numerical data sets, choose representations, describe features of these data sets using summary statistics and the shape of distributions, and consider the effect of outliers. They explain how sampling techniques and representation can be used to support or question conclusions or to promote a point of view. 
Students determine sets of outcomes for two-step chance experiments and represent these in various ways. They assign probabilities to the outcomes of two-step chance experiments. They design and conduct experiments or simulations for combined events using digital tools.","Removed the 3 strand headings because no longer relevant. Achievement standards have been split, refined and realigned to the revised Victorian curriculum."
