Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
F,VC2MFN01,VCMNA070,"Connect number names, numerals and quantities, including zero, initially up to 10 and then beyond",Refined,Refined for clarity
F,VC2MFN02,VCMNA071,Subitise small collections of objects,Updated,Split and refined
F,VC2MFN03,VCMNA069,"Establish understanding of the language and processes of counting by naming numbers in sequences, initially to and from 20, moving from any starting point",Updated,Combined and refined
F,VC2MFN03,VCMNA072,"Compare, order and make correspondences between collections, initially to 20, and explain reasoning",Updated,Combined and refined
F,VC2MFN04,VCMNA071,Subitise small collections of objects,Refined,Refined for clarity
F,VC2MFN05,VCMNA074,Represent practical situations to model sharing,Updated,Refined and combined
F,VC2MFN05,VCMNA075,"Represent simple, everyday financial situations involving money",Updated,Refined and combined
F,VC2MFN05,VCMNA073,Represent practical situations to model addition and subtraction,Updated,Refined and combined
F,VC2MFN06,VCMNA074,Represent practical situations to model sharing,Refined,Refined
F,VC2MFA01,VCMNA076,"Sort and classify familiar objects and explain the basis for these classifications, and copy, continue and create patterns with objects and drawings",Updated,Content descriptions consolidated to facilitate connections in sequencing
F,VC2MFA01,VCMNA077,Follow a short sequence of instructions,Updated,Content descriptions consolidated to facilitate connections in sequencing
F,VC2MFM01,VCMMG078,"Use direct and indirect comparisons to decide which is longer, heavier or holds more, and explain reasoning in everyday language",Updated,"Split, combined and refined"
F,VC2MFM01,VCMMG079,Compare and order the duration of events using the everyday language of time,Updated,"Split, combined and refined"
F,VC2MFM02,VCMMG079,Compare and order the duration of events using the everyday language of time,Updated,"Split, combined and refined"
F,VC2MFM02,VCMMG080,Connect days of the week to familiar events and actions,Updated,"Split, combined and refined"
F,VC2MFSP01,VCMNA076,"Sort and classify familiar objects and explain the basis for these classifications, and copy, continue and create patterns with objects and drawings",Updated,Split and combined
F,VC2MFSP01,VCMMG081,"Sort, describe and name familiar two-dimensional shapes and three-dimensional objects in the environment",Updated,Split and combined
F,VC2MFSP02,VCMMG082,Describe position and movement,Refined,Refined
F,VC2MFST01,VCMSP084,Organise answers to yes/no questions into simple data displays using objects and drawings,Updated,Content descriptions consolidated into VC2MFST01 to facilitate connections in sequencing
F,VC2MFST01,VCMSP085,Interpret simple data displays about yes/no questions,Updated,Content descriptions consolidated into VC2MFST01 to facilitate connections in sequencing
F,VC2MFST01,VCMSP083,Answer yes/no questions to collect information,Updated,Content descriptions consolidated into VC2MFST01 to facilitate connections in sequencing
F,VC2MFST01,VCMNA076,"Sort and classify familiar objects and explain the basis for these classifications, and copy, continue and create patterns with objects and drawings",Updated,Content descriptions consolidated into VC2MFST01 to facilitate connections in sequencing
1,VC2M1N01,VCMNA086,"Develop confidence with number sequences to and from 100 by ones from any starting point. Skip count by twos, fives and tens starting from zero",Updated,"Split, combined and refined"
1,VC2M1N01,VCMNA087,"Recognise, model, read, write and order numbers to at least 100.  Locate these numbers on a number line",Updated,"Split, combined and refined"
1,VC2M1N02,,,New,New content description
1,VC2M1N03,VCMNA088,Count collections to 100 by partitioning numbers using place value,Updated,Combined and realigned from Level 2 Number and Algebra
1,VC2M1N03,VCMNA103,"Investigate number sequences, initially those increasing and decreasing by twos, threes, fives and ten from any starting point, then moving to other sequences",Updated,Combined and realigned from Level 2 Number and Algebra
1,VC2M1N04,VCMNA089,"Represent and solve simple addition and subtraction problems using a range of strategies including counting on, partitioning and rearranging parts",Refined,Refined for clarity
1,VC2M1N05,,,New,New content description
1,VC2M1N06,,,New,New content description
1,,VCMNA092,"Recognise, describe and order Australian coins according to their value",Removed,Removed to reduce duplication
1,,VCMNA090,Represent practical situations that model sharing,Removed,Removed to reduce duplication
1,VC2M1A01,VCMNA086,"Develop confidence with number sequences to and from 100 by ones from any starting point. Skip count by twos, fives and tens starting from zero",Updated,"Split, combined and realigned from Level 2 Number and Algebra"
