Subject,Band,Strand,Substrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
Mathematics,FA,Number,,VC2MFAN01,Respond to number names and representations of number,,"Responding to the use of number names and numerals in stories, songs and music; for example, showing interest when listening to counting in books or interacting with numbers and quantities of objects in sensory tubs"
Mathematics,FA,Number,,VC2MFAN01,Respond to number names and representations of number,,"Touching or feeling objects as they are being counted; for example, touching objects as they are lined up in order or touching tactile (sandpaper) numbers while they are being named"
Mathematics,FA,Number,,VC2MFAN01,Respond to number names and representations of number,,"Participating in movement activities such as counting when walking up steps, walking over sensory pads or moving fingers while they are being counted"
Mathematics,FA,Number,,VC2MFAN02,Respond to changing collections of objects,,"Tracking groups of objects; for example, following an object or group of objects with their eyes or through gesture"
Mathematics,FA,Number,,VC2MFAN02,Respond to changing collections of objects,,"Responding to significant disparity in collections of motivational objects; for example, vocalising excitement when shown 20 cars compared to 1 car or when motivational items are covered to represent ‘all gone’"
Mathematics,FA,Number,,VC2MFAN02,Respond to changing collections of objects,,"Vocalising or gesturing when objects appear; for example, making a noise when shown a preferred object, reaching towards a group of their favourite items when presented, or vocalising or gesturing when playing peekaboo and a face appears"
Mathematics,FA,Number,,VC2MFAN02,Respond to changing collections of objects,,"Vocalising or gesturing when familiar objects are taken away; for example, gesturing towards a sensory object when it is taken away or when a familiar person leaves a space"
Mathematics,FA,Number,,VC2MFAN03,"Respond to counting, comparing and labelling of collections",,"Responding to the use of number names and number sequences in everyday routines and activities; for example, participating in counting the number of classmates at school, or vocalising or gesturing when objects are counted as they are being packed away"
Mathematics,FA,Number,,VC2MFAN03,"Respond to counting, comparing and labelling of collections",,"Participating in modelled rote counting through songs, stories and activities; for example, participating in role-playing in the song ‘Ten little monkeys jumping on the bed’ or ‘Five little ducks’, or experiencing modelled counting when being pushed on the swing"
Mathematics,FA,Number,,VC2MFAN03,"Respond to counting, comparing and labelling of collections",,"Participating in modelled counting, using one-to-one correspondence; for example, touching each cup of flour as it is added into a bowl or touching each pompom as it is counted in a line"
