Subject,Band,Strand,Substrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
Mathematics,F,Number,,VC2MFN01,"Name, represent and order numbers, including zero to at least 20, using physical and virtual materials and numerals",,"Responding to a request to collect a quantity of objects or reading a numeral and selecting the associated quantity of items from a collection to match the number required; for example, collecting 9 paintbrushes after hearing the word ‘nine’"
Mathematics,F,Number,,VC2MFN01,"Name, represent and order numbers, including zero to at least 20, using physical and virtual materials and numerals",,"Recognising the order in the sequence of numbers to 20 and identifying the number that is ‘one less’ than a given number and the number that is ‘one more’; for example, playing instructive card games that involve reading and ordering number cards, or using counting songs, storybooks and rhymes to establish the forwards and backwards counting sequence of numbers in the context of active counting activities"
Mathematics,F,Number,,VC2MFN01,"Name, represent and order numbers, including zero to at least 20, using physical and virtual materials and numerals",,"Understanding and using terms to indicate ordinal position in a sequence; for example, filling in the missing term in ‘first’, ‘second’, ‘third’, … ‘fifth’ …, or creating a number track using cards with the numerals zero to 20 and describing positions using terms such as ‘first’, ‘last’, ‘before’, ‘after’ and ‘between’"
Mathematics,F,Number,,VC2MFN01,"Name, represent and order numbers, including zero to at least 20, using physical and virtual materials and numerals",,"Recognising, writing and reading numerals written on familiar objects; for example, recognising and reading numerals in images, text or illustrations in storybooks, or writing a numeral on a container as a label to show how many objects it contains"
Mathematics,F,Number,,VC2MFN01,"Name, represent and order numbers, including zero to at least 20, using physical and virtual materials and numerals",,"Connecting quantities to number names and numerals when reading and reciting stories and playing counting games or determining and reasoning about the size of sets of objects within Aboriginal and/or Torres Strait Islander Peoples’ instructive games, for example, Segur etug from Mer Island in the Torres Strait region"
Mathematics,F,Number,,VC2MFN02,Recognise and name the number of objects within a collection up to 5 using subitising,,Recognising how many objects are in a collection or in images on a card with a quick look and saying the associated number without counting
Mathematics,F,Number,,VC2MFN02,Recognise and name the number of objects within a collection up to 5 using subitising,,"Playing instructive card games that rely on the recognition of numbers represented in different ways (for example, playing memory games, or matching pairs of quantities on dot cards or similar where the arrangement on each is different) or using subitising to compare and order collections and to say who has more when sharing items in a game"
Mathematics,F,Number,,VC2MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,"Establishing the language and process of counting, and understanding that each object must be counted only once, that the arrangement of objects does not affect how many there are and that the last number counted answers the question of ‘How many?’; for example, saying numbers in sequence while playing and performing actions"
Mathematics,F,Number,,VC2MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,Using counting to compare the size of 2 or more collections of like items to justify which collection contains more or fewer items
Mathematics,F,Number,,VC2MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,"Using counting and one-to-one correspondence to quantify the number of items required for a purpose; for example, when asked to collect enough scissors for each member of their group to have a pair, counting each member and using the total count to know how many to collect"
Mathematics,F,Number,,VC2MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,"Discussing how different cultures may have alternative ways of representing the count; for example, discussing how some people of the Asia region use an abacus or Chinese hand gestures"
Mathematics,F,Number,,VC2MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,Using body-tallying that involves body parts and one-to-one correspondence from counting systems of Aboriginal and/or Torres Strait Islander Peoples to count to 20
Mathematics,F,Number,,VC2MFN04,Partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,,"Recognising numbers represented in physical or virtual ten-frames, and describing their reasoning: ‘It’s 7 because there is 5 there and 2 more’"
Mathematics,F,Number,,VC2MFN04,Partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,,"Partitioning collections of up to 10 objects in different ways and saying the part-part-whole relationship; for example, partitioning a collection of 6 counters into 4 counters and 2 counters and saying, ‘6 is 4 and 2 more, it’s 2 and 4’, then partitioning the same collection into 5 and 1 or 3 and 3"
Mathematics,F,Number,,VC2MFN04,Partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,,"Representing part-part-whole relationships in numbers up to 10 using physical or virtual materials; for example, identifying numbers represented by dots in standard number configurations such as on dominoes and dice by recognising parts that form the whole"
Mathematics,F,Number,,VC2MFN04,Partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,,"Exploring number groupings in Aboriginal and/or Torres Strait Islander Peoples’ counting systems and the different ways of representing these groupings to form and partition numbers, applying this to quantify collections of objects in the environment on Country/Place up to 10"
Mathematics,F,Number,,VC2MFN05,"Represent practical situations, including simple financial situations, involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies",,"Using role-play and materials to represent mathematical relationships in stories; for example, role-playing ‘Eight kangaroos were drinking at the river and 3 hopped away’, drawing a picture and using materials to represent the situation, discussing, and recording the result of the action with a numeral"
Mathematics,F,Number,,VC2MFN05,"Represent practical situations, including simple financial situations, involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies",,"Role-playing or actively engaging in situations that involve quantifying or comparing collections of items or simple money transactions; for example, engaging with the question ‘Do we have enough scissors for our group so that each person has their own pair?’, or role-playing using $1 coins to pay for items in a shop where items are priced in whole dollars"
Mathematics,F,Number,,VC2MFN05,"Represent practical situations, including simple financial situations, involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies",,"Representing situations expressed in Aboriginal and/or Torres Strait Islander stories, such as ‘Tiddalick, the greedy frog’, that describe additive situations and their connections to Country/Place"
