Subject,Band,Strand,Substrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
Mathematics,10A,Number,,VC2M10AN01,Define rational and irrational numbers and perform operations with surds and fractional indices,,Understanding that the real number system includes irrational numbers
Mathematics,10A,Number,,VC2M10AN01,Define rational and irrational numbers and perform operations with surds and fractional indices,,Extending the exponent laws to rational number indices
Mathematics,10A,Number,,VC2M10AN01,Define rational and irrational numbers and perform operations with surds and fractional indices,,Performing the 4 operations with surds
Mathematics,10A,Number,,VC2M10AN02,Perform operations on numbers involving fractional exponents and surds,,"Exploring the notion that , where is a non-zero integer and is a natural number, and evaluating corresponding expressions; for example,"
Mathematics,10A,Number,,VC2M10AN03,Use the definition of a logarithm to establish and apply the laws of logarithms and investigate logarithmic scales in measurement,,Investigating the relationship between exponential and logarithmic expressions
Mathematics,10A,Number,,VC2M10AN03,Use the definition of a logarithm to establish and apply the laws of logarithms and investigate logarithmic scales in measurement,,Simplifying expressions using the logarithm laws
Mathematics,10A,Number,,VC2M10AN03,Use the definition of a logarithm to establish and apply the laws of logarithms and investigate logarithmic scales in measurement,,Investigating the use of logarithmic scales to represent very small and very large quantities
Mathematics,10A,Algebra,,VC2M10AA01,Investigate the concept of a polynomial and apply the factor and remainder theorems to solve problems,,Investigating the relationship between algebraic long division and the factor and remainder theorems
Mathematics,10A,Algebra,,VC2M10AA02,Devise and use algorithms and simulations to solve mathematical problems,,Applying a systematic guess-check-and-refine algorithm to identify an approximate value for the root of an equation in an interval
Mathematics,10A,Algebra,,VC2M10AA02,Devise and use algorithms and simulations to solve mathematical problems,,Developing simulations for counterintuitive problems in probability such as the Monty Hall problem or derangements
Mathematics,10A,Algebra,,VC2M10AA03,Simplify combinations of linear expressions with rational coefficients and the solution of related equations,,"Simplifying sums and differences of linear expressions of the form where and are integers, and is a non-zero integer, for example,"
Mathematics,10A,Algebra,,VC2M10AA03,Simplify combinations of linear expressions with rational coefficients and the solution of related equations,,"Solving equations involving sums and differences of linear expressions with rational coefficients, for example, , and verifying the solution"
Mathematics,10A,Algebra,,VC2M10AA04,Explore the inverse relationship between exponential functions and logarithmic functions and the solution of related equations,,Using the definition of a logarithm and the exponent laws to establish the logarithm laws
Mathematics,10A,Algebra,,VC2M10AA04,Explore the inverse relationship between exponential functions and logarithmic functions and the solution of related equations,,"Evaluating for decimal values of and relating this to a logarithm base 10 scale; solving exponential equations algebraically using logarithms with base 10, for example, ; and connecting to the graph of the corresponding function"
Mathematics,10A,Algebra,,VC2M10AA05,"Describe, interpret, and sketch parabolas, hyperbolas, circles and exponential functions and their transformations",,"Applying transformations, including translations, reflections in the axes and stretches to help graph parabolas, rectangular hyperbolas, circles and exponential functions"
Mathematics,10A,Algebra,,VC2M10AA06,Apply understanding of polynomials to sketch a range of curves and describe the features of these curves from their equation,,Investigating the features of graphs of polynomials including axes intercepts and the effect of repeated factors
Mathematics,10A,Algebra,,VC2M10AA07,Factorise monic and non-monic quadratic expressions and solve a wide range of quadratic equations derived from a variety of contexts,,Writing quadratic equations that represent practical problems
Mathematics,10A,Algebra,,VC2M10AA08,Use function notation to describe the relationship between dependent and independent variables in modelling contexts,,"Identifying independent and dependent variables in modelling contexts and represent the relation between them using tables, graphs and rules"
Mathematics,10A,Algebra,,VC2M10AA08,Use function notation to describe the relationship between dependent and independent variables in modelling contexts,,Using technology to draw graphs of functions defined using function notation with consideration of domain and range
Mathematics,10A,Algebra,,VC2M10AA09,Solve linear and non-linear simultaneous equations using graphing or systematic guess-check-and-refine with digital tools,,Using graphs to determine a convergent set of intervals that contain a point of intersection of the graphs of 2 functions
Mathematics,10A,Algebra,,VC2M10AA09,Solve linear and non-linear simultaneous equations using graphing or systematic guess-check-and-refine with digital tools,,Using a cobweb diagram to solve simultaneous equations numerically
Mathematics,10A,Algebra,,VC2M10AA10,"Experiment with functions and relations using digital tools, making and testing conjectures and generalising emerging patterns",,Applying a bisection algorithm to determine the approximate location of the horizontal axis intercepts of the graph of a quadratic function such as
Mathematics,10A,Algebra,,VC2M10AA10,"Experiment with functions and relations using digital tools, making and testing conjectures and generalising emerging patterns",,Applying transformations to the graph of
Mathematics,10A,Algebra,,VC2M10AA10,"Experiment with functions and relations using digital tools, making and testing conjectures and generalising emerging patterns",,Identifying the coordinates of any points of intersection of the graph of a linear function with the graph of a quadratic function or a circle
Mathematics,10A,Algebra,,VC2M10AA10,"Experiment with functions and relations using digital tools, making and testing conjectures and generalising emerging patterns",,Identifying intervals on the real number line over which a given quadratic function is positive or negative
Mathematics,10A,Algebra,,VC2M10AA10,"Experiment with functions and relations using digital tools, making and testing conjectures and generalising emerging patterns",,"Using a table of values to determine when an exponential growth or decay function exceeds or falls below a given value, such as monitoring the trend in value of a share price in a context of exponential growth or decay"
Mathematics,10A,Measurement,,VC2M10AM01,"Solve problems involving surface area and volume of right pyramids, right cones, spheres and related composite solids",,Using formulas to solve problems
Mathematics,10A,Measurement,,VC2M10AM01,"Solve problems involving surface area and volume of right pyramids, right cones, spheres and related composite solids",,Using authentic situations to apply knowledge and understanding of surface area and volume
Mathematics,10A,Measurement,,VC2M10AM02,Explore the effect of increasingly small changes in the value of variables on the average rate of change and in relation to limiting values,,Using the gradient of the line segment between 2 distinct points as a measure of rate of change to obtain numerical approximations to instantaneous speed and interpreting ‘tell me a story’ piecewise linear position-time graphs
Mathematics,10A,Space,,VC2M10ASP01,"Prove and apply relationships between angles and various lines associated with circles (radii, diameters, chords, tangents)",,"Identifying and proving relationships, for example, angles between tangents and chords, angles subtended by a chord with respect to the centre of a circle and angles subtended by a chord with respect to a point on the circumference of a circle, including using dynamic geometry software"
Mathematics,10A,Space,,VC2M10ASP01,"Prove and apply relationships between angles and various lines associated with circles (radii, diameters, chords, tangents)",,Exploring how deductive reasoning and diagrams are used in proving geometric theorems related to circles
Mathematics,10A,Space,,VC2M10ASP02,"Establish the sine, cosine and area rules for any triangle and solve related problems",,"Applying knowledge of sine, cosine and area rules to authentic problems such as those involving surveying and design"
Mathematics,10A,Space,,VC2M10ASP03,"Use the unit circle to define the simple trigonometric functions of , and as functions of a real variable, and graph them with and without the use of digital tools",,Establishing the symmetrical properties of trigonometric functions
Mathematics,10A,Space,,VC2M10ASP03,"Use the unit circle to define the simple trigonometric functions of , and as functions of a real variable, and graph them with and without the use of digital tools",,Investigating angles of any magnitude
Mathematics,10A,Space,,VC2M10ASP03,"Use the unit circle to define the simple trigonometric functions of , and as functions of a real variable, and graph them with and without the use of digital tools",,Understanding that trigonometric functions are periodic and that this can be used to describe motion
Mathematics,10A,Space,,VC2M10ASP03,"Use the unit circle to define the simple trigonometric functions of , and as functions of a real variable, and graph them with and without the use of digital tools",,"Identifying points on the unit circle via arc lengths in radians, which correspond to specified values of the circular functions sine, cosine and tangent"
Mathematics,10A,Space,,VC2M10ASP04,Solve simple trigonometric equations,,Using periodicity and symmetry to solve equations
Mathematics,10A,Space,,VC2M10ASP05,Apply Pythagoras’ theorem and trigonometry to solving three-dimensional problems in right-angled triangles,,Investigating the applications of Pythagoras’ theorem in authentic problems
Mathematics,10A,Space,,VC2M10ASP06,"Design, test and refine solutions to spatial problems using algorithms and digital tools; communicate and justify solutions",,"Designing and making scale models of three-dimensional objects using digital tools; for example, making components of a puzzle using a three-dimensional printer, and planning and designing the puzzle using principles of tessellations"
Mathematics,10A,Space,,VC2M10ASP06,"Design, test and refine solutions to spatial problems using algorithms and digital tools; communicate and justify solutions",,"Applying a computational thinking approach to solving problems involving networks, for example, connectedness, coverage and weighted measures, such as taking different routes and choosing the most efficient route to take when travelling by car using virtual map software"
Mathematics,10A,Space,,VC2M10ASP06,"Design, test and refine solutions to spatial problems using algorithms and digital tools; communicate and justify solutions",,"Defining and decomposing spatial problems, creating and applying algorithms to generate solutions, and evaluating and communicating solutions in terms of the problem; for example, designing a floor plan for a department store that limits congestion at key areas such as check-outs, changing rooms and near popular sale items"
Mathematics,10A,Space,,VC2M10ASP06,"Design, test and refine solutions to spatial problems using algorithms and digital tools; communicate and justify solutions",,"Designing, creating and testing algorithms using pseudocode or flow charts for producing self-similar patterns; and validating algorithms using a range of test cases to compare their output"
Mathematics,10A,Space,,VC2M10ASP06,"Design, test and refine solutions to spatial problems using algorithms and digital tools; communicate and justify solutions",,"Exploring geospatial technologies used by Aboriginal and/or Torres Strait Islander communities, to consider spatial problems including position and transformation"
Mathematics,10A,Statistics,,VC2M10AST01,"Calculate and interpret the mean and standard deviation of data and use these to compare data sets; investigate the effect of individual data values, including outliers, on the standard deviation",,Using the standard deviation to describe the spread of a set of data
Mathematics,10A,Statistics,,VC2M10AST01,"Calculate and interpret the mean and standard deviation of data and use these to compare data sets; investigate the effect of individual data values, including outliers, on the standard deviation",,Using the mean and standard deviation to compare numerical data sets
Mathematics,10A,Statistics,,VC2M10AST01,"Calculate and interpret the mean and standard deviation of data and use these to compare data sets; investigate the effect of individual data values, including outliers, on the standard deviation",,Constructing distributions for the mean and standard deviation of simple random samples from a population
Mathematics,10A,Statistics,,VC2M10AST02,"Identify measures of spread, and understand their interpretation and usefulness with respect to different data distributions",,"Comparing the use of quantiles, percentiles, and cumulative frequency to analyse the distribution of data"
Mathematics,10A,Statistics,,VC2M10AST02,"Identify measures of spread, and understand their interpretation and usefulness with respect to different data distributions",,"Comparing measures of spread for different data distributions, such as mean or median absolute deviations with standard deviations, and exploring the effect of outliers"
Mathematics,10A,Statistics,,VC2M10AST03,"Use digital tools to investigate bivariate numerical data sets; where appropriate use a straight line to describe the relationship allowing for variation, make predictions based on this straight line and discuss limitations",,Investigating different techniques for finding a ‘line of best fit’
Mathematics,10A,Statistics,,VC2M10AST03,"Use digital tools to investigate bivariate numerical data sets; where appropriate use a straight line to describe the relationship allowing for variation, make predictions based on this straight line and discuss limitations",,Using a fitted line to data to make predictions between and beyond existing data values and discussing limitations of these predictions
Mathematics,10A,Probability,,VC2M10AP01,"Explore counting principles, and factorial notation as a representation that provides efficient counting in multiplicative contexts, including calculations of probabilities",,"Applying the multiplication principle to problems involving combinations including probabilities relating to sampling with and without replacement, and representing these using tree diagrams"
Mathematics,10A,Probability,,VC2M10AP01,"Explore counting principles, and factorial notation as a representation that provides efficient counting in multiplicative contexts, including calculations of probabilities",,"Understanding that a set with elements has different subsets formed by considering each element for inclusion or not in combination, and that these can be systematically listed using a tree diagram or a table; for example, the set has subsets which are {}."
Mathematics,10A,Probability,,VC2M10AP01,"Explore counting principles, and factorial notation as a representation that provides efficient counting in multiplicative contexts, including calculations of probabilities",,"Using the definition of ! to represent and calculate in contexts that involve choices from a set; for example, how many different combinations of 3 playing cards from a pack? How many if the suits are ignored? How many with and without replacement?"
Mathematics,10A,Probability,,VC2M10AP01,"Explore counting principles, and factorial notation as a representation that provides efficient counting in multiplicative contexts, including calculations of probabilities",,"Performing calculations on numbers expressed in factorial form, such as to evaluate the number of possible arrangements of objects in a row, of which are identical; for example, 5 objects, 3 of which are identical, can be arranged in a row in 20 different ways"
Mathematics,10A,Probability,,VC2M10AP02,Investigate reports of studies in digital media and elsewhere for information on their planning and implementation,,Evaluating the appropriateness of sampling methods in reports where statements about a population are based on a sample
Mathematics,10A,Probability,,VC2M10AP02,Investigate reports of studies in digital media and elsewhere for information on their planning and implementation,,"Evaluating whether graphs in a report could mislead, and whether graphs and numerical information support the claims made"
