Subject,Band,Strand,Substrand,ContentCode_V2,ContentDescription_V2,Topic,Elaboration
Mathematics,6,Number,,VC2M6N01,"Recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane",,"Extending the number line in the negative direction to locate and represent integers, recognising the difference in location between (−2) and (+2) and their relationship to zero as −2 < 0 < 2"
Mathematics,6,Number,,VC2M6N01,"Recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane",,"Using integers to represent quantities in financial contexts, including the concept of profit and loss for a planned event"
Mathematics,6,Number,,VC2M6N01,"Recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane",,"Using horizontal and vertical number lines to represent and find solutions to everyday problems involving locating and ordering integers around zero (for example, elevators, above and below sea level) and distinguishing a location by referencing the 4 quadrants of the Cartesian plane"
Mathematics,6,Number,,VC2M6N01,"Recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane",,"Recognising that the sign (positive or negative) indicates a direction in relation to zero – for example, 30 metres left of the admin block is (−30) and 20 metres right of the admin block is (+20) – and programming robots to move along a number line that is either horizontal or vertical but not both at the same time"
Mathematics,6,Number,,VC2M6N01,"Recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane",,"Representing the temperatures of the different planets in the solar system, using a diagram of a thermometer that models a vertical number line"
Mathematics,6,Number,,VC2M6N02,"Identify and describe the properties of prime, composite, square and triangular numbers and use these properties to solve problems and simplify calculations",,Using the definition of a prime number to explain why one is not a prime number
Mathematics,6,Number,,VC2M6N02,"Identify and describe the properties of prime, composite, square and triangular numbers and use these properties to solve problems and simplify calculations",,"Testing numbers by using division to distinguish between prime and composite numbers, recording the results on a number chart to identify any patterns"
Mathematics,6,Number,,VC2M6N02,"Identify and describe the properties of prime, composite, square and triangular numbers and use these properties to solve problems and simplify calculations",,"Representing composite numbers as a product of their factors, including prime factors when necessary and using this form to simplify calculations involving multiplication, such as 15 × 16 as 5 × 3 × 4 × 4, which can be rearranged to simplify calculation to 5 × 4 × 3 × 4 = 20 × 12"
Mathematics,6,Number,,VC2M6N02,"Identify and describe the properties of prime, composite, square and triangular numbers and use these properties to solve problems and simplify calculations",,"Identifying and describing the product of a number with itself as square; for example, 3 × 3 is the same as 32"
Mathematics,6,Number,,VC2M6N02,"Identify and describe the properties of prime, composite, square and triangular numbers and use these properties to solve problems and simplify calculations",,"Using spreadsheets to list all the numbers that have up to 3 factors, using combinations of only the first 3 prime numbers, recognising any emerging patterns, making conjectures and experimenting with other combinations"
Mathematics,6,Number,,VC2M6N03,"Apply knowledge of equivalence to compare, order and represent common fractions, including halves, thirds and quarters, on the same number line and justify their order",,"Applying factors and multiples to fraction denominators (such as halves with quarters, eighths and twelfths, and thirds with sixths, ninths and twelfths) to determine equivalent representations of fractions in order to make comparisons"
Mathematics,6,Number,,VC2M6N03,"Apply knowledge of equivalence to compare, order and represent common fractions, including halves, thirds and quarters, on the same number line and justify their order",,"Representing fractions on the same number line, paying attention to relative position, and using this to explain relationships between denominators"
Mathematics,6,Number,,VC2M6N03,"Apply knowledge of equivalence to compare, order and represent common fractions, including halves, thirds and quarters, on the same number line and justify their order",,"Explaining equivalence and order between fractions using number lines, drawings and models"
Mathematics,6,Number,,VC2M6N03,"Apply knowledge of equivalence to compare, order and represent common fractions, including halves, thirds and quarters, on the same number line and justify their order",,"Comparing and ordering fractions by placing cards on a string line across the room and referring to benchmark fractions to justify their position; for example, is greater than can be written as > , because half of 8 is 4; is less than , because 6 > 4 and can be written as <"
Mathematics,6,Number,,VC2M6N04,"Apply knowledge of place value to add and subtract decimals, using digital tools where appropriate; use estimation and rounding to check the reasonableness of answers",,Applying estimation strategies to addition and subtraction of decimals to at least thousandths before calculating answers or when a situation requires just an estimation
Mathematics,6,Number,,VC2M6N04,"Apply knowledge of place value to add and subtract decimals, using digital tools where appropriate; use estimation and rounding to check the reasonableness of answers",,"Applying whole-number strategies; for example, using basic facts, place value, partitioning and the inverse relationship between addition and subtraction, and properties of operations to develop meaningful mental strategies for addition and subtraction of decimal numbers to at least hundredths"
Mathematics,6,Number,,VC2M6N04,"Apply knowledge of place value to add and subtract decimals, using digital tools where appropriate; use estimation and rounding to check the reasonableness of answers",,"Working additively with linear measurements expressed as decimals up to 2 and 3 decimal places; for example, calculating how far off the world record the athletes were at the last Olympic Games in the women’s long jump or shot-put and comparing school records to the Olympic records"
Mathematics,6,Number,,VC2M6N04,"Apply knowledge of place value to add and subtract decimals, using digital tools where appropriate; use estimation and rounding to check the reasonableness of answers",,"Deciding to use a calculator as a calculation strategy for solving additive problems involving decimals that vary in their number of decimal places beyond hundredths; for example, 1.0 − 0.0035 or 2.345 + 1.4999"
Mathematics,6,Number,,VC2M6N05,Solve problems involving addition and subtraction of fractions using knowledge of equivalent fractions,,"Representing addition and subtraction of fractions, using an understanding of equivalent fractions and methods such as jumps on a number line, or diagrams of fractions as parts of shapes"
Mathematics,6,Number,,VC2M6N05,Solve problems involving addition and subtraction of fractions using knowledge of equivalent fractions,,Determining the lowest common denominator using an understanding of prime and composite numbers to find equivalent representation of fractions when solving addition and subtraction problems
Mathematics,6,Number,,VC2M6N05,Solve problems involving addition and subtraction of fractions using knowledge of equivalent fractions,,"Calculating the addition or subtraction of fractions in the context of real-world problems (for example, using part cups or spoons in a recipe), using the understanding of equivalent fractions"
Mathematics,6,Number,,VC2M6N05,Solve problems involving addition and subtraction of fractions using knowledge of equivalent fractions,,"Understanding the processes for adding and subtracting fractions with related denominators and fractions as an operator, in preparation for calculating with all fractions; for example, using fraction overlays and number lines to give meaning to adding and subtracting fractions with related and unrelated denominators"
Mathematics,6,Number,,VC2M6N06,"Multiply and divide decimals by multiples of powers of 10 without a calculator, applying knowledge of place value and proficiency with multiplication facts, using estimation and rounding to check the reasonableness of answers",,"Applying place value knowledge, including that the value of the digit is 10 times smaller each time a place is moved to the right, and known multiplication facts, to multiply and divide a decimal by powers of 10"
Mathematics,6,Number,,VC2M6N06,"Multiply and divide decimals by multiples of powers of 10 without a calculator, applying knowledge of place value and proficiency with multiplication facts, using estimation and rounding to check the reasonableness of answers",,"Applying and explaining estimation strategies in multiplicative situations involving a decimal greater than one that is multiplied by a two- or three-digit number, using a multiple of 10 or 100 when the situation requires just an estimation"
Mathematics,6,Number,,VC2M6N06,"Multiply and divide decimals by multiples of powers of 10 without a calculator, applying knowledge of place value and proficiency with multiplication facts, using estimation and rounding to check the reasonableness of answers",,"Explaining the effect of multiplying or dividing a decimal by 10, 100, 1000 … in terms of place value and not the decimal point shifting"
Mathematics,6,Number,,VC2M6N07,"Solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies with and without digital tools",,"Explaining how of a quantity can be achieved by dividing by 3, and how knowledge of of a quantity can be used to find or of the same quantity, using situations involving money, length, duration, mass or capacity"
Mathematics,6,Number,,VC2M6N07,"Solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies with and without digital tools",,"Investigating percentage discounts of 10%, 25% and 50% in an online toy sale, using their equivalent decimal representations of 0.10, 0.25 and 0.50 to calculate the amount of discount on sale items, with and without digital tools"
Mathematics,6,Number,,VC2M6N07,"Solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies with and without digital tools",,"Linking percentages to their decimal equivalent of tenths and hundredths and using these to determine percentage discounts; for example, finding a 30% discount by using its equivalence to 0.3, dividing by 10 and multiplying the result by 3 to give 30%"
Mathematics,6,Number,,VC2M6N07,"Solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies with and without digital tools",,"Explaining the equivalence between percentages and fractions, for example, 33% and , keeping to percentages that are equivalent to fractions with small denominators such as 66% and 12.5%"
Mathematics,6,Number,,VC2M6N07,"Solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies with and without digital tools",,"Representing a situation with a mathematical expression, for example, numbers and symbols such as × 24, that involves finding a familiar fraction or percentage of a quantity; and using mental strategies or a calculator and explaining the result in terms of the situation in question"
Mathematics,6,Number,,VC2M6N08,"Approximate numerical solutions to problems involving rational numbers and percentages, using appropriate estimation strategies",,"Using familiar fractions, decimals and percentages to approximate calculations, such as 0.3 of 180 is about of 180, or 52% is about"
Mathematics,6,Number,,VC2M6N08,"Approximate numerical solutions to problems involving rational numbers and percentages, using appropriate estimation strategies",,"Choosing appropriate estimation strategies including rounding to the nearest whole number, knowledge of multiples of 2, 5 or 10 and partitioning numbers, in contexts such as measuring or cost per unit"
Mathematics,6,Number,,VC2M6N08,"Approximate numerical solutions to problems involving rational numbers and percentages, using appropriate estimation strategies",,Recognising the effect of rounding on calculations involving fractions or decimals and saying what numbers the answer will be between
Mathematics,6,Number,,VC2M6N08,"Approximate numerical solutions to problems involving rational numbers and percentages, using appropriate estimation strategies",,"Recognising the usefulness of estimation to check calculations for contexts such as dividing wood into a number of lengths, calculating cost per unit, reducing a recipe or dividing the cost of dinner for a group into individual amounts"
