Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation to Level 2,VC2S2H01,,,New,New content description
Foundation to Level 2,VC2S2H02,VCSSU041,People use science in their daily lives,Refined,Refined for clarity
Foundation to Level 2,VC2S2U01,VCSSU042,"Living things have a variety of external features and live in different places where their basic needs, including food, water and shelter, are met",Refined,Refined for clarity and introduction of the concept of classification
Foundation to Level 2,VC2S2U02,VCSSU042,"Living things have a variety of external features and live in different places where their basic needs, including food, water and shelter, are met",Refined,Refined for clarity in identifying ‘basic needs’
Foundation to Level 2,VC2S2U03,VCSSU043,"Living things grow, change and have offspring similar to themselves",Refined,"Refined for greater clarity, and to introduce concepts that link structure to function in plants and animals"
Foundation to Level 2,VC2S2U04,VCSSU044,Objects are made of materials that have observable properties,Refined,VC2 clarifies that this refers to one or more different materials
Foundation to Level 2,VC2S2U05,VCSSU045,Everyday materials can be physically changed or combined with other materials in a variety of ways for particular purposes,Refined,VC2 conflates the concepts of physical change and material combination
Foundation to Level 2,VC2S2U06,VCSSU045,Everyday materials can be physically changed or combined with other materials in a variety of ways for particular purposes,Refined,VC2 conflates the concepts of physical change and material combination
Foundation to Level 2,VC2S2U07,VCSSU046,Observable changes occur in the sky and landscape; daily and seasonal changes affect everyday life,Refined,Included a clear reference to decision-making based on observations
Foundation to Level 2,VC2S2U08,VCSSU046,Observable changes occur in the sky and landscape; daily and seasonal changes affect everyday life,Updated,Greater clarity about what should be observed in the sky and decision-making about daily and seasonal changes. Specific landscape changes are considered separately in terms of resource sustainability. Shift of solar system planets from Levels 5 and 6 to Foundation to Level 2
Foundation to Level 2,VC2S2U08,VCSSU078,Earth is part of a system of planets orbiting around a star (the Sun),Updated,Greater clarity about what should be observed in the sky and decision-making about daily and seasonal changes. Specific landscape changes are considered separately in terms of resource sustainability. Shift of solar system planets from Levels 5 and 6 to Foundation to Level 2
Foundation to Level 2,VC2S2U09,VCSSU047,Earth’s resources are used in a variety of ways,Refined,Clearer focus on sustainability
