Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Science,Levels 3 and 4,Science as a Human Endeavour,Nature and development of science,VC2S4H01,Data from observations obtained through scientific inquiry can be used to develop explanations of natural phenomena,,Exploring how farmers use soil tests to determine whether their crops are growing in ideal conditions
Science,Levels 3 and 4,Science as a Human Endeavour,Nature and development of science,VC2S4H01,Data from observations obtained through scientific inquiry can be used to develop explanations of natural phenomena,,"Investigating how Aboriginal and/or Torres Strait Islander Peoples used observations about the conduction of heat to determine the best materials to be used as conductors and insulators in ground ovens, for example the Torres Strait Islander Kup Murri earth oven used in traditional feasting ceremonies"
Science,Levels 3 and 4,Science as a Human Endeavour,Nature and development of science,VC2S4H01,Data from observations obtained through scientific inquiry can be used to develop explanations of natural phenomena,,Recognising how food scientists use thermometers to monitor and manage the condition of food stored in refrigerators and freezers
Science,Levels 3 and 4,Science as a Human Endeavour,Nature and development of science,VC2S4H01,Data from observations obtained through scientific inquiry can be used to develop explanations of natural phenomena,,"Investigating how ecologists use food chain data to develop explanations for decline in numbers of native plants and animals such as the Richmond birdwing butterfly, and to develop strategies to increase their numbers"
Science,Levels 3 and 4,Science as a Human Endeavour,Nature and development of science,VC2S4H01,Data from observations obtained through scientific inquiry can be used to develop explanations of natural phenomena,,Exploring how hydrologists use rainfall and water-use data to explain the amount of water flowing in rivers and why this changes over time
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,Investigating how understanding of life cycles of insect pests such as fruit flies led to effective control strategies
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,"Investigating how engineers test the insulation properties of materials, and how this information is used to design food and beverage packaging, building insulation and clothing"
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,"Exploring how knowledge of the properties of plastic has influenced people to change how they purchase, use and dispose of plastic products"
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,"Recognising Aboriginal and/or Torres Strait Islander Peoples’ knowledges and understandings of evaporation and how the effect of evaporation can be reduced to conserve water, such as by digging flask-shaped wells designed to limit evaporation by creating a narrow entrance"
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,"Investigating human-constructed ways to store water such as dams, wells, artificial lakes, irrigation canals, pipes and water towers, and considering why people are encouraged to save and recycle water and to take actions that can be taken to reduce water consumption and waste"
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,Examining how people use knowledge of friction to improve car and bicycle safety on slippery surfaces such as wet or icy roads
Science,Levels 3 and 4,Science as a Human Endeavour,Use and influence of science,VC2S4H02,"Scientific knowledge, skills and data can be used by people to explain how they will meet a need or solve a problem",,"Investigating how knowledge of magnetic force is used to sort metals in recycling, mining and food processing"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U01,"Living things have characteristics that distinguish them from non-living things and things that were once living, including fossils",,"Classifying a collection of objects as living, once-living or non-living and explaining their reasoning"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U01,"Living things have characteristics that distinguish them from non-living things and things that were once living, including fossils",,"Making fossil impressions using natural materials such as sea shells, leaves, flowers and bark, or using plastic or metal dinosaur or animal toys set into clay or modelling dough"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U01,"Living things have characteristics that distinguish them from non-living things and things that were once living, including fossils",,"Exploring differences between living things, once-living things and products of living things"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U02,"Plants and animals have different life cycles; offspring are similar, but not identical, to their parents",,"Observing and describing differences between metamorphic life cycles of animals, such as those of butterflies, beetles and frogs, and non-metamorphic life cycles of animals, including those of humans"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U02,"Plants and animals have different life cycles; offspring are similar, but not identical, to their parents",,Comparing the physical characteristics of an animal such as a frog or moth with its activity at different stages of its life cycle
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U02,"Plants and animals have different life cycles; offspring are similar, but not identical, to their parents",,"Representing stages of a plant or animal’s life cycle using drawings, digital photographs, graphic organisers or physical three-dimensional models"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U02,"Plants and animals have different life cycles; offspring are similar, but not identical, to their parents",,"Observing photographs of different animals and their offspring, for example purebred and crossbred dog litters"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U02,"Plants and animals have different life cycles; offspring are similar, but not identical, to their parents",,"Investigating how Aboriginal and/or Torres Strait Islander Peoples understand the life cycles of certain species, and use that knowledge, for example Aboriginal Peoples’ use of grass trees at various stages of the plant’s life cycle in ways that support and sustain the growth of the trees and ensures that the plant continues to yield resources such as using the young, soft leaves for food; the older leaves for meat-cutting tools and roofing material; the butt of the tree to construct educational toys called kamma; the dried stem as drill sticks for starting fires; and resin from the tree for waterproofing and as an adhesive"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U03,"Consumers, producers and decomposers have different roles and interactions within a habitat; food chains can be used to represent feeding relationships",,"Describing how animals, including humans, obtain their food from plants and other animals"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U03,"Consumers, producers and decomposers have different roles and interactions within a habitat; food chains can be used to represent feeding relationships",,"Observing living things in a local habitat and categorising them as producers, consumers or decomposers"
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U03,"Consumers, producers and decomposers have different roles and interactions within a habitat; food chains can be used to represent feeding relationships",,Researching the different types of decomposers and the importance of these within a habitat
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U03,"Consumers, producers and decomposers have different roles and interactions within a habitat; food chains can be used to represent feeding relationships",,Representing feeding relationships of producers and consumers as a food chain and comparing food chains across different habitats
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U03,"Consumers, producers and decomposers have different roles and interactions within a habitat; food chains can be used to represent feeding relationships",,Investigating the impact of introduced predators such as foxes on small mammal species in Australia
Science,Levels 3 and 4,Science Understanding,Biological sciences,VC2S4U03,"Consumers, producers and decomposers have different roles and interactions within a habitat; food chains can be used to represent feeding relationships",,"Researching how the removal of a food source from within a habitat, such as through an insect or rodent infestation, affects other living things within that habitat"
Science,Levels 3 and 4,Science Understanding,Chemical sciences,VC2S4U04,"Solids, liquids and gases have observable properties; adding or removing heat energy leads to a change of state between solids, liquids and gases",,"Investigating observable changes of state between solids and liquids, such as investigating ice melting or water freezing in a sealed bag and explaining their observations, or using ice cubes, butter or chocolate to explore how changes of state involve the removal or addition of heat"
Science,Levels 3 and 4,Science Understanding,Chemical sciences,VC2S4U04,"Solids, liquids and gases have observable properties; adding or removing heat energy leads to a change of state between solids, liquids and gases",,"Holding a balloon near a heat source and observing its inflation, then placing the balloon in a bucket of iced water to observe it deflating"
Science,Levels 3 and 4,Science Understanding,Chemical sciences,VC2S4U04,"Solids, liquids and gases have observable properties; adding or removing heat energy leads to a change of state between solids, liquids and gases",,"Demonstrating a chemical reaction that shows a change in state, for example reacting baking soda (a solid) with vinegar (a liquid) in a bottle and showing the production of carbon dioxide (a gas) by placing a balloon over the mouth of the bottle and watching the balloon inflate"
