Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation,VC2ADAFE01,VCADAR020,"Respond to dance, expressing what they enjoy and why",Refined,Refined with a new focus on local context for inclusion
Foundation,VC2ADAFE02,VCADAE017,"Use fundamental locomotor and non-locomotor movements, body parts, bases and zones to explore safe movement possibilities and dance ideas",Refined,Refined to be more accessible for out-of-field teachers
Foundation,VC2ADAFD01,VCADAE017,"Use fundamental locomotor and non-locomotor movements, body parts, bases and zones to explore safe movement possibilities and dance ideas",Refined,Refined to be less prescriptive
Foundation,VC2ADAFC01,VCADAD018,Use choreographic devices to organise movement ideas and create dance sequences,Refined,"Refined to be less prescriptive, and to allow for collaboration with other Arts disciplines"
Foundation,VC2ADAFP01,VCADAP019,Use simple technical and expressive skills when presenting dance that communicates ideas to an audience,Refined,Refined to be less prescriptive
Levels 1 and 2,VC2ADA2E01,VCADAR024,"Identify where people can experience dance in the local community, for example, talking with Aboriginal and Torres Strait Islander people about how dance sustains and communicates cultural knowledge",Refined,Refined to allow for different contexts
Levels 1 and 2,VC2ADA2D01,VCADAD022,Use choreographic devices to select and organise movement ideas and create and practise dance sequences,Refined,Refined for clarity
Levels 1 and 2,VC2ADA2C01,VCADAE021,"Use safe dance practice, fundamental locomotor and non-locomotor movements, body parts, bases and zones to explore, improvise and structure movement ideas for dance",Refined,"Strand realigned, and refined for clarity"
Levels 1 and 2,VC2ADA2C01,VCADAP023,Use simple technical and expressive skills when presenting dance that communicates ideas about themselves and their world to an audience,Refined,"Strand realigned, and refined for clarity"
Levels 1 and 2,VC2ADA2P01,VCADAP023,Use simple technical and expressive skills when presenting dance that communicates ideas about themselves and their world to an audience,Refined,Refined to focus on presentation in informal settings
Levels 3 and 4,VC2ADA4E01,VCADAR028,"Identify how the elements of dance and production elements are used to express ideas in dance they make, perform and view, including in dances from local Aboriginal and Torres Strait Islander peoples",Refined,Split one content description into 2
Levels 3 and 4,VC2ADA4E02,VCADAR028,"Identify how the elements of dance and production elements are used to express ideas in dance they make, perform and view, including in dances from local Aboriginal and Torres Strait Islander peoples",Refined,Split one content description into 2
Levels 3 and 4,VC2ADA4D01,VCADAD026,"Use choreographic devices to organise dance sequences, and practise body actions and technical skills",Refined,"Refined, with clearer language"
Levels 3 and 4,VC2ADA4C01,VCADAE025,"Improvise and structure movement ideas for dance sequences using safe dance practice, the elements of dance and choreographic devices",Refined,"Refined for clarity, with addition of ‘devise’ as a making process"
Levels 3 and 4,VC2ADA4P01,VCADAP027,Perform dances using technical and expressive skills to communicate ideas and intentions to an audience,Refined,Changed to confine the content description to the performance
Levels 5 and 6,VC2ADA6E01,VCADAR032,"Explain how the elements of dance and production elements communicate ideas in dances from different contexts they make, perform and view, including in dances by Aboriginal and Torres Strait Islander peoples",Refined,Split into 2 content descriptions. Refined with minor change of terminology
Levels 5 and 6,VC2ADA6E02,VCADAR032,"Explain how the elements of dance and production elements communicate ideas in dances from different contexts they make, perform and view, including in dances by Aboriginal and Torres Strait Islander peoples",Refined,Split into 2 content descriptions to allow for more scope in the range of exploration of dance and culture
Levels 5 and 6,VC2ADA6D01,VCADAD030,Develop technical and expressive skills in fundamental movements and body actions and use choreographic devices to create dance sequences,Refined,Refined to be more specific
Levels 5 and 6,VC2ADA6C01,VCADAE029,"Explore movement possibilities and choreographic devices using safe dance practice and the elements of dance to create movement ideas, sequences, and phrases",Refined,Refined for clarity – focuses on telling stories through movement
Levels 5 and 6,VC2ADA6P01,VCADAP031,"Perform dance with technical competence, using expressive skills to communicate a choreographer’s ideas",Refined,Refined to include the rehearsal process and inclusion of an audience
Levels 7 and 8,VC2ADA8E01,VCADAR039,"Identify and connect specific features of dance from different times and locations, including the dance of Aboriginal and Torres Strait Islander peoples, to explore viewpoints and enrich their dance-making",Refined,Refined for clarity
