Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation,VC2ADRFE01,VCADRR020,"Respond to drama, expressing what they enjoy and why",Refined,Moved from VC1 Respond and Interpret strand to new VC2 Exploring strand
Foundation,VC2ADRFE02,VCADRE017,Explore ideas for characters and situations through dramatic play,Refined,No change
Foundation,VC2ADRFD01,VCADRE017,Explore ideas for characters and situations through dramatic play,Refined,Elaborated to enhance creative possibilities
Foundation,VC2ADRFC01,VCADRD018,"Use voice, facial expression, movement and space to imagine and improvise characters and situations",Refined,Refined language that allows for broader exploration of creating drama
Foundation,VC2ADRFP01,VCADRP019,Present drama that communicates ideas and stories,Refined,"This strand concerns the sharing process, not the content, which is now found in the VC2 Creating strand"
Levels 1 and 2,VC2ADR2E01,VCADRR024,"Respond to drama, expressing what they enjoy and why, and why people in their local area make and perform drama, including drama of Aboriginal and Torres Strait Islander peoples",Refined,Refined with greater focus on communities and cultures
Levels 1 and 2,VC2ADR2D01,VCADRE021,"Explore roles, characters and dramatic action in dramatic play, improvisation and process drama",Refined,"Combined 2 content descriptions, and now open to practices and elements used"
Levels 1 and 2,VC2ADR2D01,VCADRD022,"Use voice, facial expression, movement and space to imagine and establish role and situation",Refined,"Combined 2 content descriptions, and now open to practices and elements used"
Levels 1 and 2,VC2ADR2C01,VCADRE021,"Explore roles, characters and dramatic action in dramatic play, improvisation and process drama",Refined,Combined and refined with an emphasis on the process of creating
Levels 1 and 2,VC2ADR2C01,VCADRD022,"Use voice, facial expression, movement and space to imagine and establish role and situation",Refined,Combined and refined with an emphasis on the process of creating
Levels 1 and 2,VC2ADR2P01,VCADRP023,"Present drama that communicates ideas, including stories from their community, to an audience",Refined,Refined with an emphasis on informal audience
Levels 3 and 4,VC2ADR4E01,VCADRE025,Explore ideas and narrative structures through roles and situations and use empathy in their own improvisations and devised drama,Refined,Refined to include how drama is influenced by context
Levels 3 and 4,VC2ADR4E01,VCADRR028,"Identify intended purposes and meaning of drama, including the drama of Aboriginal and Torres Strait Islander peoples",Refined,Refined to include how drama is influenced by context
Levels 3 and 4,VC2ADR4E02,VCADRE025,Explore ideas and narrative structures through roles and situations and use empathy in their own improvisations and devised drama,Refined,Purpose is focused on responsibility for Country and Place
Levels 3 and 4,VC2ADR4E02,VCADRR028,"Identify intended purposes and meaning of drama, including the drama of Aboriginal and Torres Strait Islander peoples",Refined,Purpose is focused on responsibility for Country and Place
Levels 3 and 4,VC2ADR4D01,VCADRE025,Explore ideas and narrative structures through roles and situations and use empathy in their own improvisations and devised drama,Refined,Refined and some content moved to Creating strand
Levels 3 and 4,VC2ADR4C01,VCADRD026,"Use voice, body, movement and language to sustain role and relationships and create dramatic action with a sense of time and place",Refined,Refined to include broader terminology in the skills used to create drama works
Levels 3 and 4,VC2ADR4C01,VCADRE025,Explore ideas and narrative structures through roles and situations and use empathy in their own improvisations and devised drama,Refined,Refined to include broader terminology in the skills used to create drama works
Levels 3 and 4,VC2ADR4P01,VCADRP027,Shape and perform dramatic action using narrative structures and tension in devised and scripted drama,Refined,"Refined wording, to ‘present’ rather than ‘perform’, as per the new strand"
Levels 5 and 6,VC2ADR6E01,VCADRE029,"Explore dramatic action, empathy and space in improvisations, play-building and scripted drama, to develop characters and situations",Refined,Refined to reflect the changed strand of Responding
Levels 5 and 6,VC2ADR6E01,VCADRR032,"Explain how the elements of drama and production elements communicate meaning by comparing drama from different social, cultural and historical contexts, including in the drama of Aboriginal and Torres Strait Islander peoples",Refined,Refined to reflect the changed strand of Responding
Levels 5 and 6,VC2ADR6E02,VCADRR032,"Explain how the elements of drama and production elements communicate meaning by comparing drama from different social, cultural and historical contexts, including in the drama of Aboriginal and Torres Strait Islander peoples",Refined,Refined with a new focus on revitalising culture
Levels 5 and 6,VC2ADR6D01,VCADRE029,"Explore dramatic action, empathy and space in improvisations, play-building and scripted drama, to develop characters and situations",Refined,Refined to include documentation practices and updates drama terminology
Levels 5 and 6,VC2ADR6C01,VCADRD030,"Develop skills and techniques of voice and movement to create character, mood and atmosphere and focus dramatic action",Refined,"Refined to focus on the range of experiences, and introduces design areas"
Levels 5 and 6,VC2ADR6P01,VCADRP031,Perform devised and scripted drama that develops narrative and uses performance styles and design elements to engage an audience,Refined,"Refined to focus on rehearsal and presentation, as content is found in other strands"
Levels 7 and 8,VC2ADR8E01,VCADRR038,"Analyse how the elements of drama have been combined in devised and scripted drama to convey different forms, performance styles and dramatic meaning",Refined,Focus on exploration rather than end-product.
Levels 7 and 8,VC2ADR8E02,VCADRR039,"Identify and connect specific features and purposes of drama from contemporary and past times, including the drama of Aboriginal and Torres Strait Islander peoples to explore viewpoints and enrich their drama making",Refined,Refined to focus on diversity of drama and theatre created by Aboriginal and Torres Strait Islander Peoples and Indigenous Cultural and Intellectual Property rights
Levels 7 and 8,VC2ADR8D01,VCADRD036,Develop and refine expressive skills in voice and movement to communicate ideas and dramatic action in different performance styles and conventions,Refined,Refined to be inclusive of design areas
Levels 7 and 8,VC2ADR8D02,VCADRD035,"Plan, structure and rehearse drama, exploring ways to communicate and refine dramatic meaning",Refined,"Refined to include analysis and documentation as part of the reflection process, providing a pathway to senior secondary"
Levels 7 and 8,VC2ADR8C01,VCADRE033,"Combine the elements of drama in devised and scripted drama to explore and develop issues, ideas and themes",Refined,Refined for clarity
Levels 7 and 8,VC2ADR8C01,VCADRE034,"Develop roles and characters consistent with situation, dramatic forms and performance styles to convey status, relationships and intentions",Refined,Refined for clarity
Levels 7 and 8,VC2ADR8C01,VCADRD035,"Plan, structure and rehearse drama, exploring ways to communicate and refine dramatic meaning",Refined,Refined for clarity
Levels 7 and 8,VC2ADR8C02,VCADRE033,"Combine the elements of drama in devised and scripted drama to explore and develop issues, ideas and themes",Refined,Introduced ‘design areas’ to align with senior secondary
Levels 7 and 8,VC2ADR8C02,VCADRE034,"Develop roles and characters consistent with situation, dramatic forms and performance styles to convey status, relationships and intentions",Refined,Introduced ‘design areas’ to align with senior secondary
