Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 9 and 10,Exploring,,VC2ADA10E01,"Investigate the ways performers and choreographers from across cultures, times, places and other contexts use the elements of dance, choreographic devices, style-specific techniques and production elements to represent, communicate and challenge ideas and perspectives",,"Investigating why and how different traditions, styles and contexts affect the experience and interpretation of a dance work and taking this into account when choreographing and performing; for example, using viewpoints to explore questions such as ‘What meaning is intended by the choreographer?’, ‘What cultural traditions are represented in this dance?’ or ‘How does this work relate to my culture or my life?’"
Levels 9 and 10,Exploring,,VC2ADA10E01,"Investigate the ways performers and choreographers from across cultures, times, places and other contexts use the elements of dance, choreographic devices, style-specific techniques and production elements to represent, communicate and challenge ideas and perspectives",,"Investigating specific examples of how and why dance practitioners work collaboratively with communities, such as communities in Australia with cultural links to other countries"
Levels 9 and 10,Exploring,,VC2ADA10E01,"Investigate the ways performers and choreographers from across cultures, times, places and other contexts use the elements of dance, choreographic devices, style-specific techniques and production elements to represent, communicate and challenge ideas and perspectives",,"Investigating how and why choreographers work with communities to advocate for sustainable ways of living, social justice and recognition of people or events"
Levels 9 and 10,Exploring,,VC2ADA10E01,"Investigate the ways performers and choreographers from across cultures, times, places and other contexts use the elements of dance, choreographic devices, style-specific techniques and production elements to represent, communicate and challenge ideas and perspectives",,"Extending movement vocabulary as they explore their own stylistic preferences and personal identity; for example, using analysis of dance styles from a range of cultures they identify with or dance styles from different times to inform their choreographic practice"
Levels 9 and 10,Exploring,,VC2ADA10E01,"Investigate the ways performers and choreographers from across cultures, times, places and other contexts use the elements of dance, choreographic devices, style-specific techniques and production elements to represent, communicate and challenge ideas and perspectives",,"Analysing the use of elements of dance in different genres or styles, such as styles that feature in popular culture or from a country or region in Asia, as a stimulus for choreography or to inform the performance of a learnt work"
Levels 9 and 10,Exploring,,VC2ADA10E02,"Investigate ways in which dances, including dances created and/or performed by Aboriginal and Torres Strait Islander artists, celebrate and give meaning to multiple perspectives of Australian identity",,"Asking viewpoint questions, such as ‘What are the cultural responsibilities of the artist who made this dance?’"
Levels 9 and 10,Exploring,,VC2ADA10E02,"Investigate ways in which dances, including dances created and/or performed by Aboriginal and Torres Strait Islander artists, celebrate and give meaning to multiple perspectives of Australian identity",,"Investigating the ways in which Aboriginal and Torres Strait Islander performers and choreographers are working respectfully and collaboratively with communities to explore local histories, cultures and identities"
Levels 9 and 10,Exploring,,VC2ADA10E02,"Investigate ways in which dances, including dances created and/or performed by Aboriginal and Torres Strait Islander artists, celebrate and give meaning to multiple perspectives of Australian identity",,"Investigating the ways in which Aboriginal and Torres Strait Islander choreographers and performers use their practice to communicate ideas, messages and lived experiences to the broader community"
Levels 9 and 10,Developing Practices,,VC2ADA10D01,"Experiment, develop and refine the elements of dance, physical and expressive skills, and style-specific techniques to communicate meaning, adhering to safe dance practices",,"Asking viewpoint questions, such as ‘What content am I planning on including in my dance?’, ‘What am I learning about techniques and processes when creating this dance?’, ‘Why is this dance working out successfully?’ and ‘What am I doing creatively?’"
Levels 9 and 10,Developing Practices,,VC2ADA10D01,"Experiment, develop and refine the elements of dance, physical and expressive skills, and style-specific techniques to communicate meaning, adhering to safe dance practices",,"Experimenting with and refining physical and expressive dance skills in response to stimulus materials, such as a theme or narrative, and making choices in the creation of the dance"
Levels 9 and 10,Developing Practices,,VC2ADA10D01,"Experiment, develop and refine the elements of dance, physical and expressive skills, and style-specific techniques to communicate meaning, adhering to safe dance practices",,"Developing and refining skills in relation to control, accuracy, strength, balance and focus while preparing a section of a dance that is devised"
Levels 9 and 10,Developing Practices,,VC2ADA10D01,"Experiment, develop and refine the elements of dance, physical and expressive skills, and style-specific techniques to communicate meaning, adhering to safe dance practices",,"Developing and refining physical skills to develop proficiency in style-specific techniques such as ballet, jazz, tap, lyrical, hip-hop, contemporary and others"
Levels 9 and 10,Developing Practices,,VC2ADA10D01,"Experiment, develop and refine the elements of dance, physical and expressive skills, and style-specific techniques to communicate meaning, adhering to safe dance practices",,"Developing dance works that specifically focus on the elements of dance, the use of the body, time, space and energy, and describing the use of each of these elements"
Levels 9 and 10,Developing Practices,,VC2ADA10D01,"Experiment, develop and refine the elements of dance, physical and expressive skills, and style-specific techniques to communicate meaning, adhering to safe dance practices",,"Working with a peer to evaluate and document the use of safe dance practices such as warming up the body, preparing the space and considering physical skills, and asking viewpoint questions such as ‘What will I need to think about?’"
Levels 9 and 10,Developing Practices,,VC2ADA10D02,"Reflect on, analyse, evaluate and document their own and others’ dance works to inform choices and interpretations they make as dancers, choreographers and audiences",,"Using questions based on viewpoints to reflect on and evaluate the use of the elements of dance, such as ‘How can I use and manipulate the elements of space and energy to convey my ideas?’"
Levels 9 and 10,Developing Practices,,VC2ADA10D02,"Reflect on, analyse, evaluate and document their own and others’ dance works to inform choices and interpretations they make as dancers, choreographers and audiences",,"Evaluating choreographic and performance choices, for example by asking questions such as ‘How successful were the dancers in conveying the choreographer’s stated intent?’ or ‘What was the impact of the performer’s choice to use gesture to communicate emotion?’"
Levels 9 and 10,Developing Practices,,VC2ADA10D02,"Reflect on, analyse, evaluate and document their own and others’ dance works to inform choices and interpretations they make as dancers, choreographers and audiences",,"Documenting creative processes in a written, pictorial or digital journal"
Levels 9 and 10,Developing Practices,,VC2ADA10D02,"Reflect on, analyse, evaluate and document their own and others’ dance works to inform choices and interpretations they make as dancers, choreographers and audiences",,Using ‘analyse’ and ‘evaluate’ as command terms to assist in writing about their own or others’ work
Levels 9 and 10,Developing Practices,,VC2ADA10D02,"Reflect on, analyse, evaluate and document their own and others’ dance works to inform choices and interpretations they make as dancers, choreographers and audiences",,Analysing movement choices that reflect their individuality and to clarify their choreographic intent
Levels 9 and 10,Developing Practices,,VC2ADA10D02,"Reflect on, analyse, evaluate and document their own and others’ dance works to inform choices and interpretations they make as dancers, choreographers and audiences",,"Analysing a seen work, either live or digital, and recording the use of the elements of dance, identifying choreographic processes, describing the intention and evaluating the effectiveness of the work for an audience"
Levels 9 and 10,Creating,,VC2ADA10C01,"Create and choreograph dance using the elements of dance, choreographic devices and style-specific techniques to communicate ideas and convey meaning",,"Asking viewpoint questions, such as 'What am I learning about this technique or style?’, ‘How does my work communicate my original ideas?’, ‘What changed during the process?’, ‘Why did I decide to make those changes?’ and ‘How can I use and manipulate the elements of space and energy to convey my ideas?’"
Levels 9 and 10,Creating,,VC2ADA10C01,"Create and choreograph dance using the elements of dance, choreographic devices and style-specific techniques to communicate ideas and convey meaning",,"Using choreographic devices to create an original dance work that represents a theme such as peace, conflict, reconciliation or change"
Levels 9 and 10,Creating,,VC2ADA10C01,"Create and choreograph dance using the elements of dance, choreographic devices and style-specific techniques to communicate ideas and convey meaning",,"Creating a new dance work that draws on works of artists from different cultures, times and places, and adapting dance ideas to create movements that represent a synthesis of influences and present a personal meaning or perspective, using respectful dance practice"
Levels 9 and 10,Creating,,VC2ADA10C01,"Create and choreograph dance using the elements of dance, choreographic devices and style-specific techniques to communicate ideas and convey meaning",,Creating movement motifs in imaginative ways to communicate their choreographic intent for an audience
Levels 9 and 10,Creating,,VC2ADA10C01,"Create and choreograph dance using the elements of dance, choreographic devices and style-specific techniques to communicate ideas and convey meaning",,Working with a group to create a new dance work where movement vocabulary is shared to represent a theme or idea
Levels 9 and 10,Creating,,VC2ADA10C02,Apply production elements to dance works to enhance meaning for an intended audience,,Using costume to define a character within a dance
Levels 9 and 10,Creating,,VC2ADA10C02,Apply production elements to dance works to enhance meaning for an intended audience,,"Applying production elements to enhance the meaning of a created dance, for example a prop to symbolise strength"
Levels 9 and 10,Creating,,VC2ADA10C02,Apply production elements to dance works to enhance meaning for an intended audience,,Applying specific music choices to represent the intended meaning of a dance
Levels 9 and 10,Presenting,,VC2ADA10P01,"Rehearse, refine, present and perform original dance works or learnt dance works to audiences in a range of settings, both formal and informal",,"Planning how they can use the performance space in ways that are consistent with style, mood or ideas conveyed in a dance; for example, beginning in the audience, beginning in ‘the wings’, beginning on stage or involving the audience within the presentation"
Levels 9 and 10,Presenting,,VC2ADA10P01,"Rehearse, refine, present and perform original dance works or learnt dance works to audiences in a range of settings, both formal and informal",,"Using available production elements such as music, costume and props to enhance communication of ideas, perspectives or meaning in a performance"
Levels 9 and 10,Presenting,,VC2ADA10P01,"Rehearse, refine, present and perform original dance works or learnt dance works to audiences in a range of settings, both formal and informal",,Using rehearsal processes to refine their dances for presentation or performance to an audience
Levels 9 and 10,Presenting,,VC2ADA10P01,"Rehearse, refine, present and perform original dance works or learnt dance works to audiences in a range of settings, both formal and informal",,"Using production elements such as projection, soundscape, music, special effects or voice overs to explain and identify the intention of a dance for an audience"
Levels 9 and 10,Presenting,,VC2ADA10P01,"Rehearse, refine, present and perform original dance works or learnt dance works to audiences in a range of settings, both formal and informal",,"Demonstrate safe dance practices throughout their presentation, including warm-up and cool-down, awareness of space and surfaces, and use of appropriate clothing and footwear"
