Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Foundation,Exploring,,VC2ADRFE01,Explore how and why drama is important for people and communities,,"Exploring how facial expressions, gestures and other ways of moving, and voice and language can communicate emotions and feelings in drama, for example through characters, rhymes, songs or chants from different times and cultures"
Foundation,Exploring,,VC2ADRFE01,Explore how and why drama is important for people and communities,,"Using dramatic play to explore ideas or understandings they observe or perceive in a story; for example, asking questions such as ‘What is happening?’ and ‘What will happen next?’"
Foundation,Exploring,,VC2ADRFE01,Explore how and why drama is important for people and communities,,"Identifying stories and drama experiences that they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers"
Foundation,Exploring,,VC2ADRFE01,Explore how and why drama is important for people and communities,,"Exploring how storytelling can help to communicate information about characters, settings and/or mood"
Foundation,Exploring,,VC2ADRFE01,Explore how and why drama is important for people and communities,,"Listening to Aboriginal and/or Torres Strait Islander people talk about the importance of drama and storytelling for connecting to people, culture and Country or Place; for example, using resources created or co-created by Aboriginal and Torres Strait Islander Peoples"
Foundation,Exploring,,VC2ADRFE02,Explore ideas for characters and situations through dramatic play,,"Exploring and talking about how voices, movement and space are used in drama they observe; for example, asking questions such as ‘What sort of facial expressions did the characters use?’ and ‘How did the drama make me feel?’"
Foundation,Exploring,,VC2ADRFE02,Explore ideas for characters and situations through dramatic play,,"Using stimuli such as stories, poems, music and images to explore characters and narratives; for example, using a well-known fairytale as a starting point to explore contrasting characters and story structure"
Foundation,Exploring,,VC2ADRFE02,Explore ideas for characters and situations through dramatic play,,"Exploring and playing with different types of puppetry to communicate characters and situations; for example, connecting to Asia and Australia’s engagement with Asia through shadow puppetry or exploring sustainability through recycled puppets"
Foundation,Exploring,,VC2ADRFE02,Explore ideas for characters and situations through dramatic play,,"Exploring how facial expressions, gestures and other ways of moving can communicate emotions and feelings and suggest different places and locations"
Foundation,Developing Practices,,VC2ADRFD01,Use play and imagination to discover possibilities and ideas for characters and situations,,Imagining how the characters in a story they are reading might move
Foundation,Developing Practices,,VC2ADRFD01,Use play and imagination to discover possibilities and ideas for characters and situations,,Working in small groups to make still or moving images to communicate ideas about characters in an important moment from the story
Foundation,Developing Practices,,VC2ADRFD01,Use play and imagination to discover possibilities and ideas for characters and situations,,"Communicating verbally using different voices and sounds to explore ways in which characters speak, for example when taking on roles in a whole-class role-play"
Foundation,Developing Practices,,VC2ADRFD01,Use play and imagination to discover possibilities and ideas for characters and situations,,"Communicating without sound using facial expression, gesture and movement to explore and show a character’s feelings and actions within a story or situation"
Foundation,Developing Practices,,VC2ADRFD01,Use play and imagination to discover possibilities and ideas for characters and situations,,Developing a range of different characters from real and imagined situations
Foundation,Creating,,VC2ADRFC01,Create drama stories that communicate ideas and explore meaning,,"Working in small groups to create stories from a given stimulus; for example, creating a story from a picture or painting"
Foundation,Creating,,VC2ADRFC01,Create drama stories that communicate ideas and explore meaning,,Identifying an idea in a story to communicate to an audience
Foundation,Creating,,VC2ADRFC01,Create drama stories that communicate ideas and explore meaning,,Using picture storybooks as a starting point to recreate stories and convey their meaning through still images or short improvised scenes
Foundation,Creating,,VC2ADRFC01,Create drama stories that communicate ideas and explore meaning,,"Manipulating objects to communicate different ideas, places and characters; for example, using a cardboard tube to create a telescope, a walking stick or an oar for a boat, or using fabric as a river or fire"
Foundation,Creating,,VC2ADRFC01,Create drama stories that communicate ideas and explore meaning,,Using available technologies to create or retell stories such as recorded sound or music
Foundation,Presenting,,VC2ADRFP01,Share their drama stories with audiences,,"Using viewpoint questions to guide the presentation of drama stories, such as ‘What do I want the audience to think about?’"
Foundation,Presenting,,VC2ADRFP01,Share their drama stories with audiences,,"Using viewpoint questions to evaluate presentations and performances they share, such as ‘What did I enjoy most about the drama and why?’"
Foundation,Presenting,,VC2ADRFP01,Share their drama stories with audiences,,"Presenting a scene developed in response to a stimulus, such as an image or a poem, to the class"
Foundation,Presenting,,VC2ADRFP01,Share their drama stories with audiences,,"Using facial expression, objects and props to enhance a presentation and engage an audience such as a partner or the class"
Foundation,Presenting,,VC2ADRFP01,Share their drama stories with audiences,,Responding to questions such as ‘What voice and movement have you noticed in others’ presentations and performances that could be used in your drama?’
Foundation,Presenting,,VC2ADRFP01,Share their drama stories with audiences,,"Becoming aware of an audience, including when to face the audience and using their voice so an audience can hear"
