Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 9 and 10,Exploring,,VC2ADR10E01,"Investigate the ways in which drama and theatre artists across cultures, times, places and other contexts use the elements of drama, expressive and performance skills, conventions of performance styles and design areas to represent, communicate and challenge ideas and perspectives",,"Identifying and discussing the use of elements of drama in a production or performance by professional artists or by peers; for example, using viewpoints to develop questions such as ‘What did I see, hear and feel in the drama?’, ‘How did the actors make the characters believable?’, ‘When was the drama set?’ and ‘What was the purpose of the drama?’"
Levels 9 and 10,Exploring,,VC2ADR10E01,"Investigate the ways in which drama and theatre artists across cultures, times, places and other contexts use the elements of drama, expressive and performance skills, conventions of performance styles and design areas to represent, communicate and challenge ideas and perspectives",,"Exploring drama and theatre from other cultures, places and times, and discussing how the use of elements and conventions might contribute to their own drama-making and theatre production"
Levels 9 and 10,Exploring,,VC2ADR10E01,"Investigate the ways in which drama and theatre artists across cultures, times, places and other contexts use the elements of drama, expressive and performance skills, conventions of performance styles and design areas to represent, communicate and challenge ideas and perspectives",,"Exploring how cultural understandings communicate meaning in drama; for example, exploring how drama is used to share cultural knowledge in celebrations, ceremonies or rituals that happen in their local community or in another place or culture"
Levels 9 and 10,Exploring,,VC2ADR10E01,"Investigate the ways in which drama and theatre artists across cultures, times, places and other contexts use the elements of drama, expressive and performance skills, conventions of performance styles and design areas to represent, communicate and challenge ideas and perspectives",,"Communicating meaning through realistic and non-realistic performance styles and forms by manipulating the elements of drama, performance skills and design areas"
Levels 9 and 10,Exploring,,VC2ADR10E01,"Investigate the ways in which drama and theatre artists across cultures, times, places and other contexts use the elements of drama, expressive and performance skills, conventions of performance styles and design areas to represent, communicate and challenge ideas and perspectives",,"Establishing aspects of the dramatic action as symbolic, such as a suitcase representing a person’s memories or a light symbolising hope"
Levels 9 and 10,Exploring,,VC2ADR10E01,"Investigate the ways in which drama and theatre artists across cultures, times, places and other contexts use the elements of drama, expressive and performance skills, conventions of performance styles and design areas to represent, communicate and challenge ideas and perspectives",,"Exploring the implied or underlying aspects of characters, such as their motives and intentions"
Levels 9 and 10,Exploring,,VC2ADR10E02,"Investigate the ways in which drama, including work created and/or performed by Aboriginal and Torres Strait Islander Peoples, celebrates and challenges multiple perspectives of Australian identity",,"Exploring how performances that tell stories maintain culture, for example narrative drama that communicates knowledge about land, sea, sky or waterways"
Levels 9 and 10,Exploring,,VC2ADR10E02,"Investigate the ways in which drama, including work created and/or performed by Aboriginal and Torres Strait Islander Peoples, celebrates and challenges multiple perspectives of Australian identity",,Exploring scripts written by a variety of playwrights including those by Aboriginal and Torres Strait Islander Peoples
Levels 9 and 10,Exploring,,VC2ADR10E02,"Investigate the ways in which drama, including work created and/or performed by Aboriginal and Torres Strait Islander Peoples, celebrates and challenges multiple perspectives of Australian identity",,"Identifying and discussing the role of storytelling in Aboriginal and Torres Strait Islander cultural traditions, through direct engagement with community, Elders and artists or using online resources created or co-created by Aboriginal and Torres Strait Islander Peoples"
Levels 9 and 10,Developing Practices,,VC2ADR10D01,"Experiment with ways to combine the elements of drama, expressive and performance skills and design areas to construct dramatic meaning for audience in improvisations, devised drama and scripted drama",,"Using viewpoints to ask questions that explore how specific cultures manipulate the elements of drama, such as ‘How does our own cultural identity impact our understanding of meaning in drama?’ and ‘How do we understand the artistic practices of various cultures?’"
Levels 9 and 10,Developing Practices,,VC2ADR10D01,"Experiment with ways to combine the elements of drama, expressive and performance skills and design areas to construct dramatic meaning for audience in improvisations, devised drama and scripted drama",,Imagining and developing a ‘new scene’ to include in a dramatic retelling of a known narrative
Levels 9 and 10,Developing Practices,,VC2ADR10D01,"Experiment with ways to combine the elements of drama, expressive and performance skills and design areas to construct dramatic meaning for audience in improvisations, devised drama and scripted drama",,Experimenting with creating characters and what insights and perspectives can emerge
