Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Foundation,Exploring,,VC2AMAFE01,explore how and why media arts are important for people and communities,,"identifying media arts works and experiences in their lives, such as stories they watch or perform, animations, computer games, music videos or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers"
Foundation,Exploring,,VC2AMAFE01,explore how and why media arts are important for people and communities,,"listening to Aboriginal and Torres Strait Islander people talk about the importance of media arts in connecting to people, culture, Country and Place; for example, using resources created or co-created by Aboriginal and Torres Strait Islander Peoples such as film, animation, texts or illustrated stories"
Foundation,Exploring,,VC2AMAFE01,explore how and why media arts are important for people and communities,,identifying differences and similarities between media arts works from different cultures and societies
Foundation,Exploring,,VC2AMAFE01,explore how and why media arts are important for people and communities,,"identifying media artists and features of their practice; for example, describing what artists such as photographers, animators and filmmakers do"
Foundation,Exploring,,VC2AMAFE02,explore ideas in media arts works through play and media arts processes,,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in artworks, for example characters in portraits, cartoons, songs, chants or dances from different times and cultures"
Foundation,Exploring,,VC2AMAFE02,explore ideas in media arts works through play and media arts processes,,"exploring ideas they observe or perceive in a text or image (print or screen); for example, exploring questions such as ‘What is happening?’ and ‘What will happen next?’"
Foundation,Exploring,,VC2AMAFE02,explore ideas in media arts works through play and media arts processes,,"exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood"
Foundation,Exploring,,VC2AMAFE02,explore ideas in media arts works through play and media arts processes,,identifying characters and settings in media arts works
Foundation,Developing Practices,,VC2AMAFD01,"use play, imagination, experimentation and processes to discover possibilities and develop ideas",,"imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the characters; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as ‘What happens next?’"
Foundation,Developing Practices,,VC2AMAFD01,"use play, imagination, experimentation and processes to discover possibilities and develop ideas",,"identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques, then working collaboratively to form frozen or still images of each shape"
Foundation,Developing Practices,,VC2AMAFD01,"use play, imagination, experimentation and processes to discover possibilities and develop ideas",,exploring media arts practices such as developing fictional characters in a dramatic story
Foundation,Developing Practices,,VC2AMAFD01,"use play, imagination, experimentation and processes to discover possibilities and develop ideas",,exploring their speaking and singing voices and discovering ways they can use their voices/vocalisation to communicate ideas and feelings in an audio production
Foundation,Developing Practices,,VC2AMAFD01,"use play, imagination, experimentation and processes to discover possibilities and develop ideas",,improvising movements to explain the steps in a process and then using a camera to capture a series of images or a photographic story that can be displayed in the classroom
Foundation,Creating,,VC2AMAFC01,use processes and materials to create media arts works that communicate ideas and explore meaning,,"considering as a class the characters and situations associated with a story and then re-imagining them by asking questions about the story, such as ‘What is happening?’, ‘What happens next?’ or ‘What else might/could happen?’, to support the development of their own sociodramatic or miniature-worlds play"
Foundation,Creating,,VC2AMAFC01,use processes and materials to create media arts works that communicate ideas and explore meaning,,"creating artworks in a range of forms to communicate ideas from lived personal or social experiences; for example, creating scenes showing favourite activities such as games, using digital devices to record their peers playing a game and creating a voice over to describe the action"
Foundation,Creating,,VC2AMAFC01,use processes and materials to create media arts works that communicate ideas and explore meaning,,"creating artworks in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities"
Foundation,Creating,,VC2AMAFC01,use processes and materials to create media arts works that communicate ideas and explore meaning,,"devising a chant or rap that a character or fictional hero from an animated series or text could use to communicate a health or sustainability message, then recording and presenting the chant or rap using media arts technologies"
Foundation,Creating,,VC2AMAFC01,use processes and materials to create media arts works that communicate ideas and explore meaning,,"learning and recording the steps in a process or sequence of events using a digital device, then sharing it live or via a school learning management system"
Foundation,Creating,,VC2AMAFC01,use processes and materials to create media arts works that communicate ideas and explore meaning,,exploring with sound-recording technology to create and record sound effects to support a story or using computer software to add images in a photo story
Foundation,Presenting,,VC2AMAFP01,share their media arts works with audiences,,"sharing their work with their teacher and responding to questions such as ‘What is going on in your work?’, ‘What is happening?’ and ‘What did you enjoy about making this work?’"
Foundation,Presenting,,VC2AMAFP01,share their media arts works with audiences,,"taking images of class arts events, creating an image sequence to document the occasion and adding sound; for example, importing the images to a software program, sequencing the images and using instruments and voices to create a soundscape to accompany the images"
Foundation,Presenting,,VC2AMAFP01,share their media arts works with audiences,,"creating a series of images to illustrate a story, recording the images in a sequence using camera software or scanning and recording the story narrative"
Foundation,Presenting,,VC2AMAFP01,share their media arts works with audiences,,"designing posters about a class topic explored in another learning area such as healthy eating, the importance of exercise, student wellbeing or sustainability"
Foundation,Presenting,,VC2AMAFP01,share their media arts works with audiences,,"using digital devices to record their arts explorations, for example by curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process, such as images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings"
