Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 3 and 4,Exploring,,VC2AMA4E01,"explore where, when, why and how media arts are created and distributed across cultures, times, places and other contexts",,"sequencing images, sounds and/or text to clearly establish the beginning, middle and end of a story or event"
Levels 3 and 4,Exploring,,VC2AMA4E01,"explore where, when, why and how media arts are created and distributed across cultures, times, places and other contexts",,"identifying meaning and describing representations in media arts works from different social, cultural or historical contexts; for example, examining the different ways traditional stories are retold or the use of stereotypes in advertising"
Levels 3 and 4,Exploring,,VC2AMA4E01,"explore where, when, why and how media arts are created and distributed across cultures, times, places and other contexts",,identifying media conventions in media arts forms and comparing media arts works made for different purposes using appropriate language
Levels 3 and 4,Exploring,,VC2AMA4E01,"explore where, when, why and how media arts are created and distributed across cultures, times, places and other contexts",,"investigating digital or analog storyboarding as a planning tool; for example, preparing a storyboard for a short film, stop-motion animation or comic strip to create a sequence of actions, changes or events"
Levels 3 and 4,Exploring,,VC2AMA4E02,explore how Aboriginal and Torres Strait Islander Peoples use media arts to communicate their connection to and responsibility for Country and Place,,"identifying meaning and describing representations in media arts works created or co-created by Aboriginal and Torres Strait Islander Peoples, such as how traditional stories of Aboriginal and Torres Strait Islander Peoples are being retold using media technologies and media arts concepts"
Levels 3 and 4,Exploring,,VC2AMA4E02,explore how Aboriginal and Torres Strait Islander Peoples use media arts to communicate their connection to and responsibility for Country and Place,,"exploring how Aboriginal and Torres Strait Islander Peoples use media arts concepts to communicate their connection to and responsibility for Country and Place, such as use of media languages, media technologies or relationships"
Levels 3 and 4,Exploring,,VC2AMA4E02,explore how Aboriginal and Torres Strait Islander Peoples use media arts to communicate their connection to and responsibility for Country and Place,,"recognising, through media arts, how Aboriginal and Torres Strait Islander Peoples’ cultural expressions often contain and communicate connection to and responsibility for Country and Place, such as by naming the Country or Place and Traditional Owners, showing respect to the Traditional Owners and acknowledging their Ancestors"
Levels 3 and 4,Exploring,,VC2AMA4E02,explore how Aboriginal and Torres Strait Islander Peoples use media arts to communicate their connection to and responsibility for Country and Place,,"exploring Aboriginal and Torres Strait Islander Peoples’ use of media arts to express connection to and responsibility for Country and Place, such as using screen-based storytelling to maintain language and unique ways of life; communicate knowledge about local seasons and of land, sea, sky and waterways; share cultural stories of cyclic phenomena; and describe how Aboriginal and Torres Strait Islander Peoples perceive themselves and their environment"
Levels 3 and 4,Exploring,,VC2AMA4E02,explore how Aboriginal and Torres Strait Islander Peoples use media arts to communicate their connection to and responsibility for Country and Place,,"collecting and sharing information about media arts works created and produced by Aboriginal and Torres Strait Islander Peoples for occasions such as festivals or ceremonies, and reflecting on how these media arts works can communicate important information or knowledge about Country and Place"
Levels 3 and 4,Exploring,,VC2AMA4E02,explore how Aboriginal and Torres Strait Islander Peoples use media arts to communicate their connection to and responsibility for Country and Place,,"exploring how stories and ideas can communicate connection to and responsibility for Country and Place – for example, by exploring a media arts work that includes images, sound and/or text that communicates the diversity of Aboriginal and Torres Strait Islander Peoples’ cultures (such as an interactive map of Aboriginal and/or Torres Strait Islander languages) and considering how media technologies and languages are used to communicate and create a relationship with the viewer"
Levels 3 and 4,Developing Practices,,VC2AMA4D01,"develop media production skills by exploring ways of shaping ideas using media languages and technologies, including images, sounds, text and/or interactive elements",,"using viewpoints to develop questions to respond to their experiences as they work, such as ‘In what ways does the meaning of the image change when I manipulate the sound effects?’, ‘Where is the suspense happening in this work, and how do I know?’ and ‘Which images will best represent the story I am trying to tell?’"
Levels 3 and 4,Developing Practices,,VC2AMA4D01,"develop media production skills by exploring ways of shaping ideas using media languages and technologies, including images, sounds, text and/or interactive elements",,"experimenting with suspense to create meaning and sustain representations; for example, exploring the way colour, shot type and editing techniques are used to communicate meaning in different genres"
Levels 3 and 4,Developing Practices,,VC2AMA4D01,"develop media production skills by exploring ways of shaping ideas using media languages and technologies, including images, sounds, text and/or interactive elements",,"investigating how the conventions of a news story or video game communicate meaning; for example, examining the different ways speech bubble text can be written and how this can reflect the way a character is speaking"
Levels 3 and 4,Developing Practices,,VC2AMA4D01,"develop media production skills by exploring ways of shaping ideas using media languages and technologies, including images, sounds, text and/or interactive elements",,"exploring different ways of creating sounds when making a soundscape; for example, creating Foley sounds with available resources, such as rustling plastic for the sound of fire or using different types of shoes and surfaces to create a variety of footstep sounds"
Levels 3 and 4,Developing Practices,,VC2AMA4D01,"develop media production skills by exploring ways of shaping ideas using media languages and technologies, including images, sounds, text and/or interactive elements",,"exploring media technologies and languages when creating sound effects or images to convey a mood or the main idea of a story (for example, reviewing captured images, storyboarding, zooming in and out, deleting unwanted images, or adding sound or text to images to create or support a story), considering how different options might be perceived by the intended audience"
Levels 3 and 4,Creating,,VC2AMA4C01,"use media arts language, production processes and technologies to construct representations that communicate ideas, perspectives and meaning",,"taking a series of photographs that show themselves and their friends as comic-strip superheroes and villains through setting, costume and body language"
Levels 3 and 4,Creating,,VC2AMA4C01,"use media arts language, production processes and technologies to construct representations that communicate ideas, perspectives and meaning",,"creating a soundscape to accompany a moving image that includes Foley sounds and recorded sounds on a variety of devices to explore volume, layering and the use of voice to create a sense of environment"
Levels 3 and 4,Creating,,VC2AMA4C01,"use media arts language, production processes and technologies to construct representations that communicate ideas, perspectives and meaning",,"experimenting with a camera and framing the subject, using shot types, angles and lighting, and experimenting to apply text to still or moving images, such as credits in a title sequence"
Levels 3 and 4,Creating,,VC2AMA4C01,"use media arts language, production processes and technologies to construct representations that communicate ideas, perspectives and meaning",,"filming a short sequence that focuses on conflict by selecting camera angles, lighting and costume to convey meaning without dialogue"
Levels 3 and 4,Creating,,VC2AMA4C01,"use media arts language, production processes and technologies to construct representations that communicate ideas, perspectives and meaning",,"collaborating with others to make a small publication to explore ideas that are significant in their lives, for example a zine or website, using collaged images, drawings and text"
Levels 3 and 4,Presenting,,VC2AMA4P01,share media arts works in formal and informal settings considering responsible media practice,,"using appropriate language to discuss the meaning of their own media arts works, for example in writing or through an oral, visual or multimedia presentation"
Levels 3 and 4,Presenting,,VC2AMA4P01,share media arts works in formal and informal settings considering responsible media practice,,"creating credits in a title sequence and selecting appropriate fonts, colour and length of display time to accompany a screening of a series of moving images that the class has created"
Levels 3 and 4,Presenting,,VC2AMA4P01,share media arts works in formal and informal settings considering responsible media practice,,"seeking permission to take photos of class members; for example, documenting a school excursion for publication on the school intranet and acknowledging that this permission has been obtained when sharing the work"
Levels 3 and 4,Presenting,,VC2AMA4P01,share media arts works in formal and informal settings considering responsible media practice,,"considering media concepts, such as audience and relationships, when formatting and laying out a story; for example, using appropriate text conventions for a front-page news story or print advertisement"
Levels 3 and 4,Presenting,,VC2AMA4P01,share media arts works in formal and informal settings considering responsible media practice,,"using responsible media practices when making media arts works; for example, considering how to represent multiculturalism in a documentary of a community event"
