Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation,VC2AMUFE01,VCAMUR020,"Respond to music, expressing what they enjoy and why",Refined,Refined to focus more on the importance of music to people
Foundation,VC2AMUFE02,VCAMUE017,"Explore sound and silence and ways of using their voices, movement and instruments to express ideas",Refined,"Refined, with a greater emphasis on play"
Foundation,VC2AMUFD01,VCAMUE017,"Explore sound and silence and ways of using their voices, movement and instruments to express ideas",Refined,"Refined with simpler language, and specifically linked to play"
Foundation,VC2AMUFC01,VCAMUM018,"Sing and play instruments to create and practise chants, songs and rhymes including those used by cultural groups in the local community",Refined,"Refined with a simpler statement about creating, to avoid repetition with Developing Practices strand"
Foundation,VC2AMUFP01,VCAMUP019,Rehearse and perform songs and short instrumental pieces which they have learnt and composed,Refined,Refined for clarity and leaves the ‘performance’ options more open
Levels 1 and 2,VC2AMU2E01,VCAMUR024,"Respond to music, communicating their preferences and discussing where and why people in their local area make and perform music, including the music of Aboriginal and Torres Strait Islander peoples",Refined,Reworded for accessibility
Levels 1 and 2,VC2AMU2D01,VCAMUM022,"Sing and play instruments to improvise, compose and practise a repertoire of chants, songs and rhymes, including those used by cultural groups in the local community  Rehearse and perform songs and instrumental music they have learnt and composed to communicate ideas to an audience (VCAMUP023)",Refined,"Refined to more specifically articulate, in accessible language, the skills being developed"
Levels 1 and 2,VC2AMU2D01,VCAMUP023,"Sing and play instruments to improvise, compose and practise a repertoire of chants, songs and rhymes, including those used by cultural groups in the local community (VCAMUM022) Rehearse and perform songs and instrumental music they have learnt and composed to communicate ideas to an audience",Refined,"Refined to more specifically articulate, in accessible language, the skills being developed"
Levels 1 and 2,VC2AMU2C01,VCAMUM022,"Sing and play instruments to improvise, compose and practise a repertoire of chants, songs and rhymes, including those used by cultural groups in the local community  Rehearse and perform songs and instrumental music they have learnt and composed to communicate ideas to an audience (VCAMUP023) Use imagination and experimentation to explore musical ideas using voice, movement, instruments and body percussion VCAMUE021)",Refined,"Similar content, but incorporated into the Creating strand and making clear reference to elements"
Levels 1 and 2,VC2AMU2C01,VCAMUP023,"Sing and play instruments to improvise, compose and practise a repertoire of chants, songs and rhymes, including those used by cultural groups in the local community (VCAMUM022) Rehearse and perform songs and instrumental music they have learnt and composed to communicate ideas to an audience  Use imagination and experimentation to explore musical ideas using voice, movement, instruments and body percussion VCAMUE021)",Refined,"Similar content, but incorporated into the Creating strand and making clear reference to elements"
Levels 1 and 2,VC2AMU2P01,VCAMUP023,Rehearse and perform songs and instrumental music they have learnt and composed to communicate ideas to an audience,Refined,Refined
Levels 3 and 4,VC2AMU4E01,VCAMUR028,"Identify features of the music they listen to, compose and perform, and discuss the purposes it was created for, including the music of Aboriginal and Torres Strait Islander peoples, using music terminology",Refined,"Split into 2, but content is very similar"
Levels 3 and 4,VC2AMU4E02,VCAMUR028,"Identify features of the music they listen to, compose and perform, and discuss the purposes it was created for, including the music of Aboriginal and Torres Strait Islander peoples, using music terminology",Refined,"Split into 2, but content is very similar"
Levels 3 and 4,VC2AMU4D01,VCAMUE025,"Use imagination and creativity to explore pitch, rhythm/time and form, dynamics and tempo using voice, movement and instruments",Refined,Refined to offer more scope for different situations
Levels 3 and 4,VC2AMU4C01,VCAMUM026,"Use voice and instruments to sing, play and arrange music from different cultures, times and locations, and improvise and compose music in different forms  Rehearse and perform songs and instrumental music they have learnt and composed, shaping elements of music to communicate ideas to an audience (VCAMUP027)",Refined,"Reworded for clarity, with some content now in Presenting strand"
Levels 3 and 4,VC2AMU4C01,VCAMUP027,"Use voice and instruments to sing, play and arrange music from different cultures, times and locations, and improvise and compose music in different forms (VCAMUM026) Rehearse and perform songs and instrumental music they have learnt and composed, shaping elements of music to communicate ideas to an audience",Refined,"Reworded for clarity, with some content now in Presenting strand"
Levels 3 and 4,VC2AMU4P01,VCAMUP027,"Rehearse and perform songs and instrumental music they have learnt and composed, shaping elements of music to communicate ideas to an audience",Refined,Refined to be more accessible
Levels 5 and 6,VC2AMU6E01,VCAMUR032,"Explain how aspects of the elements of music are combined to communicate ideas, concepts and feelings by comparing music from different cultures, times and locations, including the music of Aboriginal and Torres Strait Islander peoples  Explore ways of combining the elements of music using listening skills, voice and a range of instruments, objects and electronically generated sounds to create effects (VCAMUE029)",Refined,Refined for clarity and accessibility. Less prescriptive
Levels 5 and 6,VC2AMU6E01,VCAMUE029,"Explain how aspects of the elements of music are combined to communicate ideas, concepts and feelings by comparing music from different cultures, times and locations, including the music of Aboriginal and Torres Strait Islander peoples (VCAMUR032) Explore ways of combining the elements of music using listening skills, voice and a range of instruments, objects and electronically generated sounds to create effects",Refined,Refined for clarity and accessibility. Less prescriptive
Levels 5 and 6,VC2AMU6E02,VCAMUR032,"Explain how aspects of the elements of music are combined to communicate ideas, concepts and feelings by comparing music from different cultures, times and locations, including the music of Aboriginal and Torres Strait Islander peoples",Refined,Refined to focus more on the aspect of continuation of culture
Levels 5 and 6,VC2AMU6D01,VCAMUM030,"Develop and practise technical skills and use of expressive elements of music in singing, playing instruments, improvising, arranging and composing",Refined,No substantive change
Levels 5 and 6,VC2AMU6C01,VCAMUM030,"Develop and practise technical skills and use of expressive elements of music in singing, playing instruments, improvising, arranging and composing  Rehearse and perform songs and music they have learnt, including their own compositions, combining aspects of the elements of music and using performance skills, to communicate ideas and intentions to an audience (VCAMUP031)",Refined,"Realignment of strands and clearer language, but no appreciable change to content"
Levels 5 and 6,VC2AMU6C01,VCAMUP031,"Develop and practise technical skills and use of expressive elements of music in singing, playing instruments, improvising, arranging and composing (VCAMUM030) Rehearse and perform songs and music they have learnt, including their own compositions, combining aspects of the elements of music and using performance skills, to communicate ideas and intentions to an audience",Refined,"Realignment of strands and clearer language, but no appreciable change to content"
Levels 5 and 6,VC2AMU6P01,VCAMUP031,"Rehearse and perform songs and music they have learnt, including their own compositions, combining aspects of the elements of music and using performance skills, to communicate ideas and intentions to an audience",Refined,"Realigned strands, but no major change to content"
