SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E01,"Explore ways that the elements of music are combined to communicate meaning in music across cultures, times, places and other contexts including from Aboriginal and Torres Strait Islander Peoples",,"Listening to music that uses a range of instrumentation or forms (such as song forms, theme and variations, binary, verse chorus, cumulative), describing the use of elements, identifying roles of instruments (melody or accompaniment), and exploring different versions such as reimagined versions with viewpoint questions, for example ‘How does this music draw on music traditions or styles from other times, cultures or locations?’"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E01,"Explore ways that the elements of music are combined to communicate meaning in music across cultures, times, places and other contexts including from Aboriginal and Torres Strait Islander Peoples",,"Evaluating and discussing (using their own words and learnt music terminology) personal preferences for music from a range of contexts and cultures in music they play or hear, or music they encounter in their lives, including screen-based content"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E01,"Explore ways that the elements of music are combined to communicate meaning in music across cultures, times, places and other contexts including from Aboriginal and Torres Strait Islander Peoples",,"Identifying and describing features of music that create effects, including manipulation of elements of music, use of devices such as riffs, and specific instrumental techniques such as strumming or plucking"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E01,"Explore ways that the elements of music are combined to communicate meaning in music across cultures, times, places and other contexts including from Aboriginal and Torres Strait Islander Peoples",,"Listening to and/or performing and responding to music from a variety of contexts and cultures, such as Asian cultures, using their own words and learnt music terminology, and giving reasons for their opinions, discussing what they like about the music and hypothesising as to why they think the composer/performer chose to write/perform it"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E01,"Explore ways that the elements of music are combined to communicate meaning in music across cultures, times, places and other contexts including from Aboriginal and Torres Strait Islander Peoples",,"Considering ways in which music is used in celebrations, ceremonies or rituals at their school or in their local community, and how it is used to give structure to the occasion or to communicate themes such as identity or belonging"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E01,"Explore ways that the elements of music are combined to communicate meaning in music across cultures, times, places and other contexts including from Aboriginal and Torres Strait Islander Peoples",,"Investigating the range of music styles and instruments that living Aboriginal and Torres Strait Islander composers and/or performers are using in their work, making sure to investigate the local area first, and to highlight the culturally appropriate use of instruments"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E02,Explore ways Aboriginal and Torres Strait Islander Peoples use music to continue and revitalise cultures,,"Investigating how Aboriginal and Torres Strait Islander composers and/or performers share knowledge about their culture as part of performances, for example a Welcome to Country or Acknowledgement of Country before a performance, or sharing information about the language they are using in their performance or their inspiration for composing a song or instrumental work"
The Arts,Music,Years 5 and 6,Exploring,,VC2AMU6E02,Explore ways Aboriginal and Torres Strait Islander Peoples use music to continue and revitalise cultures,,Viewing a performance at a Tanderrum and talking with a representative from the local Koorie community about how the performance strengthens culture
The Arts,Music,Years 5 and 6,Developing Practices,,VC2AMU6D01,"Develop listening skills and skills for working with elements of music to achieve expressive effects when composing, singing and playing instruments",,"Developing vocal and/or instrumental skills by focusing on specific elements of music such as copying rhythmic or melodic patterns, phrases or melodies and using them in improvisations"
The Arts,Music,Years 5 and 6,Developing Practices,,VC2AMU6D01,"Develop listening skills and skills for working with elements of music to achieve expressive effects when composing, singing and playing instruments",,Combining listening and performance skills to hear other parts when singing or playing in a group and adjusting their own volume to achieve a balanced sound
