Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 7 and 8,Exploring,,VC2AMU8E01,"Investigate ways composers and performers use the elements of music and compositional devices in music composed across cultures, times, places and other contexts, including in the music of Aboriginal and Torres Strait Islander musicians",,"Accessing and researching music through live or recorded/streamed performances to analyse performers’ interpretations of composers’ intentions such as tempo choices, instrumentation, feel or articulation"
Levels 7 and 8,Exploring,,VC2AMU8E01,"Investigate ways composers and performers use the elements of music and compositional devices in music composed across cultures, times, places and other contexts, including in the music of Aboriginal and Torres Strait Islander musicians",,"Listening to live or recorded music and identifying stylistic characteristics such as how elements of music are manipulated and how compositional devices are used, then using this information to describe features of style and inform performance in that style"
Levels 7 and 8,Exploring,,VC2AMU8E01,"Investigate ways composers and performers use the elements of music and compositional devices in music composed across cultures, times, places and other contexts, including in the music of Aboriginal and Torres Strait Islander musicians",,"Listening to and identifying how elements of music are manipulated in music composed by a range of composers, with the intention of drawing attention to social issues or values through music, such as protest song or nationalistic music"
Levels 7 and 8,Exploring,,VC2AMU8E01,"Investigate ways composers and performers use the elements of music and compositional devices in music composed across cultures, times, places and other contexts, including in the music of Aboriginal and Torres Strait Islander musicians",,"Researching and discussing the influence of social, cultural and historical developments relating to specific styles, forms or traditions and incorporating these into their composition and/or performance, for example by asking questions such as ‘How does this music relate to its social context, makers and audiences?’"
Levels 7 and 8,Exploring,,VC2AMU8E02,"Explore the diversity of music composed and performed by Aboriginal and Torres Strait Islander musicians, considering culturally appropriate and respectful approaches to Indigenous Cultural and Intellectual Property rights",,"Exploring ways that Aboriginal and Torres Strait Islander composers and/or performers communicate their ideas and messages across communities and cultures, for example by asking questions such as ‘What are the impacts of this musician’s/these musicians’ music?’ or ‘What music styles or genres is this musician drawing on in creating their own music?’"
Levels 7 and 8,Exploring,,VC2AMU8E02,"Explore the diversity of music composed and performed by Aboriginal and Torres Strait Islander musicians, considering culturally appropriate and respectful approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating when, how and why copyright and/or Indigenous Cultural and Intellectual Property rights might be relevant to their practice as, for example, listeners, songwriters, composers and/or performers"
Levels 7 and 8,Exploring,,VC2AMU8E02,"Explore the diversity of music composed and performed by Aboriginal and Torres Strait Islander musicians, considering culturally appropriate and respectful approaches to Indigenous Cultural and Intellectual Property rights",,"Exploring what protocols for protecting Indigenous Cultural and Intellectual Property rights exist to help students make ethical choices about how they use music as listeners or creators, for example by asking questions such as ‘Who wrote this music?’, ‘May I use ideas from this song, and do I need permission to do so?’, ‘When can I use Aboriginal and Torres Strait Islander languages or stories in song lyrics?’, ‘Has the Aboriginal or Torres Strait Islander artist been paid for me to listen to this?’ and ‘When was the music composed?’"
Levels 7 and 8,Developing Practices,,VC2AMU8D01,Develop and practise listening skills and vocal and/or instrumental skills and techniques for manipulating elements of music to achieve expressive effects,,"Experimenting with ways to use instrumental/vocal techniques to manipulate elements of music to achieve intended effects, and notate or document their ideas as a reference for future performances or composition"
Levels 7 and 8,Developing Practices,,VC2AMU8D01,Develop and practise listening skills and vocal and/or instrumental skills and techniques for manipulating elements of music to achieve expressive effects,,"Practising technical and expressive skills such as intonation, pitch and rhythmic accuracy, phrasing or shaping dynamics and articulation to communicate expressive intent using voices and/or instruments"
Levels 7 and 8,Developing Practices,,VC2AMU8D01,Develop and practise listening skills and vocal and/or instrumental skills and techniques for manipulating elements of music to achieve expressive effects,,"Experimenting with ways digital tools can be used when arranging musical ideas or creating effects; for example, using digitally produced parts alone or in combination with voice/vocalisation or other instruments"
