Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation,VC2AVAFE01,VCAVAE017,"Explore ideas, experiences, observations and imagination to create visual artworks",Refined,New content description written combining content descriptions from the Explore and Express strand and Respond and Interpret strand in VC1 to align with the change in structure of the Exploring strand in VC2. Focus on local communities
Foundation,VC2AVAFE01,VCAVAR020,Respond to visual artworks and consider where and why people make visual artworks,Refined,New content description written combining content descriptions from the Explore and Express strand and Respond and Interpret strand in VC1 to align with the change in structure of the Exploring strand in VC2. Focus on local communities
Foundation,VC2AVAFE02,VCAVAE017,"Explore ideas, experiences, observations and imagination to create visual artworks",Refined,New content description written combining content descriptions from the Explore and Express strand and Respond and Interpret strand in VC1 to align with the change in structure of the Exploring strand in VC2. Content description more focused on exploring ideas in artworks with a focus on play
Foundation,VC2AVAFE02,VCAVAR020,Respond to visual artworks and consider where and why people make visual artworks,Refined,New content description written combining content descriptions from the Explore and Express strand and Respond and Interpret strand in VC1 to align with the change in structure of the Exploring strand in VC2. Content description more focused on exploring ideas in artworks with a focus on play
Foundation,VC2AVAFD01,VCAVAV018,Experiment with different materials and techniques to make artworks,Refined,Change and addition of terminology to demonstrate the breadth of visual arts practices. Focus on play
Foundation,VC2AVAFC01,VCAVAV018,Experiment with different materials and techniques to make artworks,Refined,Content description changed to align with the change in structure of the Creating strand. Deepened learning by creating artworks to communicate ideas and explore meaning
Foundation,VC2AVAFC01,VCAVAP019,Create and display artworks,Refined,Content description changed to align with the change in structure of the Creating strand. Deepened learning by creating artworks to communicate ideas and explore meaning
Foundation,VC2AVAFP01,VCAVAP019,Create and display artworks,Refined,Specific references to ‘viewers’ and ‘audiences’ have been added to develop student understanding of the relationship between an artwork and the viewer/audience. ‘Viewer’ and ‘audience’ have been added as ‘viewer’ or ‘audience’ definitions are dependent on the art form
Levels 1 and 2,VC2AVA2E01,VCAVAE021,"Explore ideas, experiences, observations and imagination and express them through subject matter in visual artworks they create",Refined,"Two content descriptions have been combined into one to merge the Explore and Express Ideas, and Respond and Interpret strands in VC1. Change in focus to combine the key concepts of making and responding across all strands in VC2"
Levels 1 and 2,VC2AVA2E01,VCAVAR024,"Respond to visual artworks, including artworks by local Aboriginal and Torres Strait Islander peoples, by describing subject matter and ideas",Refined,"Two content descriptions have been combined into one to merge the Explore and Express Ideas, and Respond and Interpret strands in VC1. Change in focus to combine the key concepts of making and responding across all strands in VC2"
