Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Foundation,Exploring,,VC2AVAFE01,Explore how and why the visual arts are important for people and communities,,"Identifying artworks and experiences in their lives, such as images, public art, 2D, 3D or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers"
Foundation,Exploring,,VC2AVAFE01,Explore how and why the visual arts are important for people and communities,,"Exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood"
Foundation,Exploring,,VC2AVAFE01,Explore how and why the visual arts are important for people and communities,,"Listening to Aboriginal and Torres Strait Islander Peoples talk about the importance of the arts for connecting to people, culture, Country and Place; for example, using resources created or co-created by Aboriginal and Torres Strait Islander Peoples"
Foundation,Exploring,,VC2AVAFE02,Explore ideas for artworks through play and visual arts processes,,"Exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in artworks, for example characters in portraits, cartoons, songs, chants or dances from different times and cultures"
Foundation,Exploring,,VC2AVAFE02,Explore ideas for artworks through play and visual arts processes,,"Using play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as ‘What is happening?’"
Foundation,Developing Practices,,VC2AVAFD01,"Use play, imagination, experimentation, materials and processes to discover possibilities and develop ideas",,"Playing with the tactile qualities of a range of materials (e.g. rough, smooth, spiky, gooey) and exploring how they feel about these qualities to develop ideas for a visual arts work; for example, using art materials to depict or embody the tactile qualities they discovered or moving their body in ways that represent the smooth nature of a stone or ball"
Foundation,Developing Practices,,VC2AVAFD01,"Use play, imagination, experimentation, materials and processes to discover possibilities and develop ideas",,"Imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the character"
Foundation,Developing Practices,,VC2AVAFD01,"Use play, imagination, experimentation, materials and processes to discover possibilities and develop ideas",,"Identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; or working collaboratively to form frozen or still images of each shape"
Foundation,Developing Practices,,VC2AVAFD01,"Use play, imagination, experimentation, materials and processes to discover possibilities and develop ideas",,"Responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, creating visual images combining body movements and materials such as crayons or paint"
Foundation,Developing Practices,,VC2AVAFD01,"Use play, imagination, experimentation, materials and processes to discover possibilities and develop ideas",,"Improvising rhythmic patterns for clapping or stamping or inventing new movements for familiar action songs, and interpreting these visually using art elements such as shapes, lines and/or colours, and materials such as paper and pencil or string"
Foundation,Developing Practices,,VC2AVAFD01,"Use play, imagination, experimentation, materials and processes to discover possibilities and develop ideas",,Improvising movements to explain the steps in a process and then using a camera to capture a series of images or a photographic story
Foundation,Creating,,VC2AVAFC01,"Create artworks that communicate experiences, ideas and observations and explore meaning",,"Creating artworks in a range of forms to communicate ideas from lived personal or social experiences; for example, using digital devices to record their peers playing a game and creating a voice over that describes what is happening; drawing a home scene of people and animals; or devising a character of a fictional hero for an animated series or text that could be used to communicate a health or sustainability message"
Foundation,Creating,,VC2AVAFC01,"Create artworks that communicate experiences, ideas and observations and explore meaning",,"Creating artworks in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities"
Foundation,Creating,,VC2AVAFC01,"Create artworks that communicate experiences, ideas and observations and explore meaning",,"Manipulating objects, puppets or 2D images or creating animations using available technologies to create or retell stories"
Foundation,Creating,,VC2AVAFC01,"Create artworks that communicate experiences, ideas and observations and explore meaning",,"Repurposing materials and objects such as clothing or packing boxes as starting points for imagining and developing scenes and scenarios; for example, using packing boxes to create an imagined environment or vehicle"
Foundation,Creating,,VC2AVAFC01,"Create artworks that communicate experiences, ideas and observations and explore meaning",,"Viewing an exhibition at a gallery or museum, discussing the expression of ideas in the artworks exhibited and creating visual responses"
Foundation,Presenting,,VC2AVAFP01,Share their visual arts works with viewers and audiences,,"Sharing their work with their teacher and responding to questions such as ‘What is going on in your work?’, ‘Tell me the story of what is happening’ and ‘What did you enjoy about making this work?’"
Foundation,Presenting,,VC2AVAFP01,Share their visual arts works with viewers and audiences,,"Sharing their artworks with the class via a ‘gallery’ or ‘performance walk’; for example, walking around the space looking at the works and using positive language to comment on the works and identify features such as similarities or differences, and use of materials and art elements such as line"
Foundation,Presenting,,VC2AVAFP01,Share their visual arts works with viewers and audiences,,"Taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion and adding sound; for example, importing the images to a software program, sequencing the images and using instruments and voices to create a soundscape to accompany the images"
Foundation,Presenting,,VC2AVAFP01,Share their visual arts works with viewers and audiences,,"Talking about ideas such as themes, processes used to make the work, or features of the work such as patterns, pathways or lines; for example, talking with the teacher and explaining the important features of their work"
Foundation,Presenting,,VC2AVAFP01,Share their visual arts works with viewers and audiences,,"Using digital devices to record their arts explorations, for example by curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process, such as images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings"
