SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E01,"Explore ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in visual arts practices across cultures, times, places and other contexts, including from Aboriginal and Torres Strait Islander Peoples",,"Using viewpoints to develop questions about ideas and issues in artworks from different periods of time, such as ‘What does this artwork tell us about the impact of this person/culture on society?’ and ‘What can I learn about this person’s experiences or about what it means to be Australian?’"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E01,"Explore ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in visual arts practices across cultures, times, places and other contexts, including from Aboriginal and Torres Strait Islander Peoples",,"Using viewpoints to develop questions to examine, compare and contrast what they notice in an artwork, for example critically navigating multiple perspectives of the same artwork as a class and questioning why they see these works so differently"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E01,"Explore ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in visual arts practices across cultures, times, places and other contexts, including from Aboriginal and Torres Strait Islander Peoples",,"Investigating how a diverse range of Australian artists have expressed historical, social and environmental concerns over time"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E01,"Explore ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in visual arts practices across cultures, times, places and other contexts, including from Aboriginal and Torres Strait Islander Peoples",,"Identifying ways that artworks by different artists can present multiple perspectives of the same subject or topic, for example portraits over time or the changing Australian landscape"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E01,"Explore ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in visual arts practices across cultures, times, places and other contexts, including from Aboriginal and Torres Strait Islander Peoples",,"Exploring a range of Australian and international artworks, such as artworks from countries or regions in Asia, that communicate a topic or issue and individually expressing their own views of the issue in their own artworks"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E02,Explore ways that Aboriginal and Torres Strait Islander Peoples use visual arts to continue and revitalise cultures,,"Using viewpoints to question understandings about artists, designers and artworks, and explore what needs to be investigated further, such as ‘What do I already know about this artist/designer?’, ‘What do I need to learn to have a better understanding about this artist/designer, their Country or Place and Culture?’ and ‘What questions would I ask the artist/designer about this artwork/design?’"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E02,Explore ways that Aboriginal and Torres Strait Islander Peoples use visual arts to continue and revitalise cultures,,"Exploring how Aboriginal and Torres Strait Islander Peoples have represented themselves in artworks as a visual declaration of identity, for example in works with traditional songlines compared to representations in graphic texts, animations and popular culture"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E02,Explore ways that Aboriginal and Torres Strait Islander Peoples use visual arts to continue and revitalise cultures,,"Exploring the ways that visual arts created by Aboriginal and Torres Strait Islander artists may have multiple purposes, for example art as cultural practice, art to communicate cultural understandings or art as narrative"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E02,Explore ways that Aboriginal and Torres Strait Islander Peoples use visual arts to continue and revitalise cultures,,"Investigating a range of site-specific artworks created by Aboriginal and Torres Strait Islander artists, exploring how they communicate and celebrate cultural knowledge and understandings, for example street artworks, murals and installations"
The Arts,Visual Arts,Years 5 and 6,Exploring,,VC2AVA6E02,Explore ways that Aboriginal and Torres Strait Islander Peoples use visual arts to continue and revitalise cultures,,"Investigating how meaning and purpose are communicated in artworks and designs created or co-created by Aboriginal and Torres Strait Islander Peoples; for example, learning about how visual conventions are used in artworks and designs, such as textiles and fashion, to share cultural knowledge with the broader community"
