Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 7 and 8,Exploring,,VC2AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in artworks created across cultures, times, places and other contexts",,"Researching the ways that artists from different times and places have represented a particular subject or theme, such as portraiture, the natural world or social events, using a range of styles and conventions"
Levels 7 and 8,Exploring,,VC2AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in artworks created across cultures, times, places and other contexts",,"Observing and investigating how artists select and apply different visual arts techniques to represent themes, concepts and ideas and considering how they could use these in their own art making"
Levels 7 and 8,Exploring,,VC2AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in artworks created across cultures, times, places and other contexts",,"Creating written accounts, such as catalogue entries, interview transcripts or reviews, that discuss or explain how artists have shown their ideas in their art practice"
Levels 7 and 8,Exploring,,VC2AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in artworks created across cultures, times, places and other contexts",,"Exploring ways that artists, architects or craftspeople communicate ideas and meaning in their work, using written discussions, annotated images, debates or digital presentations"
Levels 7 and 8,Exploring,,VC2AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in artworks created across cultures, times, places and other contexts",,"Investigating and trialling techniques and visual arts processes used by artists, how these processes and technologies have changed over time and how they can have an impact on art making"
Levels 7 and 8,Exploring,,VC2AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are used to communicate ideas, perspectives and meaning in artworks created across cultures, times, places and other contexts",,"Exploring the ways that artists are inspired and influenced by the practice of artists from other countries or cultures they have relationships with, for example the reciprocal influence and impact between Australian and Asian artists and their practices"
Levels 7 and 8,Exploring,,VC2AVA8E02,"Explore the diversity of artworks created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating artworks, including Indigenous Cultural and Intellectual Property rights",,"Engaging in activities that help them to understand how to make ethical choices and empathise with content creators and story owners; for example, asking questions such as ‘Who created this artwork?’, ‘Whose story is it?’ and ‘May I use ideas from this artwork and do I need permission to do so?’"
Levels 7 and 8,Exploring,,VC2AVA8E02,"Explore the diversity of artworks created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating artworks, including Indigenous Cultural and Intellectual Property rights",,"Locating and discussing information about Indigenous Cultural and Intellectual Property rights and protocols, and engaging in activities that help them understand how to make ethical choices and empathise with content creators and story owners; for example, asking questions such as ‘Who created this artwork?’, ‘Whose story is it?’ and ‘May I use ideas from this artwork and do I need permission to do so?’"
Levels 7 and 8,Exploring,,VC2AVA8E02,"Explore the diversity of artworks created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating artworks, including Indigenous Cultural and Intellectual Property rights",,Exploring how they can respectfully reference and demonstrate an understanding of Aboriginal and Torres Strait Islander Peoples’ perspectives and ideas in artworks
Levels 7 and 8,Exploring,,VC2AVA8E02,"Explore the diversity of artworks created by Aboriginal and Torres Strait Islander Peoples and culturally responsive approaches to creating artworks, including Indigenous Cultural and Intellectual Property rights",,"Investigating an example of cultural appropriation, for example a situation where an artist used symbols, techniques or styles that carry cultural knowledge without gaining permission from the knowledge holders"
