SubjectArea,Subject,Band,Unit,AreaofStudy,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Inferential reading and viewing strategies,,1,1
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Ideas, concerns and tensions in a text",,1,2
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Vocabulary, text structures and language features in a text",,1,3
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Personal and analytical writing in response to a text,,1,4
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Small group and whole class discussion, including ways of developing constructive and collaborative interactions and building on the ideas of others",,1,5
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,The conventions of discussion and debate,,1,6
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,7
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Develop strategies for inferential reading and viewing,,1,1
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Consider and explore:,,1,2
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Ideas, concerns and tensions presented in a text",consider and explore:,2,3
