Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,"Identifying the place they live in and belong to, such as a neighbourhood, suburb, town, rural locality or an Aboriginal or Torres Strait Islander People’s Country and Place"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,"Discussing how places support people’s lives, with housing, water, shops, schools, recreation and other services and facilities, and understanding that their closest relationships are with people in or near their place"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,"Exploring why people have attachment to places, such as through reading and viewing poems, songs, paintings and stories about people’s feelings about their place"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,"Identifying some significant features of their place, such as a river, hill, shopping centre, park, school or religious building"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,"Identifying places they consider to be ‘special’, such as their bedroom, a play area, a holiday location or a place of family significance"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,Writing or drawing about their feelings about their place and explaining why the place is special to them
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,Discussing why it is important to care for the places people live in and how places can be looked after
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K01,"The places in which they live, why their places are important to them, the features of places, and how places can be looked after",,Making a pictorial map of the location of the people who are most important in their lives and describing any patterns they observe
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K02,"How places are identified and named, including by Aboriginal and Torres Strait Islander Peoples",,Examining the names of places in the local area and their meanings
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K02,"How places are identified and named, including by Aboriginal and Torres Strait Islander Peoples",,Investigating the names and meanings given to local features and places by local Aboriginal or Torres Strait Islander Peoples
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K02,"How places are identified and named, including by Aboriginal and Torres Strait Islander Peoples",,Discussing the differences between European and Aboriginal and Torres Strait Islander placenames
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K02,"How places are identified and named, including by Aboriginal and Torres Strait Islander Peoples",,Identifying the Country and Place in which their school is located and using the name of the local Aboriginal or Torres Strait Islander People’s language group
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K03,"The interconnections between Aboriginal and Torres Strait Islander Peoples and Country and Place, and the importance of Country and Place",,Discussing why the words Country and Place are used by Aboriginal and Torres Strait Islander Peoples for the places to which they belong
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K03,"The interconnections between Aboriginal and Torres Strait Islander Peoples and Country and Place, and the importance of Country and Place",,"Recognising that some Aboriginal and Torres Strait Islander Peoples have special connections to many Countries and Places through marriage, birth, parents, residence and chosen or forced movement, and that they can identify with more than one Country"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K03,"The interconnections between Aboriginal and Torres Strait Islander Peoples and Country and Place, and the importance of Country and Place",,"Describing the connections that local Aboriginal and Torres Strait Islander Peoples have with the land, sea, sky and animals of their Country and Place"
Foundation to Level 2,Geographical Knowledge and Understanding,Places and our connections to them,VC2HG2K03,"The interconnections between Aboriginal and Torres Strait Islander Peoples and Country and Place, and the importance of Country and Place",,"Inviting members of the Traditional Owner group to talk about their Country and Place and places of cultural and historical significance to their community, and discussing why and when Acknowledgement of Country and Welcome to Country are used at ceremonies and events"
