Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K01,How places and environments are changed and managed by people,,"Describing how decisions that affect the characteristics of their place are made, for example decisions about the location of new developments or the zoning of land use"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K01,How places and environments are changed and managed by people,,"Describing how places and environments are changed by people, for example through urbanisation or land protection"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K02,The impacts of the interconnections between places on their characteristics,,"Debating which countries in the world have the closest relationships with Australia, and the impacts of these relationships on places"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K02,The impacts of the interconnections between places on their characteristics,,"Discussing the impacts of interconnections between their place and other places, both within Australia and overseas, and the impacts these have on the characteristics of place"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K03,"The specific geographical and other characteristics that shape their place, how their place is changing and how change is managed",,"Investigating the influence of the environment (e.g. landforms, climate or water resources), relative location and interconnections between their place and other places (e.g. through employment, trade, services, migration or tourism) and the impacts these have on the characteristics of their place"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K03,"The specific geographical and other characteristics that shape their place, how their place is changing and how change is managed",,"Exploring how decisions that affect the characteristics of their place are made, for example the approval of new developments or the zoning of land use"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K03,"The specific geographical and other characteristics that shape their place, how their place is changing and how change is managed",,"Investigating a current local planning issue (such as the redevelopment of a site, construction of a new road or protection of a unique environment), exploring why people have different views on the issue and developing a class response to the issue"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Identifying positive and negative impacts of people on places in other countries, including countries in Asia, Europe and North America"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Debating natural threats to the economic and social sustainability of places, such as floods, drought and extreme weather events such as heatwaves and weather conditions that trigger thunderstorm asthma"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Debating human threats to the economic and social sustainability of places, including outmigration, loss of an industry, loss of services and facilities, rapid population growth, environmental pollution and new roads"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,Understanding the meaning of custodial responsibility for Aboriginal and Torres Strait Islander Peoples
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Identifying how Aboriginal and Torres Strait Islander Peoples altered the environment and sustained ways of living through their methods of land and resource management, for example firestick farming"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Investigating how the relationship between Aboriginal and Torres Strait Islander Peoples and their Country and Place underpins practices that ensure sustainable resource use, such as prohibiting hunting and burning in specific areas and at specific times; prohibiting catching animals when they are breeding; prohibiting harvesting plants that are seeding; controlled burning; and planned mobility to allow plant and animal resources to regenerate"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Recognising the extensive knowledge that Aboriginal and Torres Strait Islander Peoples have about plant and animal resources, seasons and water supplies that enable them to use sustainable practices effectively, and the ways in which this knowledge is passed from generation to generation"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K04,"The importance of sustainability to places and environments, including the custodial responsibility Aboriginal and Torres Strait Islander Peoples have for Country and Place and how it influences their sustainability practices",,"Exploring examples of positive influences people have on the characteristics of places, for example through reforestation, landcare groups, and rehabilitating former mining, industrial or waste disposal sites"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K05,"The impacts of bushfires and other climate hazards on environments and communities, and how people and communities manage prevention, preparedness, response and recovery",,"Mapping and explaining the location, frequency and severity of bushfires, floods, droughts or cyclones"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K05,"The impacts of bushfires and other climate hazards on environments and communities, and how people and communities manage prevention, preparedness, response and recovery",,"Examining the economic, social and environmental costs of bushfires, floods, droughts or cyclones"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K05,"The impacts of bushfires and other climate hazards on environments and communities, and how people and communities manage prevention, preparedness, response and recovery",,"Researching how applying the principles of prevention, preparedness, response and recovery can minimise the harmful impacts of bushfires, floods, droughts and cyclones"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K06,"The main characteristics of the geography of the continents of the world, the locations of their major countries and the interconnections between Australia and these countries",,"Using maps or geospatial tools such as Google Earth or National Geographic’s Mapmaker tool to identify the main geographical characteristics of the world’s continents, for example major rivers, climates, vegetation, population density and location of languages and religions"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K06,"The main characteristics of the geography of the continents of the world, the locations of their major countries and the interconnections between Australia and these countries",,Identifying the major countries of one continent and using printed or electronic maps to identify their locations in relation to Australia
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K06,"The main characteristics of the geography of the continents of the world, the locations of their major countries and the interconnections between Australia and these countries",,"Identifying the countries that have the closest interconnections with Australia in migration, trade, tourism, aid, education, defence or culture, and examining the impacts of at least one of these on their own place"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K07,"The geographical diversity of the Asia-Pacific region, the location of its major countries and the interconnections between these countries and Australia",,"Using maps to identify the main geographical characteristics of the Asia-Pacific region (defined as South, South-East and East Asia, the Pacific Islands and New Zealand), for example major rivers, climates, vegetation, population density and location of languages and religions"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K07,"The geographical diversity of the Asia-Pacific region, the location of its major countries and the interconnections between these countries and Australia",,Identifying the major countries of the Asia-Pacific region and using maps or geospatial tools such as Google Earth or National Geographic’s Mapmaker tool to identify their location
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K07,"The geographical diversity of the Asia-Pacific region, the location of its major countries and the interconnections between these countries and Australia",,"Describing the absolute location of places in countries of the Asia-Pacific region, using latitude and longitude"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K07,"The geographical diversity of the Asia-Pacific region, the location of its major countries and the interconnections between these countries and Australia",,"Exploring the diversity of environments and types of settlement in the Asia region, in part of the region, or in a country in North-East, South-East or South Asia, or the Pacific, and discussing any patterns"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K07,"The geographical diversity of the Asia-Pacific region, the location of its major countries and the interconnections between these countries and Australia",,Investigating the differences in the population size and life expectancy of people in different Asia-Pacific countries
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K07,"The geographical diversity of the Asia-Pacific region, the location of its major countries and the interconnections between these countries and Australia",,"Researching the proportion of the Australian population and of the population from their local area who were born in each world cultural region, using data from the Australian Bureau of Statistics, and then comparing aspects of selected cultures"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K08,"Interconnections and differences in the economic, demographic, social and cultural characteristics of countries across the world",,"Classifying countries by their per capita income and comparing people’s lives in places with different levels of income, through categories such as health, energy consumption, education levels and access to clean air"
Levels 5 and 6,Geographical Knowledge and Understanding,Management of places,VC2HG6K08,"Interconnections and differences in the economic, demographic, social and cultural characteristics of countries across the world",,"Discussing the differences between countries in rates of population growth or decline, health (as measured by life expectancy) and energy consumption, and investigating how these have changed over time"
