Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation,Dance,"By the end of Foundation, students describe experiences, observations, ideas and feelings about the dances they encounter at school, home and in the community, identifying what they enjoy and why.",Exploring,"about,community,dances,describe,encounter,enjoy,experiences,feelings,foundation,home,ideas,identifying,observations,school,students,what",VC2ADAFE01,High
Foundation,Dance,Students develop an understanding of ways their body can move.,Exploring,"body,develop,move,students,understanding,ways","VC2ADAFE02,VC2ADAFD01,VC2ADAFC01",High
Foundation,Dance,"Students use play, imagination, experimentation and selected dance elements to create dances.",Creating,"create,dance,dances,elements,experimentation,imagination,play,selected,students","VC2ADAFE02,VC2ADAFD01,VC2ADAFC01",High
Foundation,Dance,Students make and share dances.,Presenting,"dances,make,share,students","VC2ADAFC01,VC2ADAFP01",High
Levels 1 and 2,Dance,"By the end of Level 2, students identify where they experience dance.",Exploring,"dance,experience,identify,level,students,where",VC2ADA2E01,High
Levels 1 and 2,Dance,"Students describe where, why and how people across cultures, communities and other contexts experience dance.",Exploring,"across,communities,contexts,cultures,dance,describe,experience,other,people,students,where",VC2ADA2E01,High
Levels 1 and 2,Dance,Students demonstrate expressive and performance skills and the elements of dance to improvise and create dance sequences.,Presenting,"create,dance,demonstrate,elements,expressive,improvise,performance,sequences,skills,students","VC2ADA2D01,VC2ADA2C01",High
Levels 1 and 2,Dance,Students present their work to audiences in informal settings.,Presenting,"audiences,informal,present,settings,students,work",VC2ADA2P01,High
Levels 3 and 4,Dance,"By the end of Level 4, students identify and describe how they use movement to create and/or make dances.",Creating,"and/or,create,dances,describe,identify,level,make,movement,students","VC2ADA4D01,VC2ADA4C01",High
Levels 3 and 4,Dance,"Students recall and describe where, when, why and how dance is created and presented across cultures, times, places and other contexts including the work of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,across,contexts,created,cultures,dance,describe,including,islander,other,peoples,places,presented,recall,strait,students,times,torres,when,where,work","VC2ADA4E01,VC2ADA4E02",High
Levels 3 and 4,Dance,Students experiment with the elements of dance when devising dances or learning dances by other artists.,Creating,"artists,dance,dances,devising,elements,experiment,learning,other,students,when","VC2ADA4D01,VC2ADA4C01",High
Levels 3 and 4,Dance,"They apply safe dance practices, and use the elements of dance and a range of movements to communicate ideas, perspectives and meanings.",Developing Practices,"apply,communicate,dance,elements,ideas,meanings,movements,perspectives,practices,range,safe","VC2ADA4D01,VC2ADA4C01",High
Levels 3 and 4,Dance,Students present and share their dance work in informal and formal settings to different audiences.,Presenting,"audiences,dance,different,formal,informal,present,settings,share,students,work",VC2ADA4P01,High
Levels 5 and 6,Dance,"By the end of Level 6, students explore the elements of dance, dance movement and structures, and explain how they are used in creating and learning dances.",Creating,"creating,dance,dances,elements,explain,explore,learning,level,movement,structures,students,used","VC2ADA6E01,VC2ADA6D01,VC2ADA6C01",High
Levels 5 and 6,Dance,"Students describe how dance is created and presented across different cultures and contexts to communicate ideas, perspectives and meaning.",Presenting,"across,communicate,contexts,created,cultures,dance,describe,different,ideas,meaning,perspectives,presented,students","VC2ADA6C01,VC2ADA6P01",High
Levels 5 and 6,Dance,"They identify how dance is used to continue and revitalise cultures, including the works of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,continue,cultures,dance,identify,including,islander,peoples,revitalise,strait,torres,used,works","VC2ADA6E01,VC2ADA6E02",High
Levels 5 and 6,Dance,Students document their ideas and understanding of how the elements of dance are used to create dances.,Creating,"create,dance,dances,document,elements,ideas,students,understanding,used",VC2ADA6C01,High
Levels 5 and 6,Dance,"They work individually and collaboratively to create dance works, using the elements of dance, choreographic processes and safe dance practice.",Creating,"choreographic,collaboratively,create,dance,elements,individually,practice,processes,safe,using,work,works","VC2ADA6D01,VC2ADA6C01",High
Levels 5 and 6,Dance,"They present their dance works in informal and formal settings, identifying different audiences.",Presenting,"audiences,dance,different,formal,identifying,informal,present,settings,works",VC2ADA6P01,High
Levels 7 and 8,Dance,"By the end of Level 8, students analyse how the elements of dance and production elements are manipulated to create dance works.",Creating,"analyse,create,dance,elements,level,manipulated,production,students,works","VC2ADA8E01,VC2ADA8E02,VC2ADA8D01,VC2ADA8D02,VC2ADA8C01,VC2ADA8C02",High
Levels 7 and 8,Dance,"Students describe ways dance works from a range of styles and across cultures, times, places and other contexts communicate ideas, perspectives and meaning, including the works of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,across,communicate,contexts,cultures,dance,describe,ideas,including,islander,meaning,other,peoples,perspectives,places,range,strait,students,styles,times,torres,ways,works","VC2ADA8E01,VC2ADA8E02,VC2ADA8D02",High
Levels 7 and 8,Dance,"They identify and describe how and why respectful approaches are used in creating, recreating and responding to dance works.",Exploring,"approaches,creating,dance,describe,identify,recreating,respectful,responding,used,works","VC2ADA8E01,VC2ADA8E02,VC2ADA8D02",High
Levels 7 and 8,Dance,"Students select, apply and demonstrate an understanding of styles and techniques in dance.",Developing Practices,"apply,dance,demonstrate,select,students,styles,techniques,understanding","VC2ADA8D01,VC2ADA8D02,VC2ADA8C01,VC2ADA8C02",High
Levels 7 and 8,Dance,Students document and reflect on their dance practice using dance terminology.,Developing Practices,"dance,document,practice,reflect,students,terminology,using",VC2ADA8D02,High
Levels 7 and 8,Dance,"Students manipulate the elements of dance, drawing on safe dance practices to create works that communicate ideas, viewpoints and meaning.",Creating,"communicate,create,dance,drawing,elements,ideas,manipulate,meaning,practices,safe,students,viewpoints,works","VC2ADA8D01,VC2ADA8D02,VC2ADA8C01,VC2ADA8C02",High
Levels 7 and 8,Dance,"They plan, rehearse and present their dance works to a range of audiences in both formal and informal settings.",Presenting,"audiences,dance,formal,informal,plan,present,range,rehearse,settings,works","VC2ADA8D02,VC2ADA8C01,VC2ADA8C02,VC2ADA8P01",High
Levels 9 and 10,Dance,"By the end of Level 10, students analyse and evaluate how the elements of dance, choreographic devices and style-specific techniques are manipulated in dance they create and present to audiences and in works they experience.",Presenting,"analyse,audiences,choreographic,create,dance,devices,elements,evaluate,experience,level,manipulated,present,students,style-specific,techniques,works","VC2ADA10E01,VC2ADA10D02",High
Levels 9 and 10,Dance,They evaluate how and why choreographers across contexts and cultures present and challenge ideas and meaning through dance.,Presenting,"across,challenge,choreographers,contexts,cultures,dance,evaluate,ideas,meaning,present","VC2ADA10E01,VC2ADA10E02,VC2ADA10D02",High
Levels 9 and 10,Dance,"They evaluate how dance is used to celebrate and challenge perspectives in relation to Australian identity, including the dances of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,australian,celebrate,challenge,dance,dances,evaluate,identity,including,islander,peoples,perspectives,relation,strait,torres,used","VC2ADA10E01,VC2ADA10E02,VC2ADA10D02",High
Levels 9 and 10,Dance,"Students work individually and collaboratively to create dances that communicate ideas, perspectives and meaning.",Creating,"collaboratively,communicate,create,dances,ideas,individually,meaning,perspectives,students,work","VC2ADA10D01,VC2ADA10D02,VC2ADA10C01,VC2ADA10C02,VC2ADA10P01",High
Levels 9 and 10,Dance,"They document, reflect on, analyse and evaluate their own and others’ work using relevant dance terminology.",Exploring,"analyse,dance,document,evaluate,others’,reflect,relevant,terminology,using,work","VC2ADA10D01,VC2ADA10D02,VC2ADA10C01,VC2ADA10C02",High
Levels 9 and 10,Dance,They use production elements to enhance their dance making in both devised and learnt dance works.,Creating,"dance,devised,elements,enhance,learnt,making,production,works","VC2ADA10D02,VC2ADA10C02,VC2ADA10P01",High
Levels 9 and 10,Dance,"Students select and manipulate the elements of dance, style-specific techniques and choreographic devices to structure dances for audiences, adhering to safe dance practices.",Presenting,"adhering,audiences,choreographic,dance,dances,devices,elements,manipulate,practices,safe,select,structure,students,style-specific,techniques","VC2ADA10D01,VC2ADA10D02,VC2ADA10C01,VC2ADA10P01",High
Levels 9 and 10,Dance,"Students plan, rehearse, refine, present and perform dances to a range of audiences in a range of settings, both informal and formal.",Presenting,"audiences,dances,formal,informal,perform,plan,present,range,refine,rehearse,settings,students","VC2ADA10D01,VC2ADA10D02,VC2ADA10C01,VC2ADA10P01",High
