Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 7 and 8,Exploring,,VC2ADA8E01,"Investigate ways the elements of dance and the conventions of dance styles are used to communicate ideas, perspectives and meaning in dances created and performed across contexts and cultures",,"Using viewpoint questions, such as ‘What was the choreographer’s intention for this dance?’ and ‘What ideas did you think the dance expressed?’, to explore a range of contexts for dance"
Levels 7 and 8,Exploring,,VC2ADA8E01,"Investigate ways the elements of dance and the conventions of dance styles are used to communicate ideas, perspectives and meaning in dances created and performed across contexts and cultures",,"Exploring the development of dance styles in different artistic, social, environmental, historical or cultural contexts; for example, identifying the distinguishing stylistic features of hip-hop, jazz, ballet or Indian classical dance and considering how these can inform their own choreography"
Levels 7 and 8,Exploring,,VC2ADA8E01,"Investigate ways the elements of dance and the conventions of dance styles are used to communicate ideas, perspectives and meaning in dances created and performed across contexts and cultures",,Comparing the use of one or more elements of dance from a range of styles
Levels 7 and 8,Exploring,,VC2ADA8E01,"Investigate ways the elements of dance and the conventions of dance styles are used to communicate ideas, perspectives and meaning in dances created and performed across contexts and cultures",,"Investigating the development of dance styles in different artistic, social, environmental, historical or cultural contexts; for example, identifying the distinguishing stylistic features of dances in a range of styles or from a range of times or places, and considering how these can inform their choreography"
Levels 7 and 8,Exploring,,VC2ADA8E01,"Investigate ways the elements of dance and the conventions of dance styles are used to communicate ideas, perspectives and meaning in dances created and performed across contexts and cultures",,"Investigating how digital tools are influencing choreography, performance or the use of production elements"
Levels 7 and 8,Exploring,,VC2ADA8E02,Explore the diversity of dances created and/or performed by Aboriginal and Torres Strait Islander artists and consider culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,"Using viewpoint questions, such as ‘How does understanding of culture or community help to understand a dance work?’, ‘What do I know about the cultural context for this dance?’, ‘What do I want to know?’ and ‘What do I need to know?’"
Levels 7 and 8,Exploring,,VC2ADA8E02,Explore the diversity of dances created and/or performed by Aboriginal and Torres Strait Islander artists and consider culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,Using and annotating a map of Aboriginal and Torres Strait Islander Peoples’ language groups to identify where choreographers and performers are working and making dance
Levels 7 and 8,Exploring,,VC2ADA8E02,Explore the diversity of dances created and/or performed by Aboriginal and Torres Strait Islander artists and consider culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,Working with a community Elder to learn about what dances have been made in their local area
Levels 7 and 8,Exploring,,VC2ADA8E02,Explore the diversity of dances created and/or performed by Aboriginal and Torres Strait Islander artists and consider culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,Investigating information about Indigenous Cultural and Intellectual Property rights to help dance practitioners understand how to make ethical choices when referencing or drawing on Aboriginal and Torres Strait Islander dance works
Levels 7 and 8,Developing Practices,,VC2ADA8D01,"Develop and refine the use of the elements of dance, choreographic processes, physical and expressive skills, and safe dance practices",,"Developing physical dance skills and style-specific techniques; for example, experimenting to extend their own movement vocabulary using movements and techniques from diverse dance styles such as jazz, contemporary, ballet, tap, street dance, lyrical dance, hip-hop or cultural dance"
Levels 7 and 8,Developing Practices,,VC2ADA8D01,"Develop and refine the use of the elements of dance, choreographic processes, physical and expressive skills, and safe dance practices",,"Exploring how expressive skills can be used to communicate ideas; for example, using gesture or facial expression to communicate emotions in dance"
Levels 7 and 8,Developing Practices,,VC2ADA8D01,"Develop and refine the use of the elements of dance, choreographic processes, physical and expressive skills, and safe dance practices",,"Selecting and extending physical skills such as control, coordination, balance, flexibility, strength, endurance and articulation when moving"
Levels 7 and 8,Developing Practices,,VC2ADA8D01,"Develop and refine the use of the elements of dance, choreographic processes, physical and expressive skills, and safe dance practices",,Using choreographic processes such as improvisation and selection of movements to develop dance works
Levels 7 and 8,Developing Practices,,VC2ADA8D01,"Develop and refine the use of the elements of dance, choreographic processes, physical and expressive skills, and safe dance practices",,"Developing the habit of always using safe dance practice; for example, warming up their bodies before executing more complex movement patterns in dance sequences and cooling down afterwards, removing socks if the floor surface is slippery and being aware of space and proximity"
Levels 7 and 8,Developing Practices,,VC2ADA8D02,"Reflect on, analyse and document their own and others’ dance works to inform decisions they make in relation to choreographic choices",,"Reflecting on how they have used or extended their movement vocabulary within a particular dance, asking questions such as ‘What new movements have I used?’, ‘Why have I used them?’ and ‘What meaning do these new movements have?’"
Levels 7 and 8,Developing Practices,,VC2ADA8D02,"Reflect on, analyse and document their own and others’ dance works to inform decisions they make in relation to choreographic choices",,Watching dance works by professional dancers (either live or as a digital recording) and analysing aspects of the work
Levels 7 and 8,Developing Practices,,VC2ADA8D02,"Reflect on, analyse and document their own and others’ dance works to inform decisions they make in relation to choreographic choices",,"Documenting and analysing influences on their own choreography through written, pictorial or digital journals, using movement and dance terminology"
Levels 7 and 8,Developing Practices,,VC2ADA8D02,"Reflect on, analyse and document their own and others’ dance works to inform decisions they make in relation to choreographic choices",,"Analysing a dance they or someone else created, focusing on how the elements of dance, performance and expressive skills, and choreographic processes were used"
Levels 7 and 8,Developing Practices,,VC2ADA8D02,"Reflect on, analyse and document their own and others’ dance works to inform decisions they make in relation to choreographic choices",,Reflecting on feedback from peers who have observed a workshop or a rehearsal of their work and considering how they could incorporate that feedback into the development of a dance work
Levels 7 and 8,Creating,,VC2ADA8C01,"Apply and refine physical and expressive skills to interpret style-specific dances, to devise their own dances, and to communicate ideas, perspectives and meaning",,Creating a dance sequence that uses style-specific techniques and refining the techniques after peer feedback
Levels 7 and 8,Creating,,VC2ADA8C01,"Apply and refine physical and expressive skills to interpret style-specific dances, to devise their own dances, and to communicate ideas, perspectives and meaning",,"Experimenting with ways to use choreographic processes, such as improvisation and refining to represent a theme, for example social relationships, a moment of conflict or the future"
Levels 7 and 8,Creating,,VC2ADA8C01,"Apply and refine physical and expressive skills to interpret style-specific dances, to devise their own dances, and to communicate ideas, perspectives and meaning",,Creating a dance that communicates personal ideas and perspectives about a particular theme using the elements of dance and demonstrates aspects of choreographic devices
Levels 7 and 8,Creating,,VC2ADA8C01,"Apply and refine physical and expressive skills to interpret style-specific dances, to devise their own dances, and to communicate ideas, perspectives and meaning",,Creating a dance that responds to a selected piece of music/sound and documenting why the music/sound was selected
Levels 7 and 8,Creating,,VC2ADA8C01,"Apply and refine physical and expressive skills to interpret style-specific dances, to devise their own dances, and to communicate ideas, perspectives and meaning",,"Analysing and evaluating a dance by documenting the process through journals, blogs, or video or audio recordings, securing permission where appropriate"
Levels 7 and 8,Creating,,VC2ADA8C02,Apply production elements to dances to enhance meaning in dance,,"Applying production elements such as costume, make-up, set, props, lighting and sound to portray a character in a dance"
Levels 7 and 8,Creating,,VC2ADA8C02,Apply production elements to dances to enhance meaning in dance,,Applying production elements to a newly created dance to enhance the meaning and intention
Levels 7 and 8,Presenting,,VC2ADA8P01,"Rehearse, refine, present and perform dances for audiences using physical and expressive skills and techniques relevant to dance styles",,Planning actively for rehearsals by documenting the rehearsal process in collaboration with a teacher and peers
Levels 7 and 8,Presenting,,VC2ADA8P01,"Rehearse, refine, present and perform dances for audiences using physical and expressive skills and techniques relevant to dance styles",,"Using rehearsal processes to practise in order to build confidence, clarity of movement and readiness to present"
Levels 7 and 8,Presenting,,VC2ADA8P01,"Rehearse, refine, present and perform dances for audiences using physical and expressive skills and techniques relevant to dance styles",,"Using production elements such as costume, projection, soundscape, music, special effects or voice overs to share key ideas or information about the creative intention of the dance with the audience"
Levels 7 and 8,Presenting,,VC2ADA8P01,"Rehearse, refine, present and perform dances for audiences using physical and expressive skills and techniques relevant to dance styles",,"Introducing and describing a dance to an audience, for example in a program note or voice over"
Levels 7 and 8,Presenting,,VC2ADA8P01,"Rehearse, refine, present and perform dances for audiences using physical and expressive skills and techniques relevant to dance styles",,"Demonstrating safe dance practices throughout their presentation, including warm-up and cool-down, and awareness of space and surfaces"
