Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation to Level 2,VC2TDE2S01,VCDSTS013,Identify how people create familiar designed solutions and consider sustainability to meet personal and local community needs,Refined,"Refined for clarity, and removed command term to follow on from the content description stem used for knowledge-based content descriptions (‘Students learn about:’)"
Foundation to Level 2,VC2TDE2S01,VCDSTS013,Identify how people create familiar designed solutions and consider sustainability to meet personal and local community needs,Refined,"Refined for clarity, and removed command term to follow on from the content description stem used for knowledge-based content descriptions (‘Students learn about:’)"
Foundation to Level 2,VC2TDE2C01,VCDSTC014,Explore how technologies use forces to create movement in designed solutions,Refined,Refined
Foundation to Level 2,VC2TDE2C02,VCDSTC015,"Explore how plants and animals are grown for food, clothing and shelter",Refined,No change
Foundation to Level 2,VC2TDE2C03,VCDSTC016,Explore how food is selected and prepared for healthy eating,Refined,Refined
Foundation to Level 2,VC2TDE2C04,VCDSTC017,Explore the characteristics and properties of materials and components that are used to create designed solutions,Refined,No change
Foundation to Level 2,VC2TDE2D01,VCDSCD018,"Explore needs or opportunities for designing, and the technologies needed to realise designed solutions",Refined,Refined for clarity
Foundation to Level 2,VC2TDE2D02,VCDSCD019,"Visualise, generate, and communicate design ideas through describing, drawing and modelling",Refined,Refined for clarity
Foundation to Level 2,VC2TDE2D03,VCDSCD020,"Use materials, components, tools, equipment and techniques to produce designed solutions safely",Refined,Refined for clarity
Foundation to Level 2,VC2TDE2D04,VCDSCD021,"Use personal preferences to evaluate the success of design ideas, processes and solutions including their care for environment",Refined,Refined for clarity
Foundation to Level 2,VC2TDE2D05,VCDSCD022,Sequence steps for making designed solutions,Refined,Refined for clarity
Levels 3 and 4,VC2TDE4S01,VCDSTS023,"Recognise the role of people in design and technologies occupations and explore factors, including sustainability, that impact on the design of solutions to meet community needs",Refined,Removed command term to follow on from the content description stem used for knowledge-based content descriptions (‘Students learn about:’)
Levels 3 and 4,VC2TDE4C01,VCDSTC024,Investigate how forces and the properties of materials affect the behaviour of a designed solution,Refined,Refined for clarity and to show progression
Levels 3 and 4,VC2TDE4C02,VCDSTC025,Investigate food and fibre production used in modern or traditional societies,Refined,Refined for clarity
Levels 3 and 4,VC2TDE4C03,VCDSTC026,Investigate food preparation techniques used in modern or traditional societies,Refined,Refined for clarity
Levels 3 and 4,VC2TDE4C04,VCDSTC027,"Investigate the suitability of materials, systems, components, tools and equipment for a range of purposes",Refined,Refined for clarity
