Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Investigating how Aboriginal and Torres Strait Islander Peoples have long understood their dependence on living systems to meet their local and community needs, for example investigating the cultural artefacts of the Wurundjeri People in the sustainable making of woven baskets from grass fibres, or investigating the complex system of eel traps engineered by the Gunditjmara People"
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Exploring how particular services meet different needs of people in communities, for example describing why doctors provide medical care to people in many ways including by phone, videoconference, visiting patients by plane or car and providing outdoor clinics, or describing different forms of public transport such as trains, buses, scooters and walking tracks"
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Asking questions about the design of a range of shelters provided for the public and how they meet the needs of people in communities, for example the structures of a school or local sportsground, or asking questions about how to improve accessibility in the local community such as at a shopping centre or school"
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Exploring how local delivery services meet different needs of people, for example describing how online shopping items arrive at a person’s home, or how gift packages can be sent to and from people who live in different locations"
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Exploring how local products are designed, for example brainstorming the materials and processes needed to create a costume for a school or community event, including using recycled clothing or components to minimise waste"
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Describing how community gardens, public swimming pools, parks, playgrounds and bike tracks are designed to improve the health of people"
Foundation to Level 2,Technologies and Society,,VC2TDE2S01,"How familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"Exploring how people come up with new ideas or modify existing designs, for example preventing water wastage when caring for plants, and minimising food spoilage or wastage at home"
Foundation to Level 2,Technologies Contexts,Engineering principles and systems,VC2TDE2C01,Explore how technologies affect movement in products and systems,,"Investigating, through play, Aboriginal and/or Torres Strait Islander Peoples’ traditional toys and how such toys are designed and made to produce movement, for example consulting with local community to construct a football with tightly bound recycled wool or felt to represent the ball used in marngrook (a football game traditionally played by some Aboriginal groups at gatherings and celebrations)"
Foundation to Level 2,Technologies Contexts,Engineering principles and systems,VC2TDE2C01,Explore how technologies affect movement in products and systems,,"Exploring how to manipulate materials using a range of tools and techniques to create movement, for example when constructing a toy boat that floats or a kite that flies"
Foundation to Level 2,Technologies Contexts,Engineering principles and systems,VC2TDE2C01,Explore how technologies affect movement in products and systems,,"Exploring a system such as a marionette, Indonesian wayang kulit shadow puppet or simple balloon-powered toy car to see that movement can be created by combining materials with forces"
Foundation to Level 2,Technologies Contexts,Engineering principles and systems,VC2TDE2C01,Explore how technologies affect movement in products and systems,,"Exploring systems used in the classroom or community for creatively dealing with problems and needs, for example storage systems for tools, traffic flow for drop-and-go zones, and the use of hoists and ramps to facilitate access"
Foundation to Level 2,Technologies Contexts,Engineering principles and systems,VC2TDE2C01,Explore how technologies affect movement in products and systems,,"Testing materials to see how they affect movement and speed, for example the movement of a wheeled toy on different surfaces such as timber, carpet, rubber and plastic"
Foundation to Level 2,Technologies Contexts,Food and fibre production,VC2TDE2C02,"Explore how plants and animals are grown for food, clothing and shelter",,"Investigating conservation and hunting practices for food of Aboriginal and/or Torres Strait Islander Peoples, for example how land is managed and taken care of to utilise natural resources such as murnong (yam daisy) on Wurundjeri Country (Melbourne region), or how natural landscapes have been used by the Gunditjmara People to hunt and acquire fish and other local food sources"
Foundation to Level 2,Technologies Contexts,Food and fibre production,VC2TDE2C02,"Explore how plants and animals are grown for food, clothing and shelter",,"Investigating where plants and animals are grown for food, clothing and shelter, for example citrus fruits or cotton (which is harvested and made into yarn and fabric for clothing in northern Victoria), and timber for building homes from plantation forests in Gippsland in south-eastern Victoria"
Foundation to Level 2,Technologies Contexts,Food and fibre production,VC2TDE2C02,"Explore how plants and animals are grown for food, clothing and shelter",,"Identifying which plants and animals can provide food or materials for clothing and shelter, for example looking at a range of household items and sorting them according to source (plant or animal)"
Foundation to Level 2,Technologies Contexts,Food and fibre production,VC2TDE2C02,"Explore how plants and animals are grown for food, clothing and shelter",,"Identifying products that can be designed and produced from plants and animals, for example food products, paper and wood products, fabrics and yarns"
Foundation to Level 2,Technologies Contexts,Food and fibre production,VC2TDE2C02,"Explore how plants and animals are grown for food, clothing and shelter",,"Considering a range of tools that can be used to grow plants for a purpose, and their suitability, for example naming and describing tools such as a spade and rake used to cultivate or mulch a home vegetable garden, or tools such as a seed spreader and a global positioning system tractor to sow wheat, or a tubestock planting tool and drones to manage forestry plantations"
Foundation to Level 2,Technologies Contexts,Food specialisations,VC2TDE2C03,Explore how food can be selected and prepared for healthy eating,,"Identifying a wide range of foods from their own cultural background/s, categorising them into the 5 food groups according to the Australian Guide to Healthy Eating or the Aboriginal and Torres Strait Islander Guide to Healthy Eating, and then discussing ways to eat a variety of food groups, including cooking methods and tools needed to prepare the foods for healthy eating"
Foundation to Level 2,Technologies Contexts,Food specialisations,VC2TDE2C03,Explore how food can be selected and prepared for healthy eating,,Examining foods that are native to Australia that have sustained Aboriginal and Torres Strait Islander Peoples for at least 65 000 years
Foundation to Level 2,Technologies Contexts,Food specialisations,VC2TDE2C03,Explore how food can be selected and prepared for healthy eating,,"Exploring the local supermarket to observe the variety of foods including those representing their cultural background/s, and also the placement of foods on shelves, in aisles and displays, and considering how supermarket design may influence the purchase of foods for healthy eating"
Foundation to Level 2,Technologies Contexts,Food specialisations,VC2TDE2C03,Explore how food can be selected and prepared for healthy eating,,"Exploring the influence of students’ cultural practices, and using locally available tools and different ways of preparing produce from the school kitchen garden, locally grown fresh food, and a source such as a farmers’ market or a supermarket, for example preparing vegetables for an Asian-style salad and identifying different colours of ingredients, or steaming or stir-frying vegetables and noticing the changes in flavour and texture"
Foundation to Level 2,Technologies Contexts,Food specialisations,VC2TDE2C03,Explore how food can be selected and prepared for healthy eating,,"Conducting a taste-testing session to explore different types of vegetables or fruits, and identifying different colours, textures, tastes and preferences"
Foundation to Level 2,Technologies Contexts,Materials and technologies specialisations,VC2TDE2C04,Explore the characteristics and properties of materials and components that are used to create designed solutions,,"Exploring designed solutions to meet individual, family and community needs with a focus on materials, for example fabrics used for sports clothing, impact-absorbing rubber for play spaces and materials used for drinking cups"
