Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 7 and 8,Technologies and Society,,VC2TDE8S01,"How people in design and technologies occupations consider ethical factors to design and produce products, services and environments",,"Researching current information on animal welfare when designing an animal shelter; or the significance of 3D printed design in the Victorian manufacturing industry; or intellectual property related to product design; or sustainable food packaging options, including biodegradable or compostable materials in the food industry; or sustainable materials, such as recycled or biodegradable materials, in the building or fashion industry"
Levels 7 and 8,Technologies and Society,,VC2TDE8S01,"How people in design and technologies occupations consider ethical factors to design and produce products, services and environments",,"Researching the rights and responsibilities of those working in design and technologies occupations, for example considering Aboriginal and/or Torres Strait Islander protocols and Indigenous Cultural and Intellectual Property rights"
Levels 7 and 8,Technologies and Society,,VC2TDE8S01,"How people in design and technologies occupations consider ethical factors to design and produce products, services and environments",,"Investigating ways designers demonstrate social responsibility throughout a supply chain, for example fair labour practices, safe working conditions and respecting human rights, and discussing the social impact of the work"
Levels 7 and 8,Technologies and Society,,VC2TDE8S01,"How people in design and technologies occupations consider ethical factors to design and produce products, services and environments",,"Investigating traditional and contemporary design and technologies, and predicting how these might change or be sustained in the future in response to technological, environmental, social or economic change, for example the production of contemporary textile designs by Ngali or Paul McCann"
Levels 7 and 8,Technologies and Society,,VC2TDE8S01,"How people in design and technologies occupations consider ethical factors to design and produce products, services and environments",,"Comparing the design and production of products, services and environments in Australia to other countries by identifying needs and opportunities for design and enterprise, for example design, promotion and marketing of murnong (yam daisy) as a sustainable starchy vegetable for culinary and domestic use on Gunaikurnai Country (Gippsland in south-eastern Victoria) and Yuin Country (south coast of New South Wales and far south-eastern coastal Victoria)"
Levels 7 and 8,Technologies and Society,,VC2TDE8S01,"How people in design and technologies occupations consider ethical factors to design and produce products, services and environments",,"Analysing ethical and social requirements when designing solutions for cultural groups, including their involvement and consultation, for example designing a solution with community members from other cultural backgrounds or those who usually communicate in a language other than English"
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,"Investigating biomimicry influences on the design and development of manufactured products and processes, for example how air vents were inspired by the efficient airflow in structures such as termite mounds, and how the roof of the Margaret Court Arena in Melbourne imitates the way a sunflower opens and closes, helping with natural light and ventilation as weather changes"
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,"Investigating techniques used by land managers for managing and reducing bushfires in forests, for example cool burning techniques used by Victorian Aboriginal communities or use of smart technologies such as Internet of Things (IoT) sensors, artificial intelligence, cameras and drones"
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,"Investigating traditional, contemporary and emerging design and technologies, and the need for more sustainable patterns of living, and predicting how these might change in the future in response to technological, environmental, social or economic changes, for example the diversity of house design, energy-efficient solutions in housing such as smart thermostats, energy-monitoring systems and renewable energy sources, waste management practices, traditional food preservation techniques such as fermenting and drying, and the future of transportation considering the rise of electric vehicles, autonomous technologies and shared mobility systems"
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,"Investigating influences affecting manufactured products and processes, for example historical developments such as invention of plastics in the early 20th century, establishment of international standards like the International Organization for Standardization (which develops voluntary standards to ensure quality, safety and efficiency in the manufacturing industry), increased awareness of environmental issues and the need for sustainable manufacturing practices or new materials, or establishment of accessibility guidelines to ensure equal access and usability in product design, services and environments for people with disability"
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,"Examining influences affecting designed solutions, for example how societal change has resulted in a shift in consumer preferences for eco-friendly products, use of new materials (e.g. graphene, self-healing materials, aerogels and shape memory alloys), the impact of accessibility guidelines on the integration of universal design principles, inclusive features and assistive technologies into products, services and environments, or how control systems such as the exploration of the use of robotics, machine learning or Internet of Things (IoT) systems have enhanced production efficiency, quality control and customisation capabilities"
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,Researching contemporary designers who use new materials to design and produce innovative products such as the origami-inspired Kami compact furniture
Levels 7 and 8,Technologies and Society,,VC2TDE8S02,The impacts of innovation and the development of technologies on designed solutions for ethical considerations including sustainable living,,"Considering factors that impact on innovation such as developing original or novel ideas, adapting swiftly to change, establishing a unique selling point, creating societal value, reducing costs and enhancing efficiency, for example the denim upcycling company Nobody Denim"
Levels 7 and 8,Technologies Contexts,Engineering principles and systems,VC2TDE8C01,"Analyse how force, motion and energy are used to manipulate and control engineered systems that are ethical",,"Analysing how wind turbines harness the motion of propellers to transform wind energy into electricity, and how this energy is used to sustainably power communities classified as remote, such as the BayWa r.e. wind power and solar farm on Millewa–Mallee Country (near Mildura in north-western Victoria)"
Levels 7 and 8,Technologies Contexts,Engineering principles and systems,VC2TDE8C01,"Analyse how force, motion and energy are used to manipulate and control engineered systems that are ethical",,"Investigating the technologies in a control system for an identified need or opportunity and end user, for example the Corriong or Millowl (Phillip Island in Victoria) penguin weighbridge, which enables collection of data about penguin weight and foraging duration"
Levels 7 and 8,Technologies Contexts,Engineering principles and systems,VC2TDE8C01,"Analyse how force, motion and energy are used to manipulate and control engineered systems that are ethical",,"Experimenting to select the most appropriate principles and systems on which to base design ideas, for example testing structural components for strength, and testing functionality of an idea by producing prototypes and jigs, including the use of rapid prototyping tools such as 3D printers"
Levels 7 and 8,Technologies Contexts,Engineering principles and systems,VC2TDE8C01,"Analyse how force, motion and energy are used to manipulate and control engineered systems that are ethical",,"Investigating an engineered system’s outputs, for example calculating speed, light brightness or sound volume to determine when the system might fail, or using control systems to understand motion, for example programming a microcontroller or an object-based programming application to control a system such as a remote-controlled car"
Levels 7 and 8,Technologies Contexts,Engineering principles and systems,VC2TDE8C01,"Analyse how force, motion and energy are used to manipulate and control engineered systems that are ethical",,"Investigating components and tools in terms of force, motion or energy, for example testing the durability of batteries and determining the effective range of wireless devices"
Levels 7 and 8,Technologies Contexts,Food and fibre production,VC2TDE8C02,Analyse how food and fibre are produced in managed environments and how these can become ethical,,"Analysing both traditional and contemporary approaches, including Aboriginal and/or Torres Strait Islander protocols and connection to Country and Place, for food and fibre sources of plants that offer benefits in sustainability such as conserving water and other resource use, supporting biodiversity and promoting resilience to local climatic conditions"
Levels 7 and 8,Technologies Contexts,Food and fibre production,VC2TDE8C02,Analyse how food and fibre are produced in managed environments and how these can become ethical,,Discussing the reasons for the development of the Victorian Traditional Owner Native Food and Botanicals Strategy
