Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation,Drama,"By the end of Foundation, students describe experiences, observations and feelings about the drama they encounter at school, home and in the community, identifying what they enjoy and why.",Exploring,"about,community,describe,drama,encounter,enjoy,experiences,feelings,foundation,home,identifying,observations,school,students,what",VC2ADRFE01,High
Foundation,Drama,They develop an understanding of characters and situations.,Creating,"characters,develop,situations,understanding","VC2ADRFE02,VC2ADAFD01,VC2ADAFC01",High
Foundation,Drama,"Students use play, imagination, experimentation and selected dramatic elements to create drama.",Creating,"create,drama,dramatic,elements,experimentation,imagination,play,selected,students","VC2ADRFE02,VC2ADRFD01,VC2ADRFC01",High
Foundation,Drama,They make and share drama.,Presenting,"drama,make,share","VC2ADRFC01,VC2ADRFP01",High
Levels 1 and 2,Drama,"By the end of Level 2, students identify where they experience drama.",Exploring,"drama,experience,identify,level,students,where",VC2ADR2E01,High
Levels 1 and 2,Drama,"Students describe where, why and how people across cultures, communities and other contexts experience drama.",Exploring,"across,communities,contexts,cultures,describe,drama,experience,other,people,students,where",VC2ADR2E01,High
Levels 1 and 2,Drama,Students use expressive and performance skills to create drama works.,Presenting,"create,drama,expressive,performance,skills,students,works","VC2ADR2D01,VC2ADR2C01",High
Levels 1 and 2,Drama,They use the elements of drama to improvise and create drama works.,Creating,"create,drama,elements,improvise,works","VC2ADR2D01,VC2ADR2C01",High
Levels 1 and 2,Drama,Students present their work to audiences in informal settings.,Presenting,"audiences,informal,present,settings,students,work",VC2ADR2P01,High
Levels 3 and 4,Drama,"By the end of Level 4, students identify and describe how expressive skills, performance skills and elements of drama are used to create, perform and experience drama works.",Presenting,"create,describe,drama,elements,experience,expressive,identify,level,perform,performance,skills,students,used,works","VC2ADR4E01,VC2ADR4D01,VC2ADR4C01",High
Levels 3 and 4,Drama,"They recall where, why and how drama is created and presented across cultures, times, places and other contexts, including the work of Aboriginal and Torres Strait Islander Peoples.",Presenting,"aboriginal,across,contexts,created,cultures,drama,including,islander,other,peoples,places,presented,recall,strait,times,torres,where,work","VC2ADR4E01,VC2ADR4E02",High
Levels 3 and 4,Drama,Students experiment with the elements of drama when devising drama or interpreting scripts.,Developing Practices,"devising,drama,elements,experiment,interpreting,scripts,students,when","VC2ADR4D01,VC2ADR4C01",High
Levels 3 and 4,Drama,They use the elements of drama and expressive and performance skills to create drama work using a range of forms to communicate ideas and meanings.,Presenting,"communicate,create,drama,elements,expressive,forms,ideas,meanings,performance,range,skills,using,work","VC2ADR4D01,VC2ADR4C01",High
Levels 3 and 4,Drama,They present and/or perform their work in informal and formal settings to different audiences.,Presenting,"and/or,audiences,different,formal,informal,perform,present,settings,work",VC2ADR4P01,High
Levels 5 and 6,Drama,"By the end of Level 6, students explore how the elements of drama and drama terminology are used in creating and presenting drama works.",Presenting,"creating,drama,elements,explore,level,presenting,students,terminology,used,works","VC2ADR6D01,VC2ADR6C01,VC2ADR6P01",High
Levels 5 and 6,Drama,"They describe how drama is created and presented across different cultures and contexts to communicate ideas, perspectives and meaning.",Presenting,"across,communicate,contexts,created,cultures,describe,different,drama,ideas,meaning,perspectives,presented","VC2ADR6P01,VC2ADR6E01,VC2ADR6D01",High
Levels 5 and 6,Drama,"Students identify how drama is used to continue and revitalise cultures, including the work of Aboriginal and Torres Strait Islander Peoples.",Developing Practices,"aboriginal,continue,cultures,drama,identify,including,islander,peoples,revitalise,strait,students,torres,used,work","VC2ADR6E01,VC2ADR6E02",High
Levels 5 and 6,Drama,They document their ideas and understanding of how the elements of drama are used to create drama works using drama terminology.,Creating,"create,document,drama,elements,ideas,terminology,understanding,used,using,works","VC2ADR6D01,VC2ADR6C01",High
Levels 5 and 6,Drama,"Students work collaboratively and individually to create drama using the elements of drama, expressive and performance skills, and improvisation, and devise and interpret scripts to develop an understanding of drama for different audiences.",Creating,"audiences,collaboratively,create,develop,devise,different,drama,elements,expressive,improvisation,individually,interpret,performance,scripts,skills,students,understanding,using,work","VC2ADR6D01,VC2ADR6C01",High
Levels 5 and 6,Drama,"They present and perform drama in informal and formal settings, identifying different audiences.",Presenting,"audiences,different,drama,formal,identifying,informal,perform,present,settings",VC2ADR6P01,High
Levels 7 and 8,Drama,"By the end of Level 8, students analyse how the elements of drama and conventions of different styles are manipulated to create drama works they make or experience.",Creating,"analyse,conventions,create,different,drama,elements,experience,level,make,manipulated,students,styles,works","VC2ADR8E01,VC2ADR8E02,VC2ADR8D02",High
Levels 7 and 8,Drama,"They describe ways in which elements of drama, expressive and performance skills, and design areas across cultures, times, places and other contexts communicate ideas, perspectives and meaning, including the works of Aboriginal and Torres Strait Islander Peoples.",Presenting,"aboriginal,across,areas,communicate,contexts,cultures,describe,design,drama,elements,expressive,ideas,including,islander,meaning,other,peoples,performance,perspectives,places,skills,strait,times,torres,ways,works","VC2ADR8E01,VC2ADR8E02,VC2ADR8D02,VC2ADR8C02",High
Levels 7 and 8,Drama,"Students describe how and why respectful approaches are used in creating, performing and/or responding to drama works.",Presenting,"and/or,approaches,creating,describe,drama,performing,respectful,responding,students,used,works","VC2ADR8E01,VC2ADR8E02,VC2ADR8D02",High
Levels 7 and 8,Drama,"Students select, apply and demonstrate an understanding of styles and forms when making drama and apply design areas to enhance drama practices.",Developing Practices,"apply,areas,demonstrate,design,drama,enhance,forms,making,practices,select,students,styles,understanding,when","VC2ADR8E01,VC2ADR8D01,VC2ADR8D02,VC2ADR8C01,VC2ADR8C02",High
Levels 7 and 8,Drama,Students document the processes of creating drama using drama terminology.,Developing Practices,"creating,document,drama,processes,students,terminology,using",VC2ADR8D02,High
Levels 7 and 8,Drama,"They manipulate the elements of drama and conventions, and apply design areas to create works that communicate ideas, perspectives and meaning.",Creating,"apply,areas,communicate,conventions,create,design,drama,elements,ideas,manipulate,meaning,perspectives,works","VC2ADR8D01,VC2ADR8D02,VC2ADR8C01,VC2ADR8C02,VC2ADR8P01",High
Levels 7 and 8,Drama,"They plan, rehearse and present their work to a range of audiences, demonstrating performance skills.",Presenting,"audiences,demonstrating,performance,plan,present,range,rehearse,skills,work","VC2ADR8D01,VC2ADR8C01,VC2ADR8C02,VC2ADR8P01",High
Levels 9 and 10,Drama,"By the end of Level 10, students analyse and evaluate how the elements of drama, expressive and performance skills, and conventions of styles are manipulated in drama they create, present and experience.",Presenting,"analyse,conventions,create,drama,elements,evaluate,experience,expressive,level,manipulated,performance,present,skills,students,styles","VC2ADR10E01,VC2ADR10D02",High
Levels 9 and 10,Drama,They evaluate how and why theatre-makers across contexts and cultures use drama to challenge ideas and make meaning.,Developing Practices,"across,challenge,contexts,cultures,drama,evaluate,ideas,make,meaning,theatre-makers","VC2ADR10D01,VC2ADR10D02,VC2ADR10E01",High
Levels 9 and 10,Drama,"Students evaluate how drama and theatre is used to celebrate and challenge perspectives in relation to Australian identity, including through the drama of Aboriginal and Torres Strait Islander Peoples.",Developing Practices,"aboriginal,australian,celebrate,challenge,drama,evaluate,identity,including,islander,peoples,perspectives,relation,strait,students,theatre,torres,used","VC2ADR10E01,VC2ADR10E02,VC2ADR10D02",High
Levels 9 and 10,Drama,They work individually and collaboratively to apply and manipulate the use of the elements of drama and theatre conventions to create dramatic meaning.,Creating,"apply,collaboratively,conventions,create,drama,dramatic,elements,individually,manipulate,meaning,theatre,work","VC2ADR10D01,VC2ADR10D02,VC2ADR10C01,VC2ADR10C022",High
Levels 9 and 10,Drama,"Students reflect on, analyse and document their own and others’ works using relevant drama terminology.",Exploring,"analyse,document,drama,others’,reflect,relevant,students,terminology,using,works","VC2ADR10E01,VC2ADR10E02,VC2ADR10D02,VC2ADR10P01",High
Levels 9 and 10,Drama,"Students use expressive and performance skills relevant to style and form to sustain belief, role and character in performances of improvised, devised and scripted drama.",Presenting,"belief,character,devised,drama,expressive,form,improvised,performance,performances,relevant,role,scripted,skills,students,style,sustain","VC2ADR10D01,VC2ADR10D02,VC2ADR10C01,VC2ADR10P01",High
Levels 9 and 10,Drama,They use design areas to inform their drama-making and shape their work.,Developing Practices,"areas,design,drama-making,inform,shape,work","VC2ADR10D01,VC2ADR10D02,VC2ADR10C01,VC2ADR10C02,VC2ADR10P01",High
Levels 9 and 10,Drama,"They plan, direct, produce, rehearse and present performances to audiences.",Presenting,"audiences,direct,performances,plan,present,produce,rehearse","VC2ADR10D01,VC2ADR10D02,VC2ADR10C01,VC2ADR10C02,VC2ADR10P01",High
