Subject,Term,Definition
Drama,Actor,"In drama, an actor is a performer whose role is to portray character(s) in a devised work or in the interpretation of a script. Actors use expressive and performance skills to establish character and to maintain and/or manipulate an actor--audience relationship."
Drama,Actor--audience relationship,"Actor--audience relationship is a performance skill in drama. In drama, actors present their work to audiences. In creating dramatic works, actors consider the intention of the drama, the playwright, the space in which the drama is being presented and the impact they wish to have on an audience. Actors work together to create a particular relationship with an audience, which can be established, maintained and manipulated through the use of expressive and performance skills and the application of design areas."
Drama,Aesthetic knowledge,"An understanding of how the conventions, materials and techniques of a drama work or theatre production work together to influence the mood or emotion. Aesthetic knowledge can contribute to creating visual, aural or physical appeal to evoke an emotional response from an audience. Aesthetic knowledge can also be related to the style and form of a drama or theatre work."
Drama,Artist,"A creative person involved in theatre-making, including actors, devisors, directors, dramaturgs, playwrights and designers of costumes, props, sets, lighting, sound, make-up and hair, and technologies."
Drama,Arts experience,"An experience that engages the senses. Drama and theatre can be experienced in person and/or digitally, for example by attending a performance in a theatre or other performance space, or by engaging with a digital recording of a performance."
Drama,Artwork,"An artwork is an outcome of an artist's practice. In drama, an artwork may be a completed product or a work in progress."
Drama,Audience(s),"Individuals or groups of people who experience drama and theatre presentations and performances in a range of settings and contexts (formal, informal, virtual or interactive) through intellectual, emotional and social engagement. Social and cultural factors, and the context of the creation and viewing of drama and theatre can all alter the way audiences view, engage, interpret and respond to drama works. C"
Drama,Character and relationships,"Character and relationships is an element of drama. In drama, this refers to the roles played by actors, and are created during devising or in a presentation or performance to an audience. Characters are inherent in scripts and plays from early theatre forms to contemporary theatre forms and are central to stories and storytelling. Students create character(s) in drama and consider their function, purpose, objective(s), motivation(s), status, and traits or qualities. When developing, creating and sustaining character, actors also consider the relationships of that character to self and others."
Drama,Climax,"Climax is an element of drama. In drama, climax can occur as the most significant moment of tension or conflict. There may be more than one climax in a drama."
Drama,Concept,"A thought, idea or notion related to a theoretical construct. A concept can be more complex than a general idea. A concept is generally the primary idea or influence behind a drama work and can contribute to the overall theme of a series of drama works. Conceptual drama works are often based on ideas and experiences with little representation of physical subject matter. The idea or concept behind the work is often more important than the finished work."
Drama,Conflict,"Conflict is an element of drama. In drama, conflict generally occurs when a character cannot achieve an objective or purpose due to an obstacle. The obstacle may be something within themselves, such as a feeling, or it may be external and between characters. It may also be between a character and their environment or greater situation. Conflict may be shown in a variety of ways, through physical or verbal means or through the use of design areas."
