Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Levels 5 and 6,Economics and Business,"By the end of Level 6, students classify economic resources and describe how economic scarcity necessitates economic decision-making.",Knowledge and Understanding,"classify,decision-making,describe,economic,level,necessitates,resources,scarcity,students","VC2HE6K01,VC2HE6S02,VC2HE6S07",High
Levels 5 and 6,Economics and Business,They explain both entrepreneurship and the importance of work to individuals and the community.,Knowledge and Understanding,"community,entrepreneurship,explain,importance,individuals,work","VC2HE6K03,VC2HE6K04,VC2HE6S01,VC2HE6S04,VC2HE6S07",High
Levels 5 and 6,Economics and Business,Students explain the different factors that influence consumer choice and outline strategies for informed personal economic decision-making.,Knowledge and Understanding,"choice,consumer,decision-making,different,economic,explain,factors,influence,informed,outline,personal,strategies,students","VC2HE6K01,VC2HE6K05,VC2HE6K06,VC2HE6S02,VC2HE6S03,VC2HE6S05",High
Levels 5 and 6,Economics and Business,Students explain what taxation is and the reasons why governments levy taxation.,Knowledge and Understanding,"explain,governments,levy,reasons,students,taxation,what","VC2HE6K02,VC2HE6S03,VC2HE6S07",High
Levels 5 and 6,Economics and Business,"They explain and are able to access services offered by financial institutions, and discuss the importance of keeping money safe and spending it wisely.",Knowledge and Understanding,"able,access,discuss,explain,financial,importance,institutions,keeping,money,offered,safe,services,spending,wisely","VC2HE6K07,VC2HE6S01,VC2HE6S02,VC2HE6S03,VC2HE6S04,VC2HE6S07",High
Levels 5 and 6,Economics and Business,"Students develop questions to investigate economics and business issues and systems, and they accurately locate, collect, organise and interpret data and information, and identify trends.",Knowledge and Understanding,"accurately,business,collect,data,develop,economics,identify,information,interpret,investigate,issues,locate,organise,questions,students,systems,trends","VC2HE6K01,VC2HE6K05,VC2HE6K06,VC2HE6K07,VC2HE6S01,VC2HE6S02,VC2HE6S03,VC2HE6S04",High
Levels 5 and 6,Economics and Business,Students develop evidence-based conclusions and propose appropriate responses to issues.,Skills,"appropriate,conclusions,develop,evidence-based,issues,propose,responses,students","VC2HE6K02,VC2HE6K03,VC2HE6K04,VC2HE6K05,VC2HE6K06,VC2HE6K07,VC2HE6S01,VC2HE6S02,VC2HE6S03,VC2HE6S04,VC2HE6S05,VC2HE6S06",High
Levels 5 and 6,Economics and Business,Students can develop accurate explanations based on sources using appropriate business and economics terminology and conventions.,Knowledge and Understanding,"accurate,appropriate,based,business,conventions,develop,economics,explanations,sources,students,terminology,using","VC2HE6K02,VC2HE6K03,VC2HE6K04,VC2HE6K061,VC2HE6S01,VC2HE6S02,VC2HE6S03,VC2HE6S05,VC2HE6S06,VC2HE6S07",High
Levels 7 and 8,Economics and Business,"By the end of Level 8, students can explain how free markets influence the allocation of resources.",Knowledge and Understanding,"allocation,explain,free,influence,level,markets,resources,students","VC2HE8K01,VC2HE8K02,VC2HE8S06",High
Levels 7 and 8,Economics and Business,"Students describe the reasons businesses exist, accurately categorise businesses, analyse the importance of entrepreneurship to business success and explain how businesses identify and take advantage of market opportunities.",Knowledge and Understanding,"accurately,advantage,analyse,business,businesses,categorise,describe,entrepreneurship,exist,explain,identify,importance,market,opportunities,reasons,students,success,take","VC2HE8K03,VC2HE8K04,VC2HE8S03,VC2HE8S06",High
Levels 7 and 8,Economics and Business,"Students describe different ways Australians may derive income, and they analyse the changing nature of work in contemporary Australia and make logical predictions about the future of work.",Knowledge and Understanding,"about,analyse,australia,australians,changing,contemporary,derive,describe,different,future,income,logical,make,nature,predictions,students,ways,work","VC2HE8K06,VC2HE8K05",High
Levels 7 and 8,Economics and Business,Students outline the operations of Australia’s taxation system and explain reasons why individuals and businesses must plan to achieve financial goals.,Knowledge and Understanding,"achieve,australia’s,businesses,explain,financial,goals,individuals,must,operations,outline,plan,reasons,students,system,taxation","VC2HE8K09,VC2HE8K10,VC2HE8S06",High
Levels 7 and 8,Economics and Business,Students identify the legal and ethical rights and responsibilities of individual consumers and businesses in terms of products and services.,Knowledge and Understanding,"businesses,consumers,ethical,identify,individual,legal,products,responsibilities,rights,services,students,terms","VC2HE8K07,VC2HE8S05,VC2HE8S06",High
Levels 7 and 8,Economics and Business,They explain different types of financial scams and how to avoid these.,Knowledge and Understanding,"avoid,different,explain,financial,scams,types","VC2HE8K08,VC2HE8S06",High
Levels 7 and 8,Economics and Business,"Students develop and apply questions to investigate contemporary economic, business, work or financial issues and systems.",Skills,"apply,business,contemporary,develop,economic,financial,investigate,issues,questions,students,systems,work","VC2HE8S01,VC2HE8S06",High
Levels 7 and 8,Economics and Business,"They locate, select and organise relevant information and data from a range of sources.",Skills,"data,information,locate,organise,range,relevant,select,sources","VC2HE8S02,VC2HE8S06",High
Levels 7 and 8,Economics and Business,"Students construct, interpret and draw conclusions from graphs, models and text to identify and describe economic and business issues, trends and cause-and-effect relationships and establish and verify sources.",Skills,"business,cause-and-effect,conclusions,construct,describe,draw,economic,establish,graphs,identify,interpret,issues,models,relationships,sources,students,text,trends,verify","VC2HE8S04,VC2HE8S05,VC2HE8S06",High
Levels 7 and 8,Economics and Business,"They develop and analyse a response to an economic and business, work or financial issue, identifying potential costs and benefits.",Knowledge and Understanding,"analyse,benefits,business,costs,develop,economic,financial,identifying,issue,potential,response,work","VC2HE8K01,VC2HE8K02,VC2HE8K03",High
Levels 7 and 8,Economics and Business,"Students use economic and business knowledge, concepts, terms and research findings to create descriptions and explanations.",Skills,"business,concepts,create,descriptions,economic,explanations,findings,knowledge,research,students,terms","VC2HE8S06,VC2HE8S03",High
Levels 7 and 8,Economics and Business,"Students create and present descriptions and explanations, using economics and business knowledge and terminology with reference to sources.",Knowledge and Understanding,"business,create,descriptions,economics,explanations,knowledge,present,reference,sources,students,terminology,using","VC2HE8K01,VC2HE8K04,VC2HE8K05,VC2HE8K06,VC2HE8K08,VC2HE8K09,VC2HE8K10,VC2HE8S03,VC2HE8S05,VC2HE8S06",High
Levels 9 and 10,Economics and Business,"By the end of Level 10, students can analyse the circular flow model of the economy and assess the appropriateness of specific government and Reserve Bank of Australia economic interventions through fiscal and monetary policy.",Knowledge and Understanding,"analyse,appropriateness,assess,australia,bank,circular,economic,economy,fiscal,flow,government,interventions,level,model,monetary,policy,reserve,specific,students","VC2HE10K01,VC2HE10K02,VC2HE10S02,VC2HE10S03,VC2HE10S04,VC2HE10S06,VC2HE10S07",High
Levels 9 and 10,Economics and Business,"They explain the interdependence of the different sectors of the economy, identify and analyse the economic indicators used to measure economic performance, and assess the implications of Australia’s participation in the global economy via international trade.",Knowledge and Understanding,"analyse,assess,australia’s,different,economic,economy,explain,global,identify,implications,indicators,interdependence,international,measure,participation,performance,sectors,trade,used","VC2HE10K03,VC2HE10K04,VC2HE10S01,VC2HE10S02,VC2HE10S03,VC2HE10S04,VC2HE10S05,VC2HE10S06,VC2HE10S07",High
Levels 9 and 10,Economics and Business,"They explain how and why businesses can seek to create and maintain a competitive advantage and the role of entrepreneurship, marketing and public relations strategies in doing this.",Knowledge and Understanding,"advantage,businesses,competitive,create,doing,entrepreneurship,explain,maintain,marketing,public,relations,role,seek,strategies","VC2HE10K05,VC2HE10S05",High
Levels 9 and 10,Economics and Business,Students explain human resource management strategies used by employers to improve business competitiveness and the role of trade unions and employer groups in the workplace.,Knowledge and Understanding,"business,competitiveness,employer,employers,explain,groups,human,improve,management,resource,role,strategies,students,trade,unions,used,workplace","VC2HE10K06,VC2HE10K07,VC2HE10S01,VC2HE10S03,VC2HE10S04VC2HE10S06,VC2HE10S07",High
Levels 9 and 10,Economics and Business,They analyse the management of consumer and financial risks and rewards and consider the consequences of these.,Knowledge and Understanding,"analyse,consequences,consider,consumer,financial,management,rewards,risks","VC2HE10K08,VC2HE10K09,VC2HE10S01,VC2HE10S03,VC2HE10S04VC2HE10S06,VC2HE10S07",High
Levels 9 and 10,Economics and Business,"Students explain the importance of superannuation to both individuals and the community, as well as factors that influence major consumer financial decisions.",Knowledge and Understanding,"community,consumer,decisions,explain,factors,financial,importance,individuals,influence,major,students,superannuation,well","VC2HE10K08,VC2HE10K09,VC2HE10S01,VC2HE10S02,VC2HE10S03,VC2HE10S04,VC2HE10S05,VC2HE10S06",High
Levels 9 and 10,Economics and Business,"Students develop and modify questions for application to contemporary economics and business, work or financial issues, and locate, select and organise relevant information and data from a range of sources.",Knowledge and Understanding,"application,business,contemporary,data,develop,economics,financial,information,issues,locate,modify,organise,questions,range,relevant,select,sources,students,work","VC2HE10K02,VC2HE10K03,VC2HE10K04,VC2HE10K05,VC2HE10K06,VC2HE10K07,VC2HE10K08,VC2HE10S01,VC2HE10S02,VC2HE10S03,VC2HE10S05,VC2HE10S06,VC2HE10S07",High
Levels 9 and 10,Economics and Business,They then apply this to issues through recognition of trends and cause-and-effect relationships and make logical predictions from this.,Knowledge and Understanding,"apply,cause-and-effect,issues,logical,make,predictions,recognition,relationships,trends","VC2HE10K01,VC2HE10K04,VC2HE10K06,VC2HE10K08,VC2HE10K09,VC2HE10S01,VC2HE10S02",High
Levels 9 and 10,Economics and Business,"Students are able to develop and evaluate a response to an economics and business issue, using either cost-benefit analysis or criteria.",Knowledge and Understanding,"able,analysis,business,cost-benefit,criteria,develop,economics,either,evaluate,issue,response,students,using","VC2HE10K02,VC2HE10K03,VC2HE10K04,VC2HE10K05,VC2HE10K06,VC2HE10K07,VC2HE10K098,VC2HE10S01,VC2HE10S02,VC2HE10S03,VC2HE10S05,VC2HE10S06,VC2HE10S07",High
Levels 9 and 10,Economics and Business,They can effectively evaluate sources for authenticity and validity and explain and present arguments about economics and business concepts and issues using economics and business terminology and knowledge.,Knowledge and Understanding,"about,arguments,authenticity,business,concepts,economics,effectively,evaluate,explain,issues,knowledge,present,sources,terminology,using,validity","VC2HE10K01,VC2HE10K05,VC2HE10K08,VC2HE10K09,VC2HE10S02,VC2HE10S04,VC2HE10S05,VC2HE10S06,VC2HE10S07",High
