Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
Foundation to Level 2,VC2HG2K01,VCGGC057,"Identify and describe the features of places at a local scale and how they change, recognising that people describe the features of places differently",Refined,Combined and refined content descriptions to enhance clarity
Foundation to Level 2,VC2HG2K01,VCGGC059,Identify how people are connected to different places,Refined,Combined and refined content descriptions to enhance clarity
Foundation to Level 2,VC2HG2K02,VCGGK068,"Natural, managed and constructed features of places, their location and how they change",Refined,Refined for clarity
Foundation to Level 2,VC2HG2K03,VCGGK067,"Weather and seasons and the ways in which different cultural groups, including Aboriginal and Torres Strait Islander peoples, describe them",Refined,Refined for clarity to make it more coherent
Foundation to Level 2,VC2HG2K03,VCGGK066,"Aboriginal and Torres Strait Islander Country/Place on which the school is located and why Country/Place is important to Aboriginal and Torres Strait Islander peoples, and the ways in which they maintain special connections to particular Country/Place",Refined,Refined for clarity to make it more coherent
Foundation to Level 2,VC2HG2K04,VCGGK064,"Definition of places as parts of the Earth’s surface that have been given meaning by people, and how places can be defined at a variety of scales",Refined,Combined and refined content descriptions to enhance clarity
Foundation to Level 2,VC2HG2K04,VCGGK065,Connections of people in Australia to other places in Australia and across the world,Refined,Combined and refined content descriptions to enhance clarity
Foundation to Level 2,VC2HG2K05,VCGGK068,"Natural, managed and constructed features of places, their location and how they change",Refined,Refined for clarity
Foundation to Level 2,VC2HG2K06,VCGGK067,"Weather and seasons and the ways in which different cultural groups, including Aboriginal and Torres Strait Islander peoples, describe them",Refined,Refined for coherency
Foundation to Level 2,,VCGGK069,Reasons why some places are special and some places are important to people and how they can be looked after,Removed,Removed and combined with VC2HG2K01
Foundation to Level 2,VC2HG2K07,VCGGK065,Connections of people in Australia to other places in Australia and across the world,Refined,"Refined for clarity, with use of correct geographical concept"
Foundation to Level 2,VC2HG2S01,,,New,New content description. Skills sequence of learning did not exist in VC1
Foundation to Level 2,VC2HG2S02,VCGGC060,Collect and record geographical data and information from the field and other sources,Refined,Refined for clarity
Foundation to Level 2,VC2HG2S02,VCGGC061,"Represent data and the location of places and their features by constructing tables, plans and labelled maps",Refined,Refined for clarity
Foundation to Level 2,VC2HG2S02,VCGGC062,"Interpret data and information to draw conclusions and describe the direction and location of places, using terms such as north, south, opposite, near, far",Refined,Refined for clarity
Foundation to Level 2,VC2HG2S03,,,New,New content description. VC1 did not include geography-specific skills
Foundation to Level 2,VC2HG2S04,,,New,New content description. VC1 did not include geography-specific skills
Foundation to Level 2,VC2HG2S05,,,New,New content description. VC1 did not include geography-specific skills
Foundation to Level 2,,VCGGK063,"Representation of the location of places and their features on maps and models, including a globe, and the location of the major geographical divisions of the world in relation to Australia",Removed,Removed and consolidated into earlier content descriptions
Foundation to Level 2,,VCGGK070,"Activities in the local place and reasons for their location, and the influence of purpose, distance and accessibility on the frequency with which people visit places",Removed,Removed and consolidated into earlier content descriptions
Foundation to Level 2,,VCGGC057,"Identify and describe the features of places at a local scale and how they change, recognising that people describe the features of places differently",Removed,Removed and consolidated into earlier content descriptions
Foundation to Level 2,,VCGGC058,Describe and explain where places and activities are located,Removed,Removed and consolidated into earlier content descriptions
Levels 3 and 4,VC2HG4K01,VCGGK084,"Similarities and differences between places in terms of their type of settlement, demographic characteristics and the lives of the people who live there",Refined,Refined for clarity
Levels 3 and 4,VC2HG4K02,,,New,"New content description, to provide a clearer learning sequence across bands"
Levels 3 and 4,VC2HG4K03,VCGGK082,"Types of natural vegetation and the significance of vegetation to the environment, the importance of environments to animals and people, and different views on how they can be protected; the use and management of natural resources and waste, and different views on how to do this sustainably",Refined,Refined for clarity and accessibility
Levels 3 and 4,VC2HG4K04,,,New,New content description
Levels 3 and 4,VC2HG4K05,VCGGK077,Location of major countries of Africa and South America in relation to Australia and their major characteristics including the types of vegetation and native animals in at least two countries for both continents,Refined,Refined for clarity to make more global
Levels 3 and 4,VC2HG4K06,VCGGK081,Main climates of the world and the similarities and differences between the climates of different places,Refined,Refined for clarity and specificity
Levels 3 and 4,VC2HG4K07,,,New,"New content description, to improve the sequence of learning and to include the geographical concept of interconnection"
Levels 3 and 4,VC2HG4K08,VCGGK078,Location of Australia’s neighbouring countries and the diverse characteristics of their places,Refined,Combined and refined 3 content descriptions
Levels 3 and 4,VC2HG4K08,VCGGK084,"Similarities and differences between places in terms of their type of settlement, demographic characteristics and the lives of the people who live there",Refined,Combined and refined 3 content descriptions
Levels 3 and 4,VC2HG4K08,VCGGK083,"Similarities and differences in individuals’ and groups’ feelings and perceptions about places, and how they influence views about the protection of these places",Refined,Combined and refined 3 content descriptions
Levels 3 and 4,VC2HG4K09,VCGGK080,"The many Countries/Places of Aboriginal and Torres Strait Islander peoples throughout Australia, and the custodial responsibility they have for Country/Place, and how this influences views about sustainability",Refined,Reference to Aboriginal and Torres Strait Islander Peoples has been embedded in other content descriptions
Levels 3 and 4,,VCGGK079,"Representation of Australia as states and territories, and Australia’s major natural and human characteristics",Removed,Realigned to Places and our connections to them in Foundation to Level 2
Levels 3 and 4,,VCGGK078,Location of Australia’s neighbouring countries and the diverse characteristics of their places,Removed,Realigned to Places and our connections to them in Foundation to Level 2
Levels 3 and 4,VC2HG4S01,VCGGC071,Identify and describe the characteristics of places in different locations at a range of scales,Refined,Refined for clarity as inquiry questions and geographical skills in VC1 were not specific
Levels 3 and 4,,VCGGC072,Identify and describe locations and spatial distributions and patterns,Removed,Removed and embedded into Geographical Knowledge strand
Levels 3 and 4,,VCGGC073,Identify and explain the interconnections within places and between places,Removed,Removed and embedded into Geographical Knowledge strand
Levels 3 and 4,VC2HG4S02,VCGGC074,Collect and record relevant geographical data and information from the field and other sources,Refined,Skills reorganised to improve the sequence of learning
Levels 3 and 4,VC2HG4S02,VCGGC075,"Represent data and the location of places and their characteristics by constructing tables and simple graphs and maps of appropriate scale that conform to cartographic conventions of border, scale, legend, title and north point",Refined,Skills reorganised to improve the sequence of learning
Levels 3 and 4,VC2HG4S03,VCGGC076,"Interpret maps and other geographical data and information to develop identifications, descriptions, explanations and conclusions, using geographical terminology including simple grid references, compass direction and distance",Refined,"Refined for clarity, with elaborations providing more examples"
Levels 3 and 4,VC2HG4S03,VCGGC075,"Represent data and the location of places and their characteristics by constructing tables and simple graphs and maps of appropriate scale that conform to cartographic conventions of border, scale, legend, title and north point",Refined,"Refined for clarity, with elaborations providing more examples"
Levels 3 and 4,VC2HG4S04,,,New,New content description. VC1 did not include geography-specific skills
Levels 3 and 4,VC2HG4S05,,,New,New content description. VC1 did not include geography-specific skills
Levels 3 and 4,VC2HG4S06,,,New,New content description. VC1 did not include geography-specific skills
Levels 5 and 6,VC2HG6K01,,,New,"New content description, to provide sequence of knowledge"
Levels 5 and 6,VC2HG6K02,VCGGK098,Australia’s connections with other countries and how these change people and places,Refined,Refined to focus on the single concept of interconnection
Levels 5 and 6,VC2HG6K03,VCGGK096,Environmental and human influences on the location and characteristics of places and the management of spaces within them,Refined,Refined to focus on management of places and the concept of change
Levels 5 and 6,VC2HG6K04,VCGGK094,"Influence of people, including the influence of Aboriginal and Torres Strait Islander peoples, on the environmental characteristics of Australian places",Refined,Refined to make the concept of sustainability explicit
Levels 5 and 6,VC2HG6K05,VCGGK096,Environmental and human influences on the location and characteristics of places and the management of spaces within them,Refined,Refined and consolidated
Levels 5 and 6,VC2HG6K05,VCGGK095,"Impacts of bushfires or floods on environments and communities, and how people can respond",Refined,Refined and consolidated
Levels 5 and 6,VC2HG6K06,VCGGK091,"Location of the major countries of Europe and North America, in relation to Australia and their major characteristics including the influence of people on the environmental characteristics of places in at least two countries from both continents",Refined,Refined for clarity
Levels 5 and 6,VC2HG6K07,VCGGK092,Location of the major countries of the Asian region in relation to Australia and the geographical diversity within the region,Refined,Refined for clarity
Levels 5 and 6,VC2HG6K08,VCGGK093,"Differences in the demographic, economic, social and cultural characteristics of countries across the world (VCGGK093",Refined,Refined to focus on the geographical concepts
Levels 5 and 6,,VCGGK097,Factors that influence people’s awareness and opinion of places,Removed,Removed
Levels 5 and 6,,VCGGC086,Identify and describe locations and describe and explain spatial distributions and patterns,Removed,Removed and embedded into the Geographical Knowledge strand
Levels 5 and 6,,VCGGC085,Describe and explain the diverse characteristics of places in different locations from local to global scales,Removed,Removed and embedded into the Geographical Knowledge strand
Levels 5 and 6,VC2HG6S01,VCGGC087,"Describe and explain interconnections within places and between places, and the effects of these interconnections",Refined,Refined to make geographical skills more explicit
Levels 5 and 6,VC2HG6S02,VCGGC088,"Collect and record relevant geographical data and information from the field and secondary sources, using ethical protocols",Refined,Refined and consolidated
Levels 5 and 6,VC2HG6S02,VCGGC089,"Represent the location of places and other types of geographical data and information in different forms including diagrams, field sketches and large-scale and small-scale maps that conform to cartographic conventions of border, scale, legend, title, north point and source; using digital and spatial technologies as appropriate",Refined,Refined and consolidated
Levels 5 and 6,VC2HG6S03,VCGGC088,"Collect and record relevant geographical data and information from the field and secondary sources, using ethical protocols",Refined,Skills sequences reorganised to ensure representation of data is considered
Levels 5 and 6,VC2HG6S04,VCGGC090,"Interpret maps and other geographical data and information using digital and spatial technologies as appropriate, to develop identifications, descriptions, explanations and conclusions that use geographical terminology",Refined,Refined
Levels 5 and 6,VC2HG6S05,,,New,"New content description, to align to the skills learning sequence"
Levels 5 and 6,VC2HG6S06,,,New,New content description. to align to the skills learning sequence
Levels 5 and 6,VC2HG6S07,,,New,"New content description, to align to the skills learning sequence"
Levels 7 and 8,VC2HG8K01,VCGGK105,Classification of environmental resources and the forms that water takes as a resource,Refined,Combined and refined
Levels 7 and 8,VC2HG8K01,VCGGK106,Ways that flows of water connect places as they move through the environment and the ways this affects places,Refined,Combined and refined
Levels 7 and 8,VC2HG8K02,VCGGK109,"The spiritual, economic, cultural and aesthetic value of water for people, including Aboriginal and Torres Strait Islander peoples and peoples of the Asia region, that influence the significance of places",Refined,Refined
Levels 7 and 8,VC2HG8K03,VCGGK107,The quantity and variability of Australia’s water resources compared with those in other continents and how water balance can be used to explain these differences,Refined,Minor refinements
Levels 7 and 8,VC2HG8K04,VCGGK108,"Nature of water scarcity and the role of humans in creating and overcoming it, including studies drawn from Australia and West Asia and/or North Africa",Refined,Retained the knowledge focus on water scarcity
Levels 7 and 8,VC2HG8K05,VCGGK110,"Causes of an atmospheric or hydrological hazard and its impacts on places, and human responses to it to minimise harmful effects on places in the future",Refined,Minor refinements
Levels 7 and 8,VC2HG8K06,VCGGK113,"Environmental, economic and social measures used to evaluate places for their liveability, comparing two different places",Refined,Refined and made more explicit
Levels 7 and 8,VC2HG8K07,VCGGK112,"Influence of accessibility to services and facilities; and environmental quality, on the liveability of places",Refined,Minor refinement to sequence the knowledge accurately
Levels 7 and 8,VC2HG8K08,VCGGK111,Factors that influence the decisions people make about where to live and their perceptions of the liveability of places,Refined,Consolidated and refined
Levels 7 and 8,VC2HG8K08,VCGGK114,Influence of social connectedness and community identity on the liveability of places,Refined,Consolidated and refined
Levels 7 and 8,VC2HG8K09,VCGGK114,Influence of social connectedness and community identity on the liveability of places,Refined,Refined to include Aboriginal and Torres Strait Islander Peoples
Levels 7 and 8,VC2HG8K10,VCGGK115,"Strategies used to enhance the liveability of places, especially for young people, including examples from Australia and Europe",Refined,Refined to focus on the application of the concept of liveability
Levels 7 and 8,VC2HG8K11,,,New,New content description. Focus on responses over strategies
