Subject,Term,Definition
Geography,Aboriginal and Torres Strait Islander Peoples' seasonal calendars,"Aboriginal and Torres Strait Islander classifications of seasons vary and are finely tuned to location, local climates and other variables such as availability of food and other resources."
Geography,Aesthetic value,A judgement of value based on the physical characteristics of an object and the emotional responses it evokes.
Geography,Asia,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
Geography,Atmosphere,"One of the interconnected systems of Earth, the atmosphere consists of a mix of gasses essential in the biosphere."
Geography,Biodiversity,"The number and variety of species within an environment, which have direct value as consumable or useful commodities, indirect value as support for ecosystems, and intrinsic value."
Geography,Biomass productivity,The amount of organic matter made by photosynthesising organisms in an ecosystem.
Geography,Biome,"A major terrestrial vegetation region, such as a tropical forest, temperate grassland or desert. Similar biomes occur around the world in similar climatic zones."
Geography,Biosphere,"One of the interconnecting systems of Earth, the biosphere is made up of the parts of Earth that are occupied by living organisms."
Geography,BOLTSS,"An acronym for the skill in creating and analysing geographical data such as maps. It stands for Border, Orientation, Legend, Title, Scale and Source."
Geography,Cartographic conventions,"Practices that guide the making of maps, such as border, orientation, title, scale and source."
Geography,Characteristics of a place,"Tangible or intangible environmental and human characteristics (such as location, topography or scenic quality) that can be described, classify or give meaning to the uniqueness of a place."
Geography,Classification,"A way of categorising objects or phenomena based on criteria such as similarity of properties or by relationships, for example renewable or non-renewable resources."
Geography,Climate,"The long-term average (minimum 30 years) of weather conditions at a place, classified into distinctive types, for example tropical, dry, temperate, polar or Mediterranean."
Geography,Climate change,"Changes in the long-term weather patterns and averages, such as those for temperature and precipitation."
Geography,Country,"The physical environment that a particular Aboriginal and Torres Strait Islander Peoples' group has a relationship with. Referring to this territory as 'Country', rather than land, indicates a reciprocal and deep relationship and one where Country both owns and is owned by the People. The concept of Country includes lands, waters and sky."
Geography,Cultural connectedness,"Interconnections between people and their community locally and globally, which influence how people live, understand the impacts they have on each other, and make sense of their identity and belonging. This is also known as social connectedness."
Geography,Custodial responsibility,"The responsibility and obligation for caring for Country and Place and management of land, sea, sky and waterways based on the values and beliefs of Aboriginal and Torres Strait Islander communities."
Geography,Data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the person carrying out the investigation; secondary data is collected by others.
Geography,Demographic,Relating to the structure of population.
Geography,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
Geography,Distribution,"The arrangement of geographical phenomena across Earth\'s surface, for example distribution of services and facilities in a settlement, population in a country, forests or water resources."
Geography,Diversity,"The mix of people in a group or society and differences in factors such as age, abilities, culture and religion and/or in how people identify in relation to factors such as gender and sexuality."
Geography,Ecosystem,"A functioning unit of the environment defined by a complex set of relationships among its living organisms and its non-living components, where all organisms and components are interdependent."
Geography,Embodied carbon,"The greenhouse gas emissions arising from the manufacturing, transportation, installation, maintenance and disposal of building materials."
Geography,Environmental quality,"Characteristics of a local environment that affect human wellbeing, such as air and water pollution, noise, access to open space, traffic volumes and aesthetic value of buildings and roads."
Geography,Environmental worldview,"A set of beliefs and values that give a person a sense of their behaviour towards Earth. It could be anthropocentric (human-centred), biocentric (life-centred) or ecocentric (Earth-centred)."
Geography,European seasonal calendar,"The classification of weeks or months of a year into 4 seasons: summer, autumn, winter and spring."
Geography,Features of a place,"Visible elements of a place, classified as natural (e.g. rivers), managed (e.g. parks, farms) and constructed or built (e.g. a house, a city)."
