Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P01,"Describe their personal characteristics and those of others, and explain how they contribute to developing identities",,Describing the personal qualities of characters in stories and how they are similar to and different from their own (MH)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P01,"Describe their personal characteristics and those of others, and explain how they contribute to developing identities",,"Describing how people who identify as Aboriginal and/or Torres Strait Islander have a unique cultural identity and how the contributions from family influence this (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P01,"Describe their personal characteristics and those of others, and explain how they contribute to developing identities",,"Exploring examples of cultural practices, including those of Australians of Asian heritage, that recognise the contributions of family and friends to identities (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P01,"Describe their personal characteristics and those of others, and explain how they contribute to developing identities",,"Identifying the benefits of having people with diverse skills and abilities in a team or classroom (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P01,"Describe their personal characteristics and those of others, and explain how they contribute to developing identities",,"Participating in games and physical activities and describing how their own and others’ personal skills and abilities contribute to successful engagement in groups (AP, MH)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P01,"Describe their personal characteristics and those of others, and explain how they contribute to developing identities",,Describing personal achievements and sharing how they felt and how these influenced their personal identities (MH)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P02,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,,Describing changes in their physical appearance now compared to when they were younger (RS)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P02,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,,Identifying and describing significant relationships in their lives and how these have evolved or changed over time (RS)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P02,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,,"Identifying friendships and how they are similar or different to when they were younger, such as when they were in kindergarten (RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P02,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,,Discussing ways families and cultural groups acknowledge and celebrate major stages of development (RS)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Identities and change,VC2HP2P02,Describe physical and social changes that occur as children grow older and discuss how family and community acknowledge these,,Discussing tasks they are allowed to do by themselves and explaining how these have changed since they were younger (RS)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P03,Identify and explore personal and social skills and strategies to develop respectful relationships,,Identifying characters in texts (fictional and non-fictional) who demonstrate respect and cooperation to develop respectful relationships (RS)
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P03,Identify and explore personal and social skills and strategies to develop respectful relationships,,"Identifying characters in texts who demonstrate respect for different types of families and carers, including those of different cultures, abilities or compositions (RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P03,Identify and explore personal and social skills and strategies to develop respectful relationships,,"Discussing strategies we can use to show respect to people of different cultures, including Aboriginal and Torres Strait Islander Peoples, and to acknowledge difference using appropriate language (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P03,Identify and explore personal and social skills and strategies to develop respectful relationships,,"Describing behaviours that keep themselves and others safe and help them feel respected, including the use of appropriate verbal and body language and physical behaviours (MH, RS, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P03,Identify and explore personal and social skills and strategies to develop respectful relationships,,"Exploring strategies to understand and manage bullying behaviours (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P03,Identify and explore personal and social skills and strategies to develop respectful relationships,,"Exploring how people feel when they are included in and when they are excluded from groups and activities (AP, MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P04,Identify how different situations influence emotional responses,,"Recognising their own emotions and demonstrating ways to manage how they express their emotions in different situations (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P04,Identify how different situations influence emotional responses,,"Exploring self-regulation strategies to manage emotional responses, such as balloon breathing, counting down from 10 and mindfulness (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P04,Identify how different situations influence emotional responses,,"Identifying situations that may trigger strong emotional responses in themselves and others, and recognising the impact these responses can have on others (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P04,Identify how different situations influence emotional responses,,"Identifying how someone might feel, think and act during an emergency through role-play and imaginative play (MH, RS, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P04,Identify how different situations influence emotional responses,,"Predicting how a person or character in a story might be feeling based on the words they use, their facial expressions and body language (RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P04,Identify how different situations influence emotional responses,,"Recognising positive emotions in themselves and others and exploring different ways people express these emotions (MH, RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P05,"Practise strategies they can use when they need to seek, give or deny permission respectfully",,"Practising strategies they can use when they need to give or refuse consent; for example, saying yes and no in an assertive manner, using non-verbal body cues and gestures (MH, RS, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P05,"Practise strategies they can use when they need to seek, give or deny permission respectfully",,"Practising ways to interact with others in a fair and respectful way in play and other activities, regardless of differences in gender, abilities, race or personality (RS)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Interacting with others,VC2HP2P05,"Practise strategies they can use when they need to seek, give or deny permission respectfully",,"Exploring situations where they need to seek, give or deny permission and practising strategies to assert themselves; for example, saying no to inappropriate touching (MH, RS, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P06,Identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,,"Identifying the body’s reaction to a range of situations, including safe and unsafe situations, and comparing the different emotional responses (MH, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P06,Identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,,"Discussing the importance of seeking help when problems are too big to solve by themselves (MH, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P06,Identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,,"Identifying and rehearsing strategies they can use when requiring assistance, such as asking an adult they trust, reading basic signs to identify safe places, calling triple zero, locating services or local organisations they can contact in case of emergency and solving a problem with friends (S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P06,Identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,,"Exploring and planning strategies they can use at school and at home that promote safe use of digital tools (MH, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P06,Identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,,"Recognising photos and locations of safe places and a network of people who can help, and identifying a list of those in their network (RS, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P06,Identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,,"Explaining how characters in texts use protective behaviours and help-seeking strategies to keep themselves and others safe (MH, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P07,"Investigate a range of health messages and strategies in their community to promote their own health, safety and wellbeing",,"Identifying poison labels and medicine packaging and understanding why it is important to ask an adult before taking medicines (AD, S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P07,"Investigate a range of health messages and strategies in their community to promote their own health, safety and wellbeing",,"Exploring sustainable practices that students can implement at school to improve the health and wellbeing of the class, such as composting food waste, creating an edible garden and reducing single-use plastics (FN)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P07,"Investigate a range of health messages and strategies in their community to promote their own health, safety and wellbeing",,"Identifying and explaining different safety signs and symbols in their community, such as water safety and road safety signs and messages (S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P07,"Investigate a range of health messages and strategies in their community to promote their own health, safety and wellbeing",,"Investigating health messages they receive from school, home and the community and discussing how these messages keep them safe and help them make better health and wellbeing decisions, such as dental hygiene, sun safety, appropriate use of digital technology and road safety (S)"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Contributing to healthy communities,VC2HP2P07,"Investigate a range of health messages and strategies in their community to promote their own health, safety and wellbeing",,Identifying different types of advertising that influence choices about food (FN)
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M01,"Practise fundamental movement skills and apply them in a variety of movement situations, including indoor, outdoor and aquatic settings",,"Performing locomotor movements using different body parts to travel in different directions (AP, CA, FMS, RE)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M01,"Practise fundamental movement skills and apply them in a variety of movement situations, including indoor, outdoor and aquatic settings",,"Selecting and implementing different movement skills to be successful in a range of games and movement situations, such as an obstacle course (AP, CA, FMS)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M01,"Practise fundamental movement skills and apply them in a variety of movement situations, including indoor, outdoor and aquatic settings",,"Performing fundamental movement skills to control objects with equipment and different parts of the body (AP, FMS)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M01,"Practise fundamental movement skills and apply them in a variety of movement situations, including indoor, outdoor and aquatic settings",,"Practising gliding forwards and backwards in the water using arm and kicking movements (FMS, LLPA, S)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M01,"Practise fundamental movement skills and apply them in a variety of movement situations, including indoor, outdoor and aquatic settings",,"Demonstrating balances and describing what helps to maintain stable positions (AP, FMS, RE)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M02,"Investigate different ways of moving their body and manipulating objects and space, and draw conclusions about their effectiveness",,"Demonstrating changes in speed, direction and level as they use locomotor and non-locomotor skills in sequences (AP, FMS)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M02,"Investigate different ways of moving their body and manipulating objects and space, and draw conclusions about their effectiveness",,"Inventing new games, based on rules and equipment from familiar games, and drawing conclusions about whether the rules and choice of equipment provide for an interesting, challenging and enjoyable game (AP, FMS)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M02,"Investigate different ways of moving their body and manipulating objects and space, and draw conclusions about their effectiveness",,"Using stimuli such as equipment, rhythm, music and words to create simple playground games and assessing which games they enjoy most (AP, FMS, RE)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M02,"Investigate different ways of moving their body and manipulating objects and space, and draw conclusions about their effectiveness",,"Using different equipment or skills to solve a movement challenge and explaining why particular equipment or skills were more successful to solve the challenge (AP, FMS)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M02,"Investigate different ways of moving their body and manipulating objects and space, and draw conclusions about their effectiveness",,"Participating in activities that require students to move around different outdoor spaces and discussing which types of movement are most appropriate to move around safely and efficiently (AP, CA, S)"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Moving our bodies,VC2HP2M02,"Investigate different ways of moving their body and manipulating objects and space, and draw conclusions about their effectiveness",,"Comparing different types of movements with and without equipment and identifying which ones are easier and harder and why this might be the case (AP, FMS, RE)"
