Subject,Term,Definition
Health and Physical Education,Ableism,Discrimination based on a person's disability.
Health and Physical Education,Belief,"Something that is accepted, considered to be true, or held as an opinion."
Health and Physical Education,Body autonomy,The right of a person to make choices about their body without external influence or coercion.
Health and Physical Education,Code switching,Negotiating ways of moving between different cultures or between a marginalised and a dominant culture.
Health and Physical Education,Coercion,The act of persuading or compelling someone to do something through the use of threats or force.
Health and Physical Education,Community health,Focuses on work within defined communities to maintain and improve the health and wellbeing of all people in that community through collective action.
Health and Physical Education,Consent,"Informed and freely given agreement to engage in an activity, or permission for a specific thing to happen. This includes agreement and permission given in online and offline situations."
Health and Physical Education,Context,"The situation or setting of an event, problem or application, whether real or constructed."
Health and Physical Education,Contextual factors,"A range of factors that can influence health, safety, wellbeing and physical activity participation. These factors include, but are not limited to, personal (biological, physiological, psychological), social, cultural, economic and political factors that exist in differing ways and have varying impacts across population groups."
Health and Physical Education,Critical inquiry approach,"Focuses on how contextual factors influence the health, safety, wellbeing and physical activity participation of individuals, groups and communities. It provides opportunities for students to develop skills, self-efficacy and dispositions to advocate for, and positively influence, their own and others' health and wellbeing. This involves critical analysis and critical evaluation of health and physical activity knowledge in order to make informed judgements and take appropriate action."
Health and Physical Education,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
Health and Physical Education,Discrimination,"The unjust or prejudicial treatment of someone. The types of discrimination that students must learn about include racial, sex and gender discrimination, ableism, homophobia and transphobia."
Health and Physical Education,Dispositions,"Enduring habits of mind and actions, and tendencies to respond to situations in characteristic ways; for example, maintaining an optimistic outlook, being willing to persevere with challenges, or actively engaging in regular physical activity."
Health and Physical Education,Diversity,"The mix of people in a group or society; that is, differences in contextual factors such as age, abilities, culture and religion and/or in how people identify in relation to characteristics such as gender and sexuality."
Health and Physical Education,Drug,"Any substance (excluding food, water and oxygen) that when taken into the body alters its function physically or psychologically."
Health and Physical Education,Emotional health,"The ability to recognise, understand and effectively manage emotions and use this knowledge when thinking, feeling and acting."
Health and Physical Education,Empathy,The ability to understand and share the feelings of another person.
Health and Physical Education,Fundamental movement skills,"Basic movements or precursor patterns that form the basis for physical activities, including dance and sports, and that provide the foundation for competent and confident participation in a range of physical activities. These can include locomotor, non-locomotor and object control skills: - locomotor and non-locomotor skills -- rolling, balancing, sliding, jogging, running, leaping, jumping, hopping, dodging, galloping, skipping, floating and moving the body through water to safety - object control skills -- bouncing, throwing, catching, kicking, striking."
Health and Physical Education,Gender,"Refers to those characteristics of women and men that are socially constructed. Gender is complex and involves a number of components, including biological sex (male or female), gender identity (the psychological sense of being male or female) and social sex role (adherence to cultural norms of feminine and masculine behaviour)."
Health and Physical Education,Gender diversity,"Refers to the diversity of people who fall outside the typical range of masculinity or femininity with regard to gender identity and/or physical sex characteristics. Sex- and/or gender-diverse people include many different groups, including transsexual, transgender, androgynous, people without sex and gender identity, and cross-dressers."
Health and Physical Education,Gender stereotypes,The beliefs that people have about the characteristics of males and females. Stereotypes can vary between cultures and over time. Gender stereotyping can be harmful to people of all genders.
Health and Physical Education,Health,"A state of complete physical, social, emotional, mental and spiritual wellbeing and not merely the absence of disease or infirmity."
Health and Physical Education,Health information,"Information, advice or direction related to health, safety and wellbeing."
Health and Physical Education,Health literacy,"The ability to selectively access and critically analyse information, navigate community services and resources, and take action to promote personal health and the health of others."
Health and Physical Education,Health messages,"Any messages or advertising related to the health and wellbeing of people. These can be in the form of TV, online or magazine advertisements, media articles, product labelling or portrayal of 'healthy' choices in the media."
Health and Physical Education,Health-related fitness,"Physical fitness is considered a measure of the body's ability to function efficiently, effectively and without injury in work and leisure activities, to pursue recreational activities and to cope with emergency situations. Health-related fitness includes components such as cardio-respiratory fitness, flexibility, muscular endurance and strength."
Health and Physical Education,Help-seeking strategies,"Strategies used to seek help. Help-seeking is about being able to communicate an issue or challenge to obtain support, advice or help. Seeking help can act as a protective factor for a child or young person's mental health and wellbeing."
Health and Physical Education,Identities,"Characteristics and capabilities of a person or characteristics of a social group. These are constructed according to things such as where we come from, who we relate to, how we belong and what we do."
Health and Physical Education,Initiative games,"Fun, cooperative, challenging games that require groups to collaborate in order to solve a speciﬁc problem."
Health and Physical Education,Locomotor skills,"Locomotor movement is when you move from one place to another. Locomotor skills include rolling, balancing, sliding, jogging, running, leaping, jumping, hopping, dodging, galloping, skipping, floating and moving the body through water to safety."
Health and Physical Education,Mental health,"Refers to a person's cognitive and thinking processes, for example their capacity to think coherently, express thoughts and feelings, and respond constructively to situations."
Health and Physical Education,Minor games,"Simple games, with few rules, designed for the practice of skills, tactics and strategies in a challenging situation."
Health and Physical Education,Modified games,"Games or sports that are adapted to suit the skills and characteristics of students through alterations to rules, equipment and/or the playing field."
Health and Physical Education,Movement challenges,"Movement tasks that require a problem-solving approach for successful completion. The solution can be verbalised, documented or demonstrated physically."
Health and Physical Education,Movement concepts,"A framework for enhancing movement performance. Movement concepts include body awareness, spatial awareness, effort awareness, and relationship to or with objects, people and space."
Health and Physical Education,Movement context,"The setting, circumstances or conditions that movement tasks take place in."
