Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,"Researching how the discovery of a biofluorescent flying squirrel led to discoveries of more fluorescent mammals, such as wombats, bilbies, echidnas and bandicoots, as scientists collaborated with other scientists across fields of science and internationally"
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,"Researching why European naturalists and scientists first thought the platypus was a fake animal, and how scientists such as those in the Australian Platypus Conservancy are collaborating in ongoing research to understand the features and behaviours of platypuses"
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,"Exploring why developing new erosion mitigation techniques such as contour banks and strip-cropping requires the collaboration of geologists, hydrologists and farmers"
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,Researching how contemporary restorative ecology adapts and builds on the traditional ecological knowledges of Aboriginal and/or Torres Strait Islander Peoples
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,"Researching how scientists, manufacturers and farmers collaborated to use compressed gases such as carbon dioxide (CO2) in the development of fire extinguishers, planting crops and paintball"
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,"Examining why ecologists collaborate with engineers and computer scientists to develop remote sensing techniques, identify patterns in habitat change and make predictions about the survival of organisms"
Science,Levels 5 and 6,Science as a Human Endeavour,Nature and development of science,VC2S6H01,"Scientific knowledge changes over time, often resulting from collaboration or by building on the work of others, and leads to advances in science",,"Constructing a timeline to show how contributions and collaborations of scientists, mathematicians, engineers and astronomers from many countries have advanced ideas about space and the solar system through development of models, gathering of evidence and, more recently, space exploration"
Science,Levels 5 and 6,Science as a Human Endeavour,Use and influence of science,VC2S6H02,"Scientific knowledge, skills and data can be used by individuals and communities to identify problems, consider responses and make decisions",,Examining how communities use knowledge of erosion processes to design landscape features that reduce erosion in fragile environments
Science,Levels 5 and 6,Science as a Human Endeavour,Use and influence of science,VC2S6H02,"Scientific knowledge, skills and data can be used by individuals and communities to identify problems, consider responses and make decisions",,"Examining how knowledge of erosion is used by park rangers to design rules such as keeping to paths and not climbing sandstone, as well as built features such as channel drains on paths, railings and barriers to protect park environments and Aboriginal and/or Torres Strait Islander Peoples’ cultural sites"
Science,Levels 5 and 6,Science as a Human Endeavour,Use and influence of science,VC2S6H02,"Scientific knowledge, skills and data can be used by individuals and communities to identify problems, consider responses and make decisions",,"Researching the impacts of light pollution and exploring how communities have used scientific knowledge to reduce light pollution, such as by using covered light bulbs facing downwards in streetlights, automated systems to turn off streetlights, and motion sensors on outdoor lights in homes and in public places"
Science,Levels 5 and 6,Science as a Human Endeavour,Use and influence of science,VC2S6H02,"Scientific knowledge, skills and data can be used by individuals and communities to identify problems, consider responses and make decisions",,Investigating how people use knowledge of conditions that reduce mould or bacterial growth when considering food packaging and storage
Science,Levels 5 and 6,Science as a Human Endeavour,Use and influence of science,VC2S6H02,"Scientific knowledge, skills and data can be used by individuals and communities to identify problems, consider responses and make decisions",,Investigating why underground power cables were developed and how local government authorities use scientific knowledge about power safety when considering converting to underground power
Science,Levels 5 and 6,Science as a Human Endeavour,Use and influence of science,VC2S6H02,"Scientific knowledge, skills and data can be used by individuals and communities to identify problems, consider responses and make decisions",,Exploring how communities consider the impact of reversible reactions when designing guidelines about the ability of materials to be recycled
Science,Levels 5 and 6,Science Understanding,Biological sciences,VC2S6U01,"Habitats can be described by their physical conditions; changing the physical conditions of a habitat, including by human activity, may affect the growth and survival of organisms",,Identifying the physical conditions in an aquatic or terrestrial habitat and how they change over time
Science,Levels 5 and 6,Science Understanding,Biological sciences,VC2S6U01,"Habitats can be described by their physical conditions; changing the physical conditions of a habitat, including by human activity, may affect the growth and survival of organisms",,"Investigating how changes to physical conditions such as salinity, soil type, sunlight and temperature affect plant growth"
Science,Levels 5 and 6,Science Understanding,Biological sciences,VC2S6U01,"Habitats can be described by their physical conditions; changing the physical conditions of a habitat, including by human activity, may affect the growth and survival of organisms",,"Examining how changes in physical conditions such as temperature, light availability and rainfall affect animals such as corals, honey bees and flying foxes, and predict impacts of these changes"
Science,Levels 5 and 6,Science Understanding,Biological sciences,VC2S6U01,"Habitats can be described by their physical conditions; changing the physical conditions of a habitat, including by human activity, may affect the growth and survival of organisms",,"Investigating Aboriginal and/or Torres Strait Islander Peoples’ knowledges and understandings of the physical conditions necessary for the survival of certain plants and animals, for example researching the collaborative work of the Aboriginal Peoples of the Murray–Darling Basin wetlands with government and scientific groups to restore the wetlands through water research, planning and management, including reintroducing salt-tolerant native flora to improve ecosystem health and biodiversity"
Science,Levels 5 and 6,Science Understanding,Biological sciences,VC2S6U01,"Habitats can be described by their physical conditions; changing the physical conditions of a habitat, including by human activity, may affect the growth and survival of organisms",,"Investigating changes in physical conditions that are the result of human activity, and exploring the impact of these on organisms, such as the impact of urban lighting on nocturnal and migratory animals"
Science,Levels 5 and 6,Science Understanding,Biological sciences,VC2S6U01,"Habitats can be described by their physical conditions; changing the physical conditions of a habitat, including by human activity, may affect the growth and survival of organisms",,Investigating the effect of physical conditions on the growth of bread-mould colonies in sealed plastic bags
