Subject,Term,Definition
Visual Communication Design,2D/two-dimensional,"Visual communication designs that exist on a flat surface, that have height and width, such as presentation drawings, brochures and magazine layouts."
Visual Communication Design,2D/two-dimensional drawing,"Manual and digital drawings in 2 dimensions can represent ideas for objects and environments. They are used to show the details of an object and information such as scale and proportions. Two-dimensional drawings can include floor plans, elevations and orthogonal drawings."
Visual Communication Design,3D/three-dimensional,"Visual communication designs that have depth as well as height and width, such as models and prototypes."
Visual Communication Design,3D/three-dimensional drawing,"Manual and digital drawings in 3 dimensions can represent ideas for objects and environments demonstrating depth, height and width as well as the representation of surfaces and the overall form of the object or space of the environment. Three-dimensional drawings include one-, two- and three-point perspective drawings, isometric and planometric drawings."
Visual Communication Design,3D modelling,"Production of a visual or physical representation that describes, simplifies, clarifies or gives an explanation of the workings, structure or relationships within an object, system or idea using computer software or 3D printing."
Visual Communication Design,4D/four-dimensional,"Visual communication designs that have depth, height, width and added temporal and spatial dimensions. For example, designs that incorporate images, sound and movement such as screen-based representations of video games, websites or interactive user experiences such as apps or interfaces."
Visual Communication Design,Aerial view,"Drawing from above (in the air) to show features of a building, landscape or environment (e.g. an image showing an aerial view of a garden plan)."
Visual Communication Design,Aesthetic,"How the visual conventions (design elements and design principles), media and materials of an artwork or visual communication design work together to influence the mood or emotion of the work."
Visual Communication Design,Analog,"Relates to artworks that are created and manipulated by hand with tangible materials (e.g. paint, paper or markers), as opposed to digital artworks, forms or processes created using digital tools."
Visual Communication Design,Annotate,To make notes or make a brief description.
Visual Communication Design,Annotated drawings/sketches,"In Visual Communication Design, the development of design concepts is demonstrated in drawings or sketches that provide information about the visual languages, conventions, materials, methods and media used in the generation, development and production of the visual communication design."
Visual Communication Design,App,Software originally designed to run on mobile devices and to be targeted in its purpose; an app (abbreviation of application) can now be considerably broader in its purpose.
Visual Communication Design,Arts discipline,"Specific area of arts practice such as dance, drama, media arts, music, visual arts and visual communication design. Within each discipline, a diverse range of styles, genres and forms are practised."
Visual Communication Design,Artist,"Artists include visual artists, craftspeople and designers. Artists work individually and collaboratively using diverse visual arts practices to create artworks."
Visual Communication Design,Artwork,"An artwork is an outcome of an artist's practice. An artwork may be a completed product or a work in progress. Artworks can be experienced in person and/or digitally, for example by visiting galleries, exhibition spaces or public places, or by accessing artworks in online gallery spaces or in printed media such as arts journals."
Visual Communication Design,Audience(s),"Individuals or groups of people who experience artworks in a range of settings and contexts (formal, informal, virtual or interactive) through intellectual, emotional and social engagement. Social and cultural factors, and the context of the creation and viewing of an artwork can all alter the way audiences view, engage, interpret and respond to artworks."
Visual Communication Design,Belief,"Something that is accepted, considered to be true, or held as an opinion."
Visual Communication Design,Characteristics,Distinguishing aspects (including attributes and behaviours) of a visual communication design. Designers consider the characteristics and conventions of the design field when they create visual communication designs.
Visual Communication Design,Circular design,"Circular design practices consider not only the needs of audiences or users, but also the enduring environmental and social impact of the work. They recognise that design decisions play a key role in minimising waste, pollution and hazardous substances during manufacture or use."
Visual Communication Design,Concept,"A thought, idea or notion related to a theoretical construct. A concept can be more complex than a general idea. In Visual Communication Design, concepts are the combination and extended development of initial ideas and inspiration."
Visual Communication Design,Context,"The context of a visual communication can be the location and time in which it is made, presented or viewed. Context can also be the economic, philosophical, historical, social or cultural influences on the practices of the designer, and their communication of ideas, values and beliefs. The context of a visual communication provides the reference for the communication of ideas and messages to an audience or users. Interpretation of the messages and ideas presented can evolve from the context."
Visual Communication Design,Conventions,"Traditionally, stylistically or culturally accepted ways of doing things. Conventions are dynamic and ever-changing. In Visual Communication Design, conventions govern each design field, including drawing and typographic conventions."
Visual Communication Design,Convergent thinking,"Convergent thinking is analytical, critical, reflective and comparative. It seeks to summarise, categorise and synthesise information in logical and efficient ways in order to clarify, reframe or resolve problems."
Visual Communication Design,Copyright,"Legal rights in creative work (e.g. text, images, music, computer programs, sound recordings, film). The creator or copyright owner has the right to prevent others copying the work without permission."
