Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation,Visual Arts,"By the end of Foundation, students describe experiences, observations, ideas and feelings about artworks they encounter at school, home and in the community, identifying what they enjoy and why.",Creating,"about,artworks,community,describe,encounter,enjoy,experiences,feelings,foundation,home,ideas,identifying,observations,school,students,what",VC2AVAFC01,High
Foundation,Visual Arts,"They develop an understanding of visual arts conventions, skills and processes.",Developing Practices,"arts,conventions,develop,processes,skills,understanding,visual","VC2AVAFD01,VC2AVAFE02,VC2AVAFE01",Medium
Foundation,Visual Arts,"Students use play, imagination and experimentation with materials and processes to create artworks.",Creating,"artworks,create,experimentation,imagination,materials,play,processes,students","VC2AVAFC01,VC2AVAFD01,VC2AVAFE02",Medium
Foundation,Visual Arts,"They make and share artworks that communicate their experiences, observations and ideas.",Creating,"artworks,communicate,experiences,ideas,make,observations,share",VC2AVAFC01,High
Levels 1 and 2,Visual Arts,"By the end of Level 2, students identify where they experience artworks.",Creating,"artworks,experience,identify,level,students,where","VC2AVA2C01,VC2AVA2E01,VC2AVA2P01",Medium
Levels 1 and 2,Visual Arts,"They describe why and how people across cultures, communities, times, places and/or other contexts experience visual arts.",Exploring,"across,and/or,arts,communities,contexts,cultures,describe,experience,other,people,places,times,visual",VC2AVA2E01,High
Levels 1 and 2,Visual Arts,"Students experiment with visual arts processes, materials and visual conventions to create artworks.",Creating,"arts,artworks,conventions,create,experiment,materials,processes,students,visual",VC2AVA2C01,High
Levels 1 and 2,Visual Arts,"They make and share artworks that communicate experiences, ideas and observations in informal settings.",Creating,"artworks,communicate,experiences,ideas,informal,make,observations,settings,share",VC2AVA2C01,High
Levels 3 and 4,Visual Arts,"By the end of Level 4, students identify and describe the use of visual conventions, visual arts processes and materials in artworks they create and/or experience.",Creating,"and/or,arts,artworks,conventions,create,describe,experience,identify,level,materials,processes,students,visual",VC2AVA4C01,High
Levels 3 and 4,Visual Arts,"They recall where, when, why and/or how visual artists create and/or display artworks across cultures, times, places and other contexts, including the work of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,across,and/or,artists,artworks,contexts,create,cultures,display,including,islander,other,peoples,places,recall,strait,times,torres,visual,when,where,work","VC2AVA4E01,VC2AVA4E02",High
Levels 3 and 4,Visual Arts,"Students explore and experiment with visual conventions, materials and processes to develop their visual arts practice.",Developing Practices,"arts,conventions,develop,experiment,explore,materials,practice,processes,students,visual",VC2AVA4D01,High
Levels 3 and 4,Visual Arts,"They use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and meaning.",Creating,"arts,artworks,communicate,conventions,create,ideas,materials,meaning,perspectives,processes,visual",VC2AVA4C01,High
Levels 3 and 4,Visual Arts,They present and/or display their artworks and/or visual arts practice in formal and/or informal settings.,Presenting,"and/or,arts,artworks,display,formal,informal,practice,present,settings,visual",VC2AVA4P01,High
Levels 5 and 6,Visual Arts,"By the end of Level 6, students explore the ways that visual conventions, visual arts processes and materials are combined in artworks they create and/or experience.",Exploring,"and/or,arts,artworks,combined,conventions,create,experience,explore,level,materials,processes,students,visual,ways","VC2AVA6E01,VC2AVA6E02",High
Levels 5 and 6,Visual Arts,"They describe how artworks created across cultures, times, places and other contexts communicate ideas, perspectives and meaning.",Exploring,"across,artworks,communicate,contexts,created,cultures,describe,ideas,meaning,other,perspectives,places,times",VC2AVA6E01,High
Levels 5 and 6,Visual Arts,"They identify how visual arts are used to continue and revitalise cultures, including the work of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,arts,continue,cultures,identify,including,islander,peoples,revitalise,strait,torres,used,visual,work","VC2AVA6E01,VC2AVA6E02",High
Levels 5 and 6,Visual Arts,Students develop ideas in artworks using visual conventions and visual arts processes.,Creating,"arts,artworks,conventions,develop,ideas,processes,students,using,visual",VC2AVA6C01,High
Levels 5 and 6,Visual Arts,"They select and use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and meaning.",Creating,"arts,artworks,communicate,conventions,create,ideas,materials,meaning,perspectives,processes,select,visual",VC2AVA6C01,High
Levels 5 and 6,Visual Arts,They present and/or display and discuss artworks in informal and formal settings.,Presenting,"and/or,artworks,discuss,display,formal,informal,present,settings",VC2AVA6P01,High
Levels 7 and 8,Visual Arts,"By the end of Level 8, students analyse how visual conventions, visual arts processes and materials are manipulated in artworks they create and experience.",Developing Practices,"analyse,arts,artworks,conventions,create,experience,level,manipulated,materials,processes,students,visual","VC2AVA8D01,VC2AVA8D02",High
Levels 7 and 8,Visual Arts,"They describe ways that visual artists across cultures, times, places and other contexts communicate ideas, perspectives and meaning through their visual arts practice including the artworks of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,across,artists,arts,artworks,communicate,contexts,cultures,describe,ideas,including,islander,meaning,other,peoples,perspectives,places,practice,strait,times,torres,visual,ways","VC2AVA8E01,VC2AVA8E02",High
Levels 7 and 8,Visual Arts,They identify and describe how and why respectful approaches are used in creating and responding to artworks.,Exploring,"approaches,artworks,creating,describe,identify,respectful,responding,used","VC2AVA8E02,VC2AVA8E01,VC2AVA8D01",Medium
Levels 7 and 8,Visual Arts,"Students select and manipulate visual conventions, visual arts processes and materials to explore and develop ideas for artworks.",Creating,"arts,artworks,conventions,develop,explore,ideas,manipulate,materials,processes,select,students,visual","VC2AVA8C01,VC2AVA8C02",High
Levels 7 and 8,Visual Arts,They document and reflect on their visual arts practice and use visual arts terminology.,Developing Practices,"arts,document,practice,reflect,terminology,visual","VC2AVA8D02,VC2AVA8D01",High
Levels 7 and 8,Visual Arts,"They use visual conventions, visual arts processes and materials to create artworks that represent ideas, perspectives and meaning.",Creating,"arts,artworks,conventions,create,ideas,materials,meaning,perspectives,processes,represent,visual","VC2AVA8C01,VC2AVA8C02",High
Levels 7 and 8,Visual Arts,"They curate, present and discuss exhibits and/or displays of their own and/or others’ artworks and/or visual arts practice for audiences.",Presenting,"and/or,arts,artworks,audiences,curate,discuss,displays,exhibits,others’,practice,present,visual",VC2AVA8P01,High
Levels 9 and 10,Visual Arts,"By the end of Level 10, students analyse and evaluate how and why visual conventions, visual arts processes and materials are manipulated in artworks they create and experience.",Developing Practices,"analyse,arts,artworks,conventions,create,evaluate,experience,level,manipulated,materials,processes,students,visual","VC2AVA10D01,VC2AVA10D02",High
Levels 9 and 10,Visual Arts,"They evaluate how and why artists from across cultures, times, places and other contexts use visual conventions, visual arts processes and materials in their visual arts practice and/or artworks to communicate and/or challenge ideas, perspectives and meaning, including the practices of Aboriginal and Torres Strait Islander artists.",Exploring,"aboriginal,across,and/or,artists,arts,artworks,challenge,communicate,contexts,conventions,cultures,evaluate,ideas,including,islander,materials,meaning,other,perspectives,places,practice,practices,processes,strait,times,torres,visual","VC2AVA10E01,VC2AVA10E02",High
Levels 9 and 10,Visual Arts,"They evaluate how visual arts are used to represent, celebrate and challenge perspectives of Australian identity, including artworks by Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,arts,artworks,australian,celebrate,challenge,evaluate,identity,including,islander,peoples,perspectives,represent,strait,torres,used,visual","VC2AVA10E02,VC2AVA10E01",High
Levels 9 and 10,Visual Arts,"Students explore and respond to artworks and inspiration from multiple sources to develop and resolve artworks that communicate ideas, perspectives and meaning.",Creating,"artworks,communicate,develop,explore,ideas,inspiration,meaning,multiple,perspectives,resolve,respond,sources,students","VC2AVA10C01,VC2AVA10C02",High
Levels 9 and 10,Visual Arts,"They document, reflect on and annotate their own visual arts practice.",Developing Practices,"annotate,arts,document,practice,reflect,visual",VC2AVA10D02,High
Levels 9 and 10,Visual Arts,"They select and apply skills, demonstrating an understanding of the use of visual conventions, visual arts processes and materials to create artworks.",Creating,"apply,arts,artworks,conventions,create,demonstrating,materials,processes,select,skills,understanding,visual",VC2AVA10C02,High
Levels 9 and 10,Visual Arts,"They use visual conventions, visual arts processes and materials to create artworks that represent and/or communicate ideas, perspectives and meaning.",Creating,"and/or,arts,artworks,communicate,conventions,create,ideas,materials,meaning,perspectives,processes,represent,visual","VC2AVA10C02,VC2AVA10C01",High
Levels 9 and 10,Visual Arts,"They curate, critique and evaluate exhibitions of their own and/or others’ artworks and visual arts practice in different contexts, times and places for different audiences.",Exploring,"and/or,arts,artworks,audiences,contexts,critique,curate,different,evaluate,exhibitions,others’,places,practice,times,visual","VC2AVA10E01,VC2AVA10E02",High
