Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Levels 3 and 4,Exploring,,VC2AVA4E01,"Explore and describe artworks, and why, when and how visual arts are created and/or presented across cultures, times, places and other contexts",,"Exploring artists’ practice and using viewpoints to develop questions to strengthen understanding of the practices, such as ‘What does the artists’ studio or space look like?’, ‘How do they develop their ideas?’, ‘What are they doing when they are developing and trialling their techniques and working with materials?’ and ‘How do they engage with galleries (physical or virtual) to exhibit their work?’"
Levels 3 and 4,Exploring,,VC2AVA4E01,"Explore and describe artworks, and why, when and how visual arts are created and/or presented across cultures, times, places and other contexts",,"Observing and exploring details such as use of materials, techniques and processes in artworks, and using viewpoints to develop questions, such as ‘What is the artwork made of?’, ‘How can I look more closely at this work to see something I did not notice the first time?’, ‘What do I see when I look at the work through half-shut eyes?’ and ‘How does the work look like it feels, and how does it actually feel?’"
Levels 3 and 4,Exploring,,VC2AVA4E01,"Explore and describe artworks, and why, when and how visual arts are created and/or presented across cultures, times, places and other contexts",,Exploring a diverse range of artworks created by artists working collaboratively and discussing the ideas the artists represent in their artworks
Levels 3 and 4,Exploring,,VC2AVA4E01,"Explore and describe artworks, and why, when and how visual arts are created and/or presented across cultures, times, places and other contexts",,"Making connections and comparisons between artists working across cultures, times, places and other contexts, for example by finding similarities and differences between the artists’ approach to a theme such as sustainability or community celebrations, or finding similarities and differences between the ways that different artists use materials and techniques, such as approaches to creating sustainable sculpture using found objects, and natural and human-made materials"
Levels 3 and 4,Exploring,,VC2AVA4E01,"Explore and describe artworks, and why, when and how visual arts are created and/or presented across cultures, times, places and other contexts",,"Exploring ways to represent the world as they see it, for example by using ideas about and experience of a recent event (such as a sports or cultural event or celebration) and making an artwork that communicates their perspective of the event and then identifying how their work is different from the works created by other students in the class, or how their works compare to works by other artists that feature similar subject matter"
Levels 3 and 4,Exploring,,VC2AVA4E02,Explore how Aboriginal and Torres Strait Islander Peoples use visual arts to communicate their connection to and responsibility for Country and Place,,"Using viewpoints to develop questions that explore what is important to Aboriginal and Torres Strait Islander artists, including their identities, stories and communities, such as ‘How does this work represent identity?’, ‘Are there Country-based narratives in this artwork?’, ‘What do we see?’ and ‘What have we learnt that makes us think this?’"
Levels 3 and 4,Exploring,,VC2AVA4E02,Explore how Aboriginal and Torres Strait Islander Peoples use visual arts to communicate their connection to and responsibility for Country and Place,,"Considering what their own cultural connections are as individuals (for example, considering Country and Place, language, family customs, values and beliefs), how they can use visual arts processes, subject matter and visual conventions to create artworks that communicate their personal connection to Country and Place, and using viewpoints to develop questions, such as ‘Where do I feel most connected to my family, and what symbols, colours, shapes and subject matter could I create to represent this connection?’"
Levels 3 and 4,Exploring,,VC2AVA4E02,Explore how Aboriginal and Torres Strait Islander Peoples use visual arts to communicate their connection to and responsibility for Country and Place,,"Accessing examples of contemporary Aboriginal and Torres Strait Islander artists’ ideas about Country and Place through cultural expressions, for example works that express spiritual and intellectual connections to the land, sea, sky and waterways, and using viewpoints to develop questions about the work, such as ‘Who are the artists and on what Country or Place was the work created?’, ‘What can I learn from the artists about this work?’ and ‘What does this work make me think about my own connections to significant Countries?’"
Levels 3 and 4,Exploring,,VC2AVA4E02,Explore how Aboriginal and Torres Strait Islander Peoples use visual arts to communicate their connection to and responsibility for Country and Place,,Looking at visual arts works that represent the importance of Country and Place and story for Aboriginal and Torres Strait Islander Peoples as a starting point for talking about different ways of seeing the same Country and Place and telling stories
Levels 3 and 4,Exploring,,VC2AVA4E02,Explore how Aboriginal and Torres Strait Islander Peoples use visual arts to communicate their connection to and responsibility for Country and Place,,Examining a diverse range of symbols and emblems and learning from people with cultural authority about their importance to Aboriginal and Torres Strait Islander Peoples’ identities and cultures
