Subject,Term,Definition
Visual Arts,2D/two-dimensional,"Artworks that exist on a flat surface, that have height and width, such as paintings and drawings."
Visual Arts,3D/three-dimensional,"Artworks that have depth as well as height and width, such as sculpture and installation."
Visual Arts,4D/four-dimensional,"Artworks that have depth, height, width and added temporal and spatial dimensions. For example, artworks that incorporate time, such as time-based installations, or artworks that incorporate performance on a moving image."
Visual Arts,Aesthetic knowledge,"An understanding of how the visual conventions (art elements and art principles), materials and techniques of an artwork work together to influence the mood or emotion of an artwork. Aesthetic knowledge can contribute to creating visual appeal in an artwork to evoke an emotional response from a viewer. Aesthetic knowledge can also be related to the style and genre of an artwork and the art form."
Visual Arts,Analog,"Relates to artworks that are created and manipulated by hand with tangible materials (e.g. paint, paper or markers), as opposed to digital arts works, forms or processes created using digital tools."
Visual Arts,Arts discipline,"Specific area of arts practice such as dance, drama, media arts, music, visual arts and visual communication design. Within each discipline, a diverse range of styles, genres and forms are practised."
Visual Arts,Art elements,"Art elements are a component of the visual conventions of an artwork. Art elements include colour, line, shape, form, tone, texture, sound, time and light."
Visual Arts,Artist,"Artists include visual artists, craftspeople and designers. Artists work individually and collaboratively using diverse visual arts practices to create artworks."
Visual Arts,Artist statement,"A description of what the artist, curator or director wants the audience to know, displayed with the artwork or included in program notes."
Visual Arts,Art principles,"Art principles are a component of the visual conventions of an artwork. Art principles include emphasis (including focal point), movement, rhythm, unity, variety, space, repetition (including pattern), balance, contrast, proportion and scale."
Visual Arts,Arts experience,"An experience that engages the senses (e.g. artworks experienced in daily life, popular culture, formal or informal performances, exhibitions and/or designed environments)."
Visual Arts,Arts space,"A place where artists display or perform artworks. This can be formal such as a gallery, theatre or exhibition hall, or informal such as a public space."
Visual Arts,Artwork,"An artwork is an outcome of an artist's practice. An artwork may be a completed product or a work in progress. Artworks can be experienced in person and/or digitally, for example by visiting galleries, exhibition spaces or public places, or by accessing artworks in online gallery spaces or in printed media such as arts journals."
Visual Arts,Audience(s),"Individuals or groups of people who experience artworks in a range of settings and contexts (formal, informal, virtual or interactive) through intellectual, emotional and social engagement. Social and cultural factors, and the context of the creation and viewing of an artwork can all alter the way audiences view, engage, interpret and respond to artworks."
Visual Arts,Composition,"The placement or arrangement of elements, components or conventions in artworks."
Visual Arts,Concept,"A thought, idea or notion related to a theoretical construct. A concept can be more complex than a general idea. A concept is generally the primary idea or influence behind an artwork and can contribute to the overall theme of a series of artworks or an exhibition."
Visual Arts,Context,"The context of an artwork is the frame of reference that allows the meaning of an artwork to be interpreted. Interpretation of the meaning of an artwork can evolve from the context. The context of an artwork can be the location and time in which the artwork is made, presented or viewed. Context can also be the economic, philosophical, historical, social or cultural influences on the practices of the artist, the artist's intentions, and their communication of ideas, values and beliefs in their artworks."
Visual Arts,Conventions,"Traditionally, stylistically or culturally accepted ways of doing things. Each art form has hundreds of conventions built up over time. Conventions are dynamic and ever-changing. In Visual Arts, conventions can refer to the combination of art elements, art principles, composition and style."
